Original Ordering,Unnamed: 0,Title,Author,Cleaned Goodreads URL,Number of Dupes
31575,321367,"love pistols, vol. 1",tarako kotobuki,19522119-love-pistols-vol-1,2
31576,70595,"love pistols, vol. 2",tarako kotobuki,19522119-love-pistols-vol-1,2
10280,2882,charlie and the chocolate factory,roald dahl,1954105.Charlie_and_the_Great_Glass_Elevator,2
10281,6697,charlie and the great glass elevator,roald dahl,1954105.Charlie_and_the_Great_Glass_Elevator,2
3645,73349,all-new x-men (2012-2015) #1,brian michael bendis,19541857-all-new-x-men-vol-4,2
3646,73237,"all-new x-men, vol. 1",brian michael bendis,19541857-all-new-x-men-vol-4,2
55015,6543,the happiest baby on the block,harvey karp,19580408-the-happiest-baby-on-the-block,2
55018,46213,the happiest toddler on the block,harvey karp,19580408-the-happiest-baby-on-the-block,2
58172,64034,the mousetrap,agatha christie,196149.The_Mousetrap_and_Other_Plays,2
58173,74212,the mousetrap and other plays,agatha christie,196149.The_Mousetrap_and_Other_Plays,2
48739,113661,ten little indians,agatha christie,19698740-ten-little-indians,2
48741,103018,ten little niggers,agatha christie,19698740-ten-little-indians,2
26639,400,into the wild,erin hunter,19725697-into-the-wild,2
26642,349565,into the woods,erin hunter,19725697-into-the-wild,2
11457,166523,collected poems 1947-1997,allen ginsberg,1988604.Collected_Poems_1947_1985,2
11460,255686,"collected poems, 1947-1980",allen ginsberg,1988604.Collected_Poems_1947_1985,2
58713,6090,the one minute entrepreneur,kenneth h. blanchard,19896839-the-one-minute-entrepreneur,2
58714,5742,the one minute manager,kenneth h. blanchard,19896839-the-one-minute-entrepreneur,2
61691,201627,the spook's apprentice,joseph delaney,19918894-the-spook-s-nightmare,2
61692,207852,the spook's mistake,joseph delaney,19918894-the-spook-s-nightmare,2
51001,107760,the business of the 21st century,robert t. kiyosaki,19966686-the-business-school,2
51002,195624,the business school,robert t. kiyosaki,19966686-the-business-school,2
18238,51112,fall in love like a comic! vol. 1,chitose yagami,1999907.Fall_in_Love_Like_a_Comic_Vol_1,2
18239,51113,fall in love like a comic! vol. 2,chitose yagami,1999907.Fall_in_Love_Like_a_Comic_Vol_1,2
55036,77486,the harbinger,jonathan cahn,20004286-the-harbinger,2
55038,214178,the harbinger ii,jonathan cahn,20004286-the-harbinger,2
33781,160443,mistborn trilogy,brandon sanderson,20014715-mistborn-trilogy,2
33782,129202,mistborn trilogy boxed set,brandon sanderson,20014715-mistborn-trilogy,2
50402,188648,the black elfstone,terry brooks,2001938.The_Black_Unicorn,2
50441,73537,the black unicorn,terry brooks,2001938.The_Black_Unicorn,2
58606,3538,the notebook,nicholas sparks,2005220.The_Notebook,2
58607,272434,the notebook / the wedding,nicholas sparks,2005220.The_Notebook,2
17508,234971,"essential x-men, vol. 1",chris claremont,2007815.Essential_Power_Man_and_Iron_Fist_Vol_1,2
17509,134653,"essential x-men, vol. 4",chris claremont,2007815.Essential_Power_Man_and_Iron_Fist_Vol_1,2
27174,52017,jack reacher,lee child,20103481-jack-reacher-boxed-set,2
27175,89777,jack reacher's rules,lee child,20103481-jack-reacher-boxed-set,2
45370,299055,slaughter at wolf creek,william w. johnstone,2013350.Slaughter_in_the_Ashes,2
45371,299066,slaughter of the mountain man,william w. johnstone,2013350.Slaughter_in_the_Ashes,2
10016,45207,catherine coulter - fbi thriller series,catherine coulter,2022444.Catherine_Coulter_Bride_CD_Collection_2,2
10017,45208,catherine coulter the fbi thrillers collection books 11-15,catherine coulter,2022444.Catherine_Coulter_Bride_CD_Collection_2,2
54,389235,'twas the night before christmas,clement c. moore,20256651-twas-the-night-before-christmas,2
66194,399580,twas the night before christmas,clement c. moore,20256651-twas-the-night-before-christmas,2
66853,73640,unfinished tales,j.r.r. tolkien,20256736-unfinished-tales-of-n-menor-and-middle-earth,2
66854,98956,unfinished tales of númenor and middle-earth,j.r.r. tolkien,20256736-unfinished-tales-of-n-menor-and-middle-earth,2
54625,3458,the goldfinch,donna tartt,20325021-the-goldfinch,2
54626,182543,the goldfinch / the secret history,donna tartt,20325021-the-goldfinch,2
67879,42887,waking up married,mira lyn kelly,20328853-waking-up-pregnant,2
67880,210867,waking up pregnant,mira lyn kelly,20328853-waking-up-pregnant,2
40053,235318,prince of fools,mark lawrence,20335635-prince-of-fools,2
40060,1232,prince of thorns,mark lawrence,20335635-prince-of-fools,2
33801,394280,mistletoe and holly,janet dailey,2034005.Mistletoe_and_Molly,2
33802,78594,mistletoe and molly,janet dailey,2034005.Mistletoe_and_Molly,2
43739,209016,security analysis,benjamin graham,203409.Security_Analysis,2
43740,209015,"security analysis, part iii - senior securities with speculative features",benjamin graham,203409.Security_Analysis,2
47269,10781,strengths based leadership,tom rath,20380730-strengths-finder-2-0,2
47270,36256,strengths finder 2.0,tom rath,20380730-strengths-finder-2-0,2
32550,369239,marion takes a break,callie barkley,20421384-marion-takes-a-break,2
32551,369231,marion takes charge,callie barkley,20421384-marion-takes-a-break,2
46069,14311,sons and lovers,d.h. lawrence,20427793-sons-and-lovers,2
46070,316221,sons and lovers / women in love / love among the haystacks / lady chatterley's lover,d.h. lawrence,20427793-sons-and-lovers,2
46111,344938,"sorry, you're not my type",sudeep nagarkar,20499663-sorry-you-re-not-my-type,2
46112,4292,"sorry, you’re not my type",sudeep nagarkar,20499663-sorry-you-re-not-my-type,2
67864,93294,wake up america 1940-1960,john lewis,20500464-wake-up-america-1940-1960,2
67865,93286,wake up america 1960-1963,john lewis,20500464-wake-up-america-1940-1960,2
61064,48616,the seventh gate,margaret weis,20519010-the-seventh-sigil,2
61070,75264,the seventh sigil,margaret weis,20519010-the-seventh-sigil,2
50679,237416,the book of the law,aleister crowley,20522174-the-book-of-the-law,2
50681,185709,the book of thoth,aleister crowley,20522174-the-book-of-the-law,2
6286,188123,beautiful monster,bella forrest,20551806-beautiful-monster-2,2
6287,188124,beautiful monster 2,bella forrest,20551806-beautiful-monster-2,2
53416,1159,the explosive child,ross w. greene,20569171-the-explosive-child,2
53417,181179,the explosive child [fifth edition],ross w. greene,20569171-the-explosive-child,2
