Unnamed: 0,Title,Author,Cleaned Goodreads URL
4568,لا مكان للملل,أحمد خالد توفيق,18721152
4506,لاعب الشطرنج,stefan zweig,18487015
10398,لج,osamah m. al muslim,24693639
122392,لحظة تاريخ,محمد المنسي قنديل,18721152
108007,لحظة من فضلك  الحياة لا ترجع إلي الخلف,إسلام حجي,18721152
228472,لربما خيرة,مشعل حمد,18721152
53851,لست آسفة,نجلاء حسن,18721152
4717,لست شرقية,إسراء أبو عاصى,18721152
345323,لست مجنونا,احمد فكري,18721152
129378,لست وحدك,أحمد خالد توفيق,18721152
134534,لصوص الله,عبد الرزاق الجبران,18721152
345265,لعبـة الزمـن,شريف شوقي,18721152
203074,لعنة الضريح,منى حارس,18721152
201757,لغة الأمة ولغة الأم,عبد العلي الودغيري,18721152
203043,لغز الحياة,مصطفى محمود,18721152
199380,لغز الكوخ المحترق,محمود سالم,18721152
109328,لغز الموت,مصطفى محمود,18721152
231598,لقاء مع كاتب رعب,حسن الجندي,18721152
122431,لقمة وأموت,علي حمود المجنوني,18721152
269903,لقيطة اسطنبول,إليف شافاق,18721152
53880,لكنود,اسلام جمال,18721152
202983,للحلم جناح واحد,روضة الحاج,18721152
236425,لله يا زَمْري .. من أدب السيرة الذاتية,كريمان حمزة,18721152
164979,لماذا أسلموا؟,أسامة الألفي,18721152
4700,لماذا أكتب,george orwell,8008131
4752,لماذا اسلمت,roger garaudy,15779709
4665,لماذا يكذب القادة؟,john j. mearsheimer,33368354
191308,لمونی اسنیکت,lemony snicket,17830606
4695,لن تتكلم لغتي,abdelfattah kilito,10652735
345302,لن يموت,حسن الحلبي,18721152
4823,لنتخيل المشهد,سوزان عليوان,18721152
70780,لهذا أنا مسيحى,سارافيم البرموسي,18721152
53898,لو أبصرت ثلاثة أيام,helen keller,18776166
4868,لو أننا لم نفترق,فاروق جويدة,18721152
269997,لو كان بيننا,أحمد الشقيري,18721152
345163,لو كان بيننا الحبيب صلى الله عليه و سلم,أحمد الشقيري,18721152
269930,لو كنت طيراً,سلمان العودة,18721152
269945,لو كنت طيرًا,سلمان العودة,18721152
