Unnamed: 0,Title,Author,Cleaned Goodreads URL
219069,the first evil,r.l. stine,107928.The_First_Evil
328754,the first fall,seanan mcguire,18068992-the-first-fall
272256,the first family detail,ronald kessler,22307586-the-first-family-detail
26000,the first fifteen lives of harry august,claire north,24954391-the-first-fifteen-lives-of-harry-august
282226,the first five pages,noah lukeman,18883189-the-first-five-pages
176747,the first forty days,heng ou,26240610-the-first-forty-days
60443,the first four years,laura ingalls wilder,538299.The_First_Four_Years_Little_House_9_
73247,the first global village,martin page,442918.The_First_Global_Village
350093,the first heretic,aaron dembski-bowden,24525294-the-first-heretic
94149,the first horror,r.l. stine,11377208-the-first-horror
15025,the first husband,laura dave,9977379-the-first-husband
36585,the first imperium,jay allan,17825560-the-first-imperium
368958,the first interview,james r. morrison,2029686.The_First_Interview
75074,the first judgement,wendy alec,1781673.The_First_Judgement
24718,the first lady,carl weber,106340.The_First_Lady
196378,the first lady of three rivers ranch,liz isaacson,32078703-the-first-lady-of-three-rivers-ranch
268580,the first last kiss,ali harris,19118431-the-first-last-kiss
145904,the first law trilogy,joe abercrombie,15730094-the-first-law-trilogy
214411,the first law trilogy boxed set,joe abercrombie,17680022-the-first-law-trilogy-boxed-set
339362,the first lie,sara shepard,15820599-the-first-lie
3809,the first man,albert camus,15799290-the-first-man
23050,the first man in rome,colleen mccullough,22567888-the-first-man-in-rome
16258,the first men in the moon,h.g. wells,9440164-the-first-men-in-the-moon
159731,the first muslim,lesley hazleton,19209510-the-first-muslim
20149,the first one,tawdra kandle,24868819-the-first-one
117998,the first part last,angela johnson,148769.The_First_Part_Last
268978,the first patient,michael palmer,6093587-the-first-patient
27282,the first phone call from heaven,mitch albom,17899248-the-first-phone-call-from-heaven
154336,the first queen of england,linda porter,2752070-the-first-queen-of-england
25510,the first rule,robert crais,7792426-the-first-rule
372837,the first rule of ten,gay hendricks,13318658-the-first-rule-of-ten
219052,the first scream,r.l. stine,176256.The_First_Scream
134892,the first shot,e.h. reinhard,33379242-the-first-shot
103151,the first six weeks,midwife cath,30132470-the-first-six-weeks
368812,the first thousand years,robert l. wilken,6626676-the-first-thousand-years
306753,the first three minutes,steven weinberg,150131.The_First_Three_Minutes
273063,the first time,mike winter,33197664-the-first-time
268614,the first time i said goodbye,claire allan,19101043-the-first-time-i-said-goodbye
