Unnamed: 0,Title,Author,Cleaned Goodreads URL
175120,millions,pepper winters,34614478-millions
167990,millroy the magician,paul theroux,131094.Millroy_the_Magician
239269,milly-molly-mandy stories,joyce lankester brisley,8111310-milly-molly-mandy-stories
358661,milton friedman,alan ebenstein,97821.Milton_Friedman
305422,milton hershey,m.m. eboch,4218755-milton-hershey
153345,miluj bližního svého,erich maria remarque,13449409-miluj-bli-n-ho-sv-ho
238839,milwaukee,bernice rubens,5448790-milwaukee
167752,mimesis,andrej nikolaidis,7725601-mimesis
351545,mimicry of banshees,g.k. parks,21823810-mimicry-of-banshees
354218,miminlicious,@divapress01,24503794-miminlicious
30610,mimosa grove,dinah mccall,25234862-mimosa-grove
216634,mimsy were the borogoves,lewis padgett,13318644-mimsy-were-the-borogoves
209042,min afsked med islamismen,ahmed akkari,21855891-min-afsked-med-islamismen
214277,min fantastiska väninna,elena ferrante,27834741-min-fantastiska-v-ninna
71151,minaret,leila aboulela,1751470.Minaret
266310,mince pies and mistletoe at the christmas market,heidi swain,33014491-mince-pies-and-mistletoe-at-the-christmas-market
134164,mind as machine,margaret a. boden,390526.Mind_as_Machine
295351,mind assassin,vaughn heppner,16147700-mind-assassin
298637,mind breaths,allen ginsberg,154380.Mind_Breaths
63148,mind control,stephen king,30129810-mind-control
144933,mind game,ben rehder,18515039-mind-game
363526,mind game,iris johansen,34875010-mind-game
51763,mind game,christine feehan,6583493-mind-game
283582,mind games,teri terry,35159559-mind-games
294815,mind games,carolyn crane,6890220-mind-games
226312,mind games,pamela kole,24343521-mind-games
76910,mind games,kiersten white,15819456-mind-games
2888,mind hunter,john e. douglas,94337.Mind_Hunter
36721,mind of my mind,octavia e. butler,26084055-mind-of-my-mind
148497,mind over mood,dennis greenberger,108380.Mind_Over_Mood
197881,mind platter,najwa zebian,28860166-mind-platter
376541,mind power into the 21st century,john kehoe,17669585-mind-power-into-the-21st-century
51315,mind prey,john sandford,6985324-mind-prey
50249,mind slide,glenn bullion,12237298-mind-slide
294925,"mind the gap, volume 1",jim mccann,16098198-mind-the-gap-volume-1
375800,mind tryst,robyn carr,19241348-mind-tryst
376729,mind's eye,douglas e. richards,20570023-mind-s-eye
336256,"mind, body, home",tisha morris,17436888-mind-body-home
121868,mindblindness,simon baron-cohen,37214.Mindblindness
153773,minders,michele jaffe,18136358-minders
176283,mindfuck,petra bock,12811189-mindfuck
282517,mindfuck!,jessi bond,13509686-mindfuck
254550,mindful eating,jan chozen bays,18956292-mindful-eating
6545,mindful hypnobirthing,sophie fletcher,21183448-mindful-hypnobirthing
121896,mindfulness for beginners,jon kabat-zinn,32707217-mindfulness-for-beginners
81958,mindfulness in plain english,henepola gunaratana,11028017-mindfulness-in-plain-english
52061,mindhunter,john e. douglas,94425.Mindhunter
256930,minding ben,victoria brown,8580680-minding-ben
10726,minding frankie,maeve binchy,8700213-minding-frankie
144914,mindless eating,brian wansink,129732.Mindless_Eating
211428,mindscan,robert j. sawyer,843529.Mindscan
60884,mindset,benjamin smith,28440409-mindset
15261,mindset,carol s. dweck,18416316-mindset
203534,mindsight,daniel j. siegel,19175692-mindsight
120099,mindspeak,heather sunseri,35164173-mindspeak
110771,mindstar rising,peter f. hamilton,5552090-mindstar-rising
376722,mindwar,douglas e. richards,32686435-mindwar
75251,mindware,richard e. nisbett,24040556-mindware
145321,mine,robert mccammon,23825.Mine
141498,mine,aubrey dark,23491560-mine
20703,mine,katy evans,18244960-mine
175154,mine,sam crescent,28552513-mine
322855,mine for christmas,j.s. scott,23210754-mine-for-christmas
328288,mine for now,erika kelly,31438292-mine-for-now
128781,mine till midnight,lisa kleypas,6255622-mine-till-midnight
217295,mine to hold,shayla black,15748042-mine-to-hold
51071,mine to possess,nalini singh,10833689-mine-to-possess
242663,mine to take,cynthia eden,18085311-mine-to-take
141917,mine tonight,christina c. jones,25923910-mine-tonight
104006,minecraft,minecraft books,19003492-minecraft
19306,minecraft,alex anderson,26089859-minecraft
147395,minecraft,max brooks,35818219-minecraft
7406,minecraft diary,wimpy lego kid,27277043-minecraft-diary
131158,mines of the minotaur,julia golding,2903049-mines-of-the-minotaur
39031,minha vida fora de série,paula pimenta,17933273-minha-vida-fora-de-s-rie
5050,mini shopaholic,sophie kinsella,12037977-mini-shopaholic
93108,miniaturiste,jessie burton,25516363-miniaturiste
303932,minima moralia,theodor w. adorno,201388.Minima_Moralia
131535,minimalism,joshua fields millburn,17251556-minimalism
280466,minimalist baker's everyday cooking,dana shultz,27833849-minimalist-baker-s-everyday-cooking
43602,minimalist living,genevieve parker hill,19540186-minimalist-living
238067,minimalist parenting,christine koh,17738507-minimalist-parenting
164892,minion,l.a. banks,7005183-minion
115765,ministry,al jourgensen,16043565-ministry
270578,ministry of space,warren ellis,43731.Ministry_of_Space
395314,minnares van de duivel,naima el bezaz,9438134-minnares-van-de-duivel
362389,minor in possession,j.a. jance,67086.Minor_in_Possession
15583,minority report,philip k. dick,12973994-minority-report
211507,minority report and other stories,philip k. dick,9831043-minority-report-and-other-stories
31855,minty alley,c.l.r. james,657373.Minty_Alley
282502,minus tide,claire cray,16111178-minus-tide
316810,minusta tulee kirjailija,taija tuominen,18758225-minusta-tulee-kirjailija
244305,minutes to burn,gregg hurwitz,583316.Minutes_to_Burn
6341,minutes to kill,melinda leigh,24036069-minutes-to-kill
106968,minx,julia quinn,2577390-minx
156723,mio fratello rincorre i dinosauri,giacomo mazzariol,30041794-mio-fratello-rincorre-i-dinosauri
16724,"mio, my son",astrid lindgren,181087.Mio_My_Son
118809,mirabilis,susann cokal,590147.Mirabilis
314183,miracle,danielle steel,1259512.Miracle
202672,miracle at midway,gordon w. prange,22380316-miracle-at-midway
101824,miracle at st. anna,james mcbride,7017532-miracle-at-st-anna
151017,miracle beach,erin celello,10076141-miracle-beach
50624,miracle cure,harlan coben,10329683-miracle-cure
150112,miracle girls,anne dayton,20342723-miracle-girls
400886,miracle in a dry season,sarah loudin thomas,22446759-miracle-in-a-dry-season
118380,miracle in the andes,nando parrado,454236.Miracle_in_the_Andes
249028,miracle morning,hal elrod,34040625-miracle-morning
237312,miracle of love,ram dass,603907.Miracle_of_Love
91936,miracle on voodoo mountain,megan boudreaux,24476749-miracle-on-voodoo-mountain
117968,miracle's boys,jacqueline woodson,2903267-miracle-s-boys
124814,miracles,judith mcnaught,32198423-miracles
30222,miracles,c.s. lewis,7706969-miracles
9147,miracles,joanie hileman,13447029-miracles
130597,miracles from heaven,christy wilson beam,25903324-miracles-from-heaven
