,books_authors
0,"[['by any other name', 'jodi picoult'], ['the cinnamon bun book store', 'laurie gilmore'], ['normal people', 'sally rooney'], ['the priory of the orange tree', 'samantha shannon'], ['know my name', 'chanel miller'], ['yellowface', 'r.f. kuang'], ['i have some questions for you', 'rebecca makkai'], ['honor', 'thrity umrigar'], ['anatomy', 'dana schwartz'], ['what happened to you?', 'bruce d. perry'], [""trixie and katya's guide to modern womanhood"", 'trixie mattel'], ['trust', 'pete buttigieg'], ['clap when you land', 'elizabeth acevedo'], ['beautiful and damned', 'robert m. drake'], [""it's what i do"", 'lynsey addario'], ['tangled', 'emma chase'], ['home front', 'kristin hannah'], ['king of thorns', 'mark lawrence'], ['monster hunter legion', 'larry correia'], ['wool omnibus', 'hugh howey'], ['shine', 'lauren myracle']]"
1,"[['not what she seems', 'yasmin angoe'], ['how to end a love story', 'yulin kuang'], ['a fate inked in blood', 'danielle l. jensen'], ['murder road', 'simone st. james'], ['your blood, my bones', 'kelly andrew'], ['middlegame', 'seanan mcguire'], ['blowout', 'rachel maddow'], ['from scratch', 'tembi locke'], ['toil & trouble', 'augusten burroughs'], ['the body', 'bill bryson'], ['pumpkinheads', 'rainbow rowell'], ['die, vol. 1', 'kieron gillen'], ['call down the hawk', 'maggie stiefvater'], ['new kid', 'jerry craft'], ['imogen, obviously', 'becky albertalli'], ['the kiss curse', 'erin sterling'], ['an immense world', 'ed yong'], ['killing stalking', 'koogi'], ['this close to okay', 'leesa cross-smith'], ['every last secret', 'a.r. torre'], ['rabbits', 'terry miles'], ['the anthropocene reviewed', 'john green'], ['mediocre', 'ijeoma oluo'], ['on juneteenth', 'annette gordon-reed'], ['zero fail', 'carol leonnig'], ['the girl from the sea', 'molly knox ostertag'], ['daughter of the deep', 'rick riordan'], ['in an instant', 'suzanne redfearn'], ['what kind of woman', 'kate baer'], ['all the bright places', 'jennifer niven'], ['alphas like us', 'krista ritchie'], ['all you can ever know', 'nicole chung'], ['useless magic', 'florence welch'], ['the night diary', 'veera hiranandani'], ['sing, unburied, sing', 'jesmyn ward'], ['love and other consolation prizes', 'jamie ford'], ['unshakeable', 'anthony robbins'], ['the legend of korra', 'michael dante dimartino'], ['the paper menagerie and other stories', 'ken liu'], ['dark money', 'jane mayer'], ['time travel', 'james gleick'], ['paper girls, volume 1', 'brian k. vaughan'], ['walk the edge', 'katie mcgarry'], ['what do you do with a problem?', 'kobi yamada'], ['the skull throne', 'peter v. brett'], ['when to rob a bank', 'steven d. levitt'], ['m train', 'patti smith'], ['serafina and the black cloak', 'robert beatty'], ['the long way home', 'louise penny'], ['the museum of extraordinary things', 'alice hoffman'], ['horrorstör', 'grady hendrix'], ['this changes everything', 'naomi klein'], ['sally ride', 'lynn sherr'], ['sweet addiction', 'j. daniels'], ['great north road', 'peter f. hamilton'], ['reckless', 's.c. stephens'], ['avatar', 'gene luen yang'], ['sweet tooth, vol. 6', 'jeff lemire'], ['the ghost bride', 'yangsze choo'], ['rose under fire', 'elizabeth wein'], ['requiem', 'lauren oliver'], ['celebrity in death', 'j.d. robb'], ['the snow child', 'eowyn ivey'], ['i, zombie', 'hugh howey'], ['the one and only ivan', 'katherine applegate'], ['deathless', 'catherynne m. valente'], ['battle hymn of the tiger mother', 'amy chua'], [""we'll always have summer"", 'jenny han'], ['flat-out love', 'jessica park'], ['forever', 'maggie stiefvater'], ['the walking dead, vol. 14', 'robert kirkman']]"
2,"[['james', 'percival everett'], ['how to solve your own murder', 'kristen perrin'], ['daydream', 'hannah grace'], ['the warm hands of ghosts', 'katherine arden'], ['a sweet sting of salt', 'rose sutherland'], ['red side story', 'jasper fforde'], ['so thirsty', 'rachel harrison'], ['the book of doors', 'gareth brown'], ['the truth according to ember', 'danica nava'], [""it's not you"", 'ramani durvasula'], ['reckless', 'lauren roberts'], ['a well-trained wife', 'tia levings'], ['an unfinished love story', 'doris kearns goodwin'], ['the bookshop', 'evan friss'], ['ask again, yes', 'mary beth keane'], ['miracle creek', 'angie kim'], ['the night fire', 'michael connelly'], ['ninth house', 'leigh bardugo'], ['the red scrolls of magic', 'cassandra clare'], ['small doses', 'amanda seales'], ['someone who will love you in all your damaged glory', 'raphael bob-waksberg'], [""the mermaid's voice returns in this one"", 'amanda lovelace'], ['empty bottles full of stories', 'r.h. sin'], ['we hunt the flame', 'hafsah faizal'], ['on the come up', 'angie thomas'], ['again, but better', 'christine riccio'], ['guts', 'raina telgemeier'], ['the good egg', 'jory john'], ['victory city', 'salman rushdie'], ['translation state', 'ann leckie'], ['monstrilio', 'gerardo sámano córdova'], ['beyond that, the sea', 'laura spence-ash'], ['notes on an execution', 'danya kukafka'], ['mad honey', 'jodi picoult'], ['the last house on the street', 'diane chamberlain'], ['hester', 'laurie lico albanese'], ['the last rose of shanghai', 'weina dai randel'], ['hidden pictures', 'jason rekulak'], ['our wives under the sea', 'julia armfield'], ['house of hunger', 'alexis henderson'], ['the office bffs', 'jenna fischer'], ['these precious days', 'ann patchett'], ['in love', 'amy bloom'], ['the man who could move clouds', 'ingrid rojas contreras'], ['poukahangatus', 'tayi tibble'], ['jackal', 'erin e. adams'], ['the girl in white', 'lindsay currie'], ['arsenic and adobo', 'mia p. manansala'], ['apples never fall', 'liane moriarty'], ['the night she disappeared', 'lisa jewell'], ['the book of magic', 'alice hoffman'], ['sorrowland', 'rivers solomon'], ['the heart principle', 'helen hoang'], [""winter's orbit"", 'everina maxwell'], ['the final girl support group', 'grady hendrix'], [""all's well"", 'mona awad'], [""please don't sit on my bed in your outside clothes"", 'phoebe robinson'], ['big time', 'jen spyra'], ['last call', 'elon green'], ['how to avoid a climate disaster', 'bill gates'], ['a little devil in america', 'hanif abdurraqib'], ['unbound', 'tarana burke'], ['beautiful country', 'qian julie wang'], ['four hundred souls', 'ibram x. kendi'], ['clarity & connection', 'yung pueblo'], ['instructions for dancing', 'nicola yoon'], ['a vow so bold and deadly', 'brigid kemmerer'], ['oona out of order', 'margarita montimore'], ['real life', 'brandon taylor'], ['magic lessons', 'alice hoffman'], ['the night watchman', 'louise erdrich'], ['rhythm of war', 'brandon sanderson'], ['the girl and the stars', 'mark lawrence'], ['hands down', 'mariana zapata'], ['agency', 'william gibson'], ['rage', 'bob woodward'], ['killing crazy horse', ""bill o'reilly""], ['breath', 'james nestor'], ['heartstopper', 'alice oseman'], ['such a fun age', 'kiley reid'], ['valentine', 'elizabeth wetmore'], [""axiom's end"", 'lindsay ellis'], ['raybearer', 'jordan ifueko'], ['a spark of light', 'jodi picoult'], ['the widows of malabar hill', 'sujata massey'], ['jane doe', 'victoria helen stone'], ['iron and magic', 'ilona andrews'], ['grey sister', 'mark lawrence'], ['all the light we cannot see', 'anthony doerr'], ['the martian', 'andy weir'], ['red rising', 'pierce brown'], ['the thief', 'j.r. ward'], ['birthday girl', 'penelope douglas'], ['record of a spaceborn few', 'becky chambers'], ['the hunger', 'alma katsu'], ['the last black unicorn', 'tiffany haddish'], [""i'll be gone in the dark"", 'michelle mcnamara'], ['whiskey in a teacup', 'reese witherspoon'], ['becoming', 'michelle obama'], ['a higher loyalty', 'james b. comey'], ['fly girls', ""keith o'brien""], ['ottolenghi simple', 'yotam ottolenghi'], ['black hammer, vol. 2', 'jeff lemire'], ['for every one', 'jason reynolds'], ['blood water paint', 'joy mccullough'], ['fruit of the drunken tree', 'ingrid rojas contreras'], ['war storm', 'victoria aveyard'], ['you go first', 'erin entrada kelly'], ['little fires everywhere', 'celeste ng'], ['beartown', 'fredrik backman'], ['the dry', 'jane harper'], ['come sundown', 'nora roberts'], ['damaged like us', 'krista ritchie'], ['raven stratagem', 'yoon ha lee'], ['the punch escrow', 'tal m. klein'], ['sleeping beauties', 'stephen king'], ['unqualified', 'anna faris'], ['everything is awful', 'matt bellassai'], ['daring to hope', 'katie davis majors'], ['the bright hour', 'nina riggs'], ['priestdaddy', 'patricia lockwood'], ['the gatekeepers', 'chris whipple'], ['the death and life of the great lakes', 'dan egan'], ['other minds', 'peter godfrey-smith'], ['behave', 'robert m. sapolsky'], [""caesar's last breath"", 'sam kean'], ['eight flavors', 'sarah lohman'], ['the vision, vol. 2', 'tom king'], ['long way down', 'jason reynolds'], ['the idea of you', 'robinne lee'], ['once and for all', 'sarah dessen'], ['autoboyography', 'christina lauren'], ['the language of thorns', 'leigh bardugo'], ['the woman in cabin 10', 'ruth ware'], ['the trespasser', 'tana french'], ['paper princess', 'erin watt'], ['ego is the enemy', 'ryan holiday'], ['when breath becomes air', 'paul kalanithi'], ['hungry heart', 'jennifer weiner'], ['unseen city', 'nathanael johnson'], ['black panther (2016-2018) #1', 'ta-nehisi coates'], ['whiskey words & a shovel ii', 'r.h. sin'], ['a promise of fire', 'amanda bouchet'], ['a thousand boy kisses', 'tillie cole'], ['empire of storms', 'sarah j. maas'], ['heartless', 'marissa meyer'], ['a torch against the night', 'sabaa tahir'], ['rebel of the sands', 'alwyn hamilton'], ['the midnight star', 'marie lu'], ['the royal we', 'heather cocks'], ['pretty girls', 'karin slaughter'], ['the kind worth killing', 'peter swanson'], ['secrets of a charmed life', 'susan meissner'], ['the bookseller', 'cynthia swanson'], ['seveneves', 'neal stephenson'], ['star wars', 'chuck wendig'], ['brainweb', 'douglas e. richards'], ['the ice twins', 's.k. tremayne'], ['the deep', 'nick cutter'], ['this book loves you', 'pewdiepie'], [""so you've been publicly shamed"", 'jon ronson'], ['all i know now', 'carrie hope fletcher'], ['a kim jong-il production', 'paul fischer'], ['come as you are', 'emily nagoski'], ['the dogs i have kissed', 'trista mateer'], ['made you up', 'francesca zappia'], ['all the bright places', 'jennifer niven'], ['more happy than not', 'adam silvera'], ['big little lies', 'liane moriarty'], ['an untamed state', 'roxane gay'], [""the sleepwalker's guide to dancing"", 'mira jacob'], ['the children act', 'ian mcewan'], ['the son', 'jo nesbø'], [""traitor's blade"", 'sebastien de castell'], ['sweet filthy boy', 'christina lauren'], ['the martian', 'andy weir'], ['california', 'edan lepucki'], ['hollow world', 'michael j. sullivan'], ['the troop', 'nick cutter'], ['men explain things to me', 'rebecca solnit'], ['finding me', 'michelle knight'], ['little failure', 'gary shteyngart'], ['creativity, inc.', 'ed catmull'], ['flash boys', 'michael lewis'], ['thrive', 'arianna huffington'], ['plenty more', 'yotam ottolenghi'], ['holding out', 'lila rose'], ['sky raiders', 'brandon mull'], ['the storyteller', 'jodi picoult'], ['americanah', 'chimamanda ngozi adichie'], ['the burgess boys', 'elizabeth strout'], ['the golem and the jinni', 'helene wecker'], ['the ghost bride', 'yangsze choo'], ['vicious', 'victoria schwab'], ['blood trade', 'faith hunter'], ['maddaddam', 'margaret atwood'], ['the long war', 'terry pratchett'], ['wait for you', 'j. lynn'], ['one summer', 'bill bryson'], ['manson', 'jeff guinn'], ['start.', 'jon acuff'], ['si-cology 1', 'si robertson'], ['adulting', 'kelly williams brown'], ['the fall of arthur', 'j.r.r. tolkien'], ['if you find me', 'emily murdoch'], ['bully', 'penelope douglas'], ['pivot point', 'kasie west'], ['fangirl', 'rainbow rowell'], ['doll bones', 'holly black'], [""billy lynn's long halftime walk"", 'ben fountain'], ['broken harbor', 'tana french'], ['the sandcastle girls', 'chris bohjalian'], ['the healing', 'jonathan odell'], ['the orchardist', 'amanda coplin'], ['shadows in flight', 'orson scott card'], [""captain vorpatril's alliance"", 'lois mcmaster bujold'], ['lothaire', 'kresley cole'], ['twilight of the elites', 'christopher l. hayes'], ['the secret race', 'tyler hamilton'], ['a feast of ice and fire', 'chelsea monroe-cassel'], ['forks over knives—the cookbook', 'del sroufe'], ['fever moon', 'karen marie moning'], ['saga, volume 1', 'brian k. vaughan'], [""the serpent's shadow"", 'rick riordan'], ['the extraordinary education of nicholas benedict', 'trenton lee stewart'], ['boy + bot', 'ame dyckman'], ['a trick of the light', 'louise penny'], ['doc', 'mary doria russell'], ['the autobiography of mrs. tom thumb', 'melanie benjamin'], ['the night circus', 'erin morgenstern'], ['one of our thursdays is missing', 'jasper fforde'], ['aftertime', 'sophie littlefield'], [""jeni's splendid ice creams at home"", 'jeni britton bauer'], ['super natural every day', 'heidi swanson'], ['between shades of gray', 'ruta sepetys'], ['bloodlines', 'richelle mead'], ['awakened', 'p.c. cast'], ['passion', 'lauren kate'], ['a world without heroes', 'brandon mull'], ['5 very good reasons to punch a dolphin in the mouth and other useful guides', 'matthew inman'], ['daytripper', 'fábio moon']]"
3,"[['the lion women of tehran', 'marjan kamali'], ['sociopath', 'patric gagne'], ['say nothing', 'patrick radden keefe'], ['bloom', 'kevin panetta'], ['the adventure zone vol. 2', 'clint mcelroy'], ['other words for home', 'jasmine warga'], [""the maid's diary"", 'loreth anne white'], ['stone blind', 'natalie haynes'], [""this time it's real"", 'ann liang'], ['outlive', 'peter attia'], ['trust', 'hernan diaz'], ['love on the brain', 'ali hazelwood'], ['time is a mother', 'ocean vuong'], ['daughter of the moon goddess', 'sue lynn tan'], ['if you could see the sun', 'ann liang'], ['golden girl', 'elin hilderbrand'], ['fugitive telemetry', 'martha wells'], ['how the king of elfhame learned to hate stories', 'holly black'], ['migrations', 'charlotte mcconaghy'], ['the burning god', 'r.f. kuang'], ['begin again', 'eddie s. glaude jr.'], ['why fish don’t exist', 'lulu miller'], ['harleen', 'stjepan šejić'], ['teen titans', 'kami garcia'], ['dearly', 'margaret atwood'], ['from the desk of zoe washington', 'janae marks'], ['the president is missing', 'bill clinton'], ['queen of shadows', 'sarah j. maas'], ['before we were yours', 'lisa wingate'], ['21 lessons for the 21st century', 'yuval noah harari'], ['brave', 'rose mcgowan'], ['everything here is beautiful', 'mira t. lee'], ['tools of titans', 'timothy ferriss'], ['the blood of emmett till', 'timothy b. tyson'], ['the sun and her flowers', 'rupi kaur'], ['here i am', 'jonathan safran foer'], ['it ends with us', 'colleen hoover'], ['saga, volume 6', 'brian k. vaughan'], ['the liar', 'nora roberts'], ['the thing about jellyfish', 'ali benjamin'], ['china dolls', 'lisa see'], ['shield of winter', 'nalini singh'], ['el deafo', 'cece bell'], ['a memory of light', 'robert jordan'], ['to sell is human', 'daniel h. pink'], ['mastermind', 'maria konnikova'], ['the distance between us', 'kasie west'], ['the darkest minds', 'alexandra bracken'], ['frostbite', 'leigh dragoon'], ['alien vs. predator', 'michael robbins'], ['cinder', 'marissa meyer'], ['divergent', 'veronica roth'], ['rules of civility', 'amor towles'], ['letters from home', 'kristina mcmorris'], ['second grave on the left', 'darynda jones'], ['what the night knows', 'dean koontz'], ['the name of the star', 'maureen johnson'], ['the unwanteds', 'lisa mcmann'], ['demonglass', 'rachel hawkins']]"
4,"[['in ascension', 'martin macinnes'], ['black leopard, red wolf', 'marlon james'], ['the deep', 'rivers solomon'], ['thrawn', 'timothy zahn'], ['growing things and other stories', 'paul tremblay'], ['the secrets we kept', 'lara prescott'], ['fleishman is in trouble', 'taffy brodesser-akner'], ['king of scars', 'leigh bardugo'], ['the villa', 'rachel hawkins'], ['throne of the fallen', 'kerri maniscalco'], ['token black girl', 'danielle prescod'], ['unlock your storybook heart', 'amanda lovelace'], ['memphis', 'tara m. stringfellow'], ['seven days in june', 'tia williams'], ['second first impressions', 'sally thorne'], ['the dating plan', 'sara desai'], ['you better be lightning', 'andrea gibson'], ['best nerds forever', 'james patterson'], ['home before dark', 'riley sager'], ['the vanishing half', 'brit bennett'], ['spoiler alert', 'olivia dade'], [""why we can't sleep"", 'ada calhoun'], ['the mars room', 'rachel kushner'], ['the last time i lied', 'riley sager'], ['in pieces', 'sally field'], ['algorithms of oppression', 'safiya umoja noble'], ['gone rogue', 'marissa meyer'], ['american war', 'omar el akkad'], ['strange the dreamer', 'laini taylor'], ['nutshell', 'ian mcewan'], ['the beast', 'j.r. ward'], ['gentleman jole and the red queen', 'lois mcmaster bujold'], [""adnan's story"", 'rabia chaudry'], ['white trash', 'nancy isenberg'], ['the escape', 'david baldacci'], ['you deserve a drink', 'mamrie hart'], ['an ember in the ashes', 'sabaa tahir'], ['everything, everything', 'nicola yoon'], ['until friday night', 'abbi glines'], ['the sword of summer', 'rick riordan'], ['frog music', 'emma donoghue'], ['earth awakens', 'orson scott card'], ['the last town', 'blake crouch'], ['the romanov sisters', 'helen rappaport'], ['killing patton', ""bill o'reilly""], ['red rising', 'pierce brown'], [""vader's little princess"", 'jeffrey brown'], ['collide', 'gail mchugh'], ['allegiant', 'veronica roth'], ['the age of miracles', 'karen thompson walker'], ['the traitor queen', 'trudi canavan'], [""the king's blood"", 'daniel abraham'], ['nocturnal', 'scott sigler'], ['steal like an artist', 'austin kleon'], ['it starts with food', 'dallas hartwig'], ['the immortal rules', 'julie kagawa'], ['a discovery of witches', 'deborah harkness'], ['turn right at machu picchu', 'mark adams'], ['darkest mercy', 'melissa marr'], ['vampire academy', 'leigh dragoon']]"
5,"[['martyr!', 'kaveh akbar'], ['play along', 'liz tomforde'], ['the rom-commers', 'katherine center'], ['the ministry of time', 'kaliane bradley'], ['orbital', 'samantha harvey'], [""i'm starting to worry about this black box of doom"", 'jason pargin'], ['diavola', 'jennifer marie thorne'], ['sky full of elephants', 'cebo campbell'], ['here one moment', 'liane moriarty'], ['heir', 'sabaa tahir'], ['the grandest game', 'jennifer lynn barnes'], ['the last romantics', 'tara conklin'], ['things you save in a fire', 'katherine center'], ['this is how you lose the time war', 'amal el-mohtar'], ['twas the nightshift before christmas', 'adam kay'], ['american predator', 'maureen callahan'], ['how to be an antiracist', 'ibram x. kendi'], ['how we fight for our lives', 'saeed jones'], ['a woman of no importance', 'sonia purnell'], ['the pioneers', 'david mccullough'], ['first', 'evan thomas'], ['kid gloves', 'lucy knisley'], ['laura dean keeps breaking up with me', 'mariko tamaki'], ['the fountains of silence', 'ruta sepetys'], ['american royals', 'katharine mcgee'], ['a curse so dark and lonely', 'brigid kemmerer'], ['sorcery of thorns', 'margaret rogerson'], ['shouting at the rain', 'lynda mullaly hunt'], ['the heaven & earth grocery store', 'james mcbride'], ['things we hide from the light', 'lucy score'], ['bewitched', 'laura thalassa'], ['a court this cruel & lovely', 'stacia stark'], ['check & mate', 'ali hazelwood'], ['eve', 'cat bohannon'], ['they called us exceptional', 'prachi gupta'], ['the wager', 'david grann'], ['the bullet that missed', 'richard osman'], ['go tell the bees that i am gone', 'diana gabaldon'], ['things we never got over', 'lucy score'], ['such sharp teeth', 'rachel harrison'], ['idiots', 'laura clery'], ['bittersweet', 'susan cain'], [""chef's kiss"", 'jarrett melendez'], ['kaikeyi', 'vaishnavi patel'], ['how high we go in the dark', 'sequoia nagamatsu'], ['ophelia after all', 'racquel marie'], ['the ballad of never after', 'stephanie garber'], ['the sunbearer trials', 'aiden thomas'], ['so this is ever after', 'f.t. lukens'], ['stellarlune', 'shannon messenger'], ['the reading list', 'sara nisha adams'], ['we are the brennans', 'tracey lange'], ['the good sister', 'sally hepworth'], ['the final revival of opal & nev', 'dawnie walton'], ['while we were dating', 'jasmine guillory'], ['light of the jedi', 'charles soule'], ['a dowry of blood', 's.t. gibson'], [""how y'all doing?"", 'leslie jordan'], ['think again', 'adam m. grant'], [""somebody's daughter"", 'ashley c. ford'], ['notes on grief', 'chimamanda ngozi adichie'], ['the code breaker', 'walter isaacson'], ['the three mothers', 'anna malaika tubbs'], ['cheer up', 'crystal frasier'], ['the paper palace', 'miranda cowley heller'], ['yolk', 'mary h.k. choi'], ['our violent ends', 'chloe gong'], ['once upon a broken heart', 'stephanie garber'], [""the ones we're meant to find"", 'joan he'], ['the guest list', 'lucy foley'], ['the city we became', 'n.k. jemisin'], ['age of deception', 't.a. white'], ['malorie', 'josh malerman'], ['god-level knowledge darts', 'desus'], ['the beauty in breaking', 'michele harper'], ['eat a peach', 'david chang'], ['break your glass slippers', 'amanda lovelace'], ['a burning', 'megha majumdar'], ['how much of these hills is gold', 'c pam zhang'], ['grown', 'tiffany d. jackson'], ['we dream of space', 'erin entrada kelly'], ['clean getaway', 'nic stone'], ['my year of rest and relaxation', 'ottessa moshfegh'], ['force of nature', 'jane harper'], ['something in the water', 'catherine steadman'], ['bloody rose', 'nicholas eames'], ['vengeful', 'victoria schwab'], ['elevation', 'stephen king'], ['the merry spinster', 'daniel m. lavery'], ['the library book', 'susan orlean'], ['rise and kill first', 'ronen bergman'], ['who we are and how we got here', 'david reich'], ['cravings', 'chrissy teigen'], ['magnolia table', 'joanna gaines'], ['the flame', 'leonard cohen'], ['a very large expanse of sea', 'tahereh mafi'], ['city of ghosts', 'victoria schwab'], ['what it means when a man falls from the sky', 'lesley nneka arimah'], ['the girl before', 'j.p. delaney'], ['golden prey', 'john sandford'], ['the ghostwriter', 'a.r. torre'], ['the night bird', 'brian freeman'], ['the women in the castle', 'jessica shattuck'], ['blood vow', 'j.r. ward'], ['egomaniac', 'vi keeland'], ['the gravity of us', 'brittainy c. cherry'], ['thrawn', 'timothy zahn'], ['all our wrong todays', 'elan mastai'], ['and the rest is history', 'jodi taylor'], ['white tears', 'hari kunzru'], [""one day we'll all be dead and none of this will matter"", 'scaachi koul'], ['hit makers', 'derek thompson'], ['black hammer, vol. 1', 'jeff lemire'], ['there are more beautiful things than beyoncé', 'morgan parker'], ['the animators', 'kayla rae whitaker'], ['when dimple met rishi', 'sandhya menon'], ['history is all you left me', 'adam silvera'], ['the ship of the dead', 'rick riordan'], ['rise of the isle of the lost', 'melissa de la cruz'], ['my name is lucy barton', 'elizabeth strout'], ['into the light', 'aleatha romig'], ['play dead', 'angela marsons'], ['redemption road', 'john hart'], [""america's first daughter"", 'stephanie dray'], ['the last days of night', 'graham moore'], ['the north water', 'ian mcguire'], ['the bird and the sword', 'amy harmon'], ['the score', 'elle kennedy'], ['roomhate', 'penelope ward'], ['dan and phil go outside', 'daniel howell'], ['the lonely city', 'olivia laing'], ['first women', 'kate andersen brower'], ['valiant ambition', 'nathaniel philbrick'], ['then come back', 'pablo neruda'], ['the girl from everywhere', 'heidi heilig'], ['lady midnight', 'cassandra clare'], ['glass sword', 'victoria aveyard'], ['furthermore', 'tahereh mafi'], ['death weavers', 'brandon mull'], ['all rise for the honorable perry t. cook', 'leslie connor'], ['when the moon is low', 'nadia hashimi'], ['a god in ruins', 'kate atkinson'], ['the boston girl', 'anita diamant'], ['circling the sun', 'paula mclain'], ['girl waits with gun', 'amy stewart'], ['the providence of fire', 'brian staveley'], ['we should hang out sometime', 'josh sundquist'], ['h is for hawk', 'helen macdonald'], ['the soul of an octopus', 'sy montgomery'], ['roller girl', 'victoria jamieson'], ['mouthful of forevers', 'clementine von radics'], ['saint anything', 'sarah dessen'], ['firefight', 'brandon sanderson'], ['end of days', 'susan ee'], ['the silkworm', 'robert galbraith'], ['the witch with no name', 'kim harrison'], ['the girl with all the gifts', 'm.r. carey'], ['popular', 'maya van wagenen'], ['tibetan peach pie', 'tom robbins'], ['savage harvest', 'carl hoffman'], ['hooked', 'nir eyal'], ['locke & key, vol. 6', 'joe hill'], ['the good girl', 'mary kubica'], ['the pearl that broke its shell', 'nadia hashimi'], ['elizabeth is missing', 'emma healey'], ['the line', 'j.d. horn'], ['take me on', 'katie mcgarry'], ['flat-out celeste', 'jessica park'], ['dreams of gods & monsters', 'laini taylor'], ['ruin and rising', 'leigh bardugo'], ['the infinite sea', 'rick yancey'], ['a world without princes', 'soman chainani'], ['the girl you left behind', 'jojo moyes'], ['the crown tower', 'michael j. sullivan'], ['a natural history of dragons', 'marie brennan'], ['the third kingdom', 'terry goodkind'], ['gameboard of the gods', 'richelle mead'], ['the humans', 'matt haig'], ['terms of enlistment', 'marko kloos'], ['ten tiny breaths', 'k.a. tucker'], ['carry on, warrior', 'glennon doyle'], ['david and goliath', 'malcolm gladwell'], ['hyperbole and a half', 'allie brosh'], ['dog songs', 'mary oliver'], ['dare you to', 'katie mcgarry'], ['if you find me', 'emily murdoch'], ['navigating early', 'clare vanderpool'], ['chasing the prophecy', 'brandon mull'], ['the innocent', 'david baldacci'], ['garment of shadows', 'laurie r. king'], ['shadow heir', 'richelle mead'], ['ashes of honor', 'seanan mcguire'], [""fury's kiss"", 'karen chance'], ['mortality', 'christopher hitchens'], ['yes, chef', 'marcus samuelsson'], [""let's pretend this never happened"", 'jenny lawson'], ['i am a pole', 'stephen colbert'], ['most talkative', 'andy cohen'], ['pandemonium', 'lauren oliver'], ['motorcycle man', 'kristen ashley'], ['easy', 'tammara webber'], ['slammed', 'colleen hoover'], ['out of sight, out of time', 'ally carter'], ['the statistical probability of love at first sight', 'jennifer e. smith'], ['the wishing spell', 'chris colfer'], ['one cool friend', 'toni buzzeo'], ['dragons love tacos', 'adam rubin'], [""the lover's dictionary"", 'david levithan'], ['never knowing', 'chevy stevens'], ['love you more', 'lisa gardner'], ['the rogue', 'trudi canavan'], ['flashback', 'dan simmons'], ['the last werewolf', 'glen duncan'], ['the murder of the century', 'paul collins'], ['the man in the rockefeller suit', 'mark seal'], ['killing lincoln', ""bill o'reilly""], ['townie', 'andre dubus iii'], ['wheat belly', 'william davis'], ['wanderlust', 'elisabeth eaves'], ['beautiful disaster', 'jamie mcguire'], ['city of fallen angels', 'cassandra clare'], ['across the universe', 'beth revis'], ['mastiff', 'tamora pierce'], ['the penderwicks at point mouette', 'jeanne birdsall'], ['magic slays', 'ilona andrews']]"
6,"[['the mighty red', 'louise erdrich'], ['a woman is no man', 'etaf rum'], ['olive, again', 'elizabeth strout'], ['the most fun we ever had', 'claire lombardo'], ['the turn of the key', 'ruth ware'], ['an anonymous girl', 'greer hendricks'], ['the starless sea', 'erin morgenstern'], ['age of legend', 'michael j. sullivan'], ['verity', 'colleen hoover'], ['a cosmology of monsters', 'shaun hamill'], ['the need', 'helen phillips'], ['furious hours', 'casey cep'], ['maid', 'stephanie land'], ['underland', 'robert macfarlane'], ['the covenant of water', 'abraham verghese'], ['all the dangerous things', 'stacy willingham'], ['how to sell a haunted house', 'grady hendrix'], ['powerless', 'lauren roberts'], ['lessons in chemistry', 'bonnie garmus'], ['we spread', 'iain reid'], ['the devil takes you home', 'gabino iglesias'], ['a magic steeped in poison', 'judy i. lin'], ['eternal', 'lisa scottoline'], ['just as i am', 'cicely tyson'], ['shine your icy crown', 'amanda lovelace'], ['hood feminism', 'mikki kendall'], ['untamed', 'glennon doyle'], ['the hand on the wall', 'maureen johnson'], ['the future of humanity', 'michio kaku'], ['paper girls, volume 4', 'brian k. vaughan'], ['the poet x', 'elizabeth acevedo'], ['wade in the water', 'tracy k. smith'], ['dear ijeawele, or a feminist manifesto in fifteen suggestions', 'chimamanda ngozi adichie'], ['moxie', 'jennifer mathieu'], ['the vanishing year', 'kate moretti'], ['the reader', 'traci chee'], [""the architect's apprentice"", 'elif shafak'], ['the night sister', 'jennifer mcmahon'], ['sick in the head', 'judd apatow'], ['scary close', 'donald miller'], ['the unbeatable squirrel girl, vol. 1', 'ryan north'], ['winter', 'marissa meyer'], ['the invention of wings', 'sue monk kidd'], ['this girl', 'colleen hoover'], ['fractured', 'd.j. molles'], ['five days at memorial', 'sheri fink'], ['give and take', 'adam m. grant'], ['chew, vol. 6', 'john layman'], ['odd apocalypse', 'dean koontz'], ['the sea of tranquility', 'katja millay'], ['duckling gets a cookie!?, the-pigeon series', 'mo willems'], ['sing you home', 'jodi picoult'], ['grave dance', 'kalayna price'], ['wonderstruck', 'brian selznick'], ['breadcrumbs', 'anne ursu']]"
