,titles_authors
0,"['whispering rock, robyn carr', 'it had to be you, jill shalvis', 'save the date, mary kay andrews', 'book lovers, emily henry', 'about that night, julie james', ""the billionaire's voice, j.s. scott"", 'irresistible, susan mallery', 'in the heir, ruth cardello', 'sweet little lies, jill shalvis', 'delectable, r.l. mathewson', 'until we touch, susan mallery', 'party of two, jasmine guillory', 'the hookup, kristen ashley', 'cross my heart, carly phillips', 'thank you for listening, julia whelan', 'the best man, kristan higgins', ""devil's cut, j.r. ward"", 'sizzling, susan mallery', 'vision in white, nora roberts', 'rose harbor in bloom, debbie macomber', 'redwood bend, robyn carr', 'come as you are, lauren blakely', 'chesapeake blue, nora roberts', 'what we find, robyn carr', 'home again, kristin hannah', 'act your age, eve brown, talia hibbert', 'the promise, robyn carr', 'exclusively yours, shannon stacey', 'big girl panties, stephanie evanovich', 'beard with me, penny reid', ""the angels' share, j.r. ward"", 'nuts, alice clayton', 'swan point, sherryl woods', 'undeniably yours, shannon stacey', 'rescue me, rachel gibson', 'love on the brain, ali hazelwood', 'accidentally yours, susan mallery', 'happy place, emily henry', 'the bourbon kings, j.r. ward', 'beard science, penny reid', 'meet cute, helena hunting', ""it's not about me, max lucado"", 'toy story, walt disney company', 'the intern, volume 2, brooke cumberland', 'forbidden falls, robyn carr', 'any day now, robyn carr', 'it happened one wedding, julie james', 'daring to dream, nora roberts', 'one to watch, kate stayman-london', 'the wedding party, jasmine guillory', 'not quite mine, catherine bybee', 'too hot to handle, victoria dahl', 'not in love, ali hazelwood', 'the love hypothesis, ali hazelwood', 'sugar daddy, lisa kleypas', 'the soulmate equation, christina lauren', 'the substitute, denise grover swank', 'deep in the valley, robyn carr', 'your captivating love, layla hagen', 'promise canyon, robyn carr', 'sweet tea at sunrise, sherryl woods', 'a new hope, robyn carr', 'yours to keep, shannon stacey', 'my kind of wonderful, jill shalvis', 'brown-eyed girl, lisa kleypas', 'the royal we, heather cocks', 'moonlight road, robyn carr', 'finding the dream, nora roberts', 'the unhoneymooners, christina lauren', 'silver linings, debbie macomber', 'single by saturday, catherine bybee', 'people we meet on vacation, emily henry', 'who’s that girl?, mhairi mcfarlane', 'everywhere and every way, jennifer probst', 'wife by wednesday, catherine bybee', 'sea swept, nora roberts', 'tangled up in you, rachel gibson', 'holding the dream, nora roberts', 'home in carolina, sherryl woods', 'the girl from summer hill, jude deveraux', 'the best of friends, susan mallery', 'silver thaw, catherine anderson', 'the negotiator, avery flynn', 'when we met, susan mallery', 'the wanderer, robyn carr', 'virgin river, robyn carr', 'the kiss quotient, helen hoang', 'it happened one summer, tessa bailey', 'at last, jill shalvis', 'the spanish love deception, elena armas', 'a distant heart, sonali dev', 'barefoot in the sand, roxanne st. claire', 'sofia khan is not obliged, ayisha malik', 'hello stranger, katherine center', 'shame on me, tara sivec', 'harvest moon, robyn carr', 'sunrise point, robyn carr', 'second first impressions, sally thorne', 'to have and to hold, lauren layne', '311 pelican court, debbie macomber', 'just one night, lauren layne', 'once in a lifetime, jill shalvis', 'martin luther, martin luther', 'terry pratchett, terry pratchett', 'the holy bible, anonymous', 'where are you going, where have you been?, joyce carol oates', 'sin city, frank miller', 'el extraño caso del doctor jekyll y mr. hyde y otros relatos de terror, robert louis stevenson', 'flow my tears, the policeman said, philip k. dick', 'transformed, suzanne falter', 'not a book, not a book', 'thor, jason aaron', 'sueños de cristal, araceli samudio', 'inferno, expert book reviews', 'moby dick, herman melville', 'chicken soup for the soul, jack canfield', 'semina il vento, alessandro perissinotto', 'to the cache la poudre, b.n. rundell', 'not another thug story 3, desiree m. granger']"
1,"['the hundred-year house, rebecca makkai', 'the secret wisdom of the earth, christopher scotton', 'when we were orphans, kazuo ishiguro', 'cage of stars, jacquelyn mitchard', 'mad, bad & dangerous to know, samira ahmed', 'the sixteen trees of the somme, lars mytting', 'dreamland burning, jennifer latham', 'the curious incident of the dog in the night-time, mark haddon', ""the vanishing act of esme lennox, maggie o'farrell"", 'as long as the lemon trees grow, zoulfa katouh', 'glow, megan e. bryant', 'the secret life of bees, sue monk kidd', 'the earth hums in b flat, mari strachan']"
2,"['witch king, martha wells', 'the immortal prince, jennifer fallon', 'ruin, john gwynne', ""exile's honor, mercedes lackey"", 'city of dragons, robin hobb', 'wrath, john gwynne', 'a sorceress comes to call, t. kingfisher', 'fire & blood, george r.r. martin', 'the grace of kings, ken liu', 'valor, john gwynne', 'the grey bastards, jonathan french', 'queen of fire, anthony ryan', 'the rage of dragons, evan winter', 'the usurper, rowena cory daniells', 'holy sister, mark lawrence', 'mistborn, brandon sanderson', 'the bands of mourning, brandon sanderson', 'blood of dragons, robin hobb', 'path of fate, diana pharaoh francis', 'ultima dorință, andrzej sapkowski', 'the trouble with peace, joe abercrombie', 'age of myth, michael j. sullivan', ""the thief who pulled on trouble's braids, michael mcclung"", 'edgedancer, brandon sanderson', 'elantris, brandon sanderson', ""king's dragon, kate elliott"", 'the reluctant queen, sarah beth durst', 'the way of kings, part 2, brandon sanderson', 'storm warning, mercedes lackey', 'words of radiance, brandon sanderson', 'the last stormlord, glenda larke', 'the black prism, brent weeks', ""mage's blood, david hair"", 'a dance of cloaks, david dalglish', 'the hundred thousand kingdoms, n.k. jemisin', 'the alloy of law, brandon sanderson', 'owlknight, mercedes lackey', 'rhythm of war, brandon sanderson', 'valour, john gwynne', 'the well of ascension, brandon sanderson', 'royal assassin, robin hobb', 'el pozo de la ascensión, brandon sanderson', ""the king's bastard, rowena cory daniells"", 'das erbe von winterfell, george r.r. martin', 'ostatnie życzenie, andrzej sapkowski', 'winds of fate, mercedes lackey', 'the white gryphon, mercedes lackey', 'die stürme des zorns, brandon sanderson', 'the uncrowned king, rowena cory daniells', 'warbreaker, brandon sanderson', 'owlsight, mercedes lackey', 'the forgetting moon, brian lee durfee', 'storm rising, mercedes lackey', 'the silver gryphon, mercedes lackey', 'die gabe der könige, robin hobb', 'the lost metal, brandon sanderson', 'winds of change, mercedes lackey', 'palabras radiantes, brandon sanderson', 'der pfad der winde, brandon sanderson', 'rise of the ranger, philip c. quaintrell', 'a little hatred, joe abercrombie', 'die dunkle königin, george r.r. martin', 'spellwright, blake charlton', 'der weg der könige, brandon sanderson', 'the way of kings, part 1, brandon sanderson', 'words of radiance, part 2, brandon sanderson', 'el imperio final, brandon sanderson', 'storm breaking, mercedes lackey', 'zeit der krähen, george r.r. martin', 'el héroe de las eras, brandon sanderson', 'winds of fury, mercedes lackey', 'wojna w blasku dnia. księga i, peter v. brett', 'aprendiz de asesino, robin hobb', 'the hero of ages, brandon sanderson', 'the eleventh metal, brandon sanderson', ""fool's assassin, robin hobb"", 'prince of thorns, mark lawrence', 'el aliento de los dioses, brandon sanderson', 'shadows of self, brandon sanderson']"
3,"['the lost language of cranes, david leavitt', 'all fours, miranda july', 'what belongs to you, garth greenwell', 'this is why i hate you, onision', 'our wives under the sea, julia armfield', 'disobedience, naomi alderman', 'king and the dragonflies, kacen callender', 'boyfriend material, alexis hall', 'babycakes, armistead maupin', 'a safe girl to love, casey plett', 'she of the mountains, vivek shraya', 'find me, andré aciman', 'further tales of the city, armistead maupin', 'radio silence, alice oseman', 'the swimming-pool library, alan hollinghurst', 'trans-sister radio, chris bohjalian', 'tales of the city, armistead maupin', 'the night listener, armistead maupin', 'nick and charlie, alice oseman', 'the death of vivek oji, akwaeke emezi', 'the days of anna madrigal, armistead maupin', 'the pairing, casey mcquiston', 'the mysteries of pittsburgh, michael chabon', 'real life, brandon taylor', 'speak no evil, uzodinma iweala', 'stranger than fanfiction, chris colfer', 'annabel, kathleen winter', 'kissani jugoslavia, pajtim statovci', 'the inexplicable logic of my life, benjamin alire sáenz', 'greta & valdin, rebecca k. reilly']"
4,"['dirty red, tarryn fisher', 'throne of truth, pepper winters', 'bold tricks, karina halle', 'the tied man, tabitha mcgowan', 'the untouchables, j.j. mcavoy', 'crown of lies, pepper winters', 'born, darkly, trisha wolfe', 'american savages, j.j. mcavoy', 'crow, a. zavarelli', 'shooting scars, karina halle', 'scandalous, l.j. shen', ""reaper's property, joanna wylde"", 'paint it all red, s.t. abby', 'king of pride, ana huang', 'lev, belle aurora', 'the pawn, skye warren', 'in the stillness, andrea randall', 'welcome to the underworld, con template', 'on every street, karina halle', 'sins & needles, karina halle', 'cyanide, ella fields']"
5,"['the distant echo, val mcdermid', 'black widow, christopher brookmyre', 'the complaints, ian rankin', 'when will there be good news?, kate atkinson', 'white nights, ann cleeves', 'a tale etched in blood and hard black pencil, christopher brookmyre', 'boiling a frog, christopher brookmyre', 'cold earth, ann cleeves', 'perfect prey, helen sarah fields', 'quite ugly one morning, christopher brookmyre', 'raven black, ann cleeves', 'blue lightning, ann cleeves', 'now may you weep, deborah crombie', 'perfect remains, helen sarah fields', 'where the bodies are buried, christopher brookmyre', 'the end of the wasp season, denise mina', 'the skeleton road, val mcdermid', 'red bones, ann cleeves', 'rather be the devil, ian rankin', 'the blackhouse, peter may', 'still midnight, denise mina', 'never somewhere else, alex gray', 'one good turn, kate atkinson', 'the lewis man, peter may', 'a snowball in hell, christopher brookmyre', 'doors open, ian rankin', 'a darker domain, val mcdermid', 'the reborn, lin anderson']"
6,"['peeps, scott westerfeld', 'the dig, michael siemsen', 'the last days, scott westerfeld', 'the rise of nine, pittacus lore', 'the rising, will hill', 'dragon and thief, timothy zahn', 'max, james patterson', 'angel, james patterson', 'the delphi effect, rysa walker', 'bulan, tere liye', 'the fall of five, pittacus lore', 'voices of dragons, carrie vaughn', 'virals, kathy reichs', ""a dark inheritance, chris d'lacey"", 'agatha h and the airship city, phil foglio', 'alone, robert j. crane', 'broken, robert j. crane', 'the dangerous days of daniel x, james patterson', 'saving the world and other extreme sports, james patterson', 'fang, james patterson', 'before tomorrowland, jeff jensen', 'nevermore, james patterson', 'the angel experiment, james patterson', 'saltation, sharon lee', 'bumi, tere liye', 'alliance, mark frost', 'seizure, kathy reichs', 'enemies, robert j. crane', 'magonia, maria dahvana headley']"
7,"['and one wore gray, heather graham', 'sheik, connie mason', 'devil water, anya seton', 'storm and silence, robert thier', 'green city in the sun, barbara wood', ""the maiden's hand, susan wiggs"", 'shadow of the moon, m.m. kaye', 'sentence of marriage, shayne parkinson', 'vixen, jillian larkin', ""the virgin's lover, philippa gregory"", ""if it ain't love, tamara allen"", 'the viking, marti talbott', 'the jewel of st. petersburg, kate furnivall', 'the pleasure palace, kate emerson', 'remember me, lesley pearse', 'the reluctant heiress, eva ibbotson', 'silence is golden, robert thier', 'women & children first, gill paul', 'the ruin of a rake, cat sebastian', 'splendor, anna godbersen', 'before the rains, dinah jefferies', 'promised to the crown, aimie k. runyan', '1932, karen m. cox', 'the other countess, eve edwards', 'it takes two to tumble, cat sebastian', 'the handfasters, helen susan swift', 'a fashionable indulgence, k.j. charles', 'settling the account, shayne parkinson', 'legacy, danielle steel', 'no greater love, danielle steel', 'ashes in the wind, kathleen e. woodiwiss', 'november of the heart, lavyrle spencer', 'the book of summer, michelle gable', 'waiting for the moon, kristin hannah', 'a wallflower christmas, lisa kleypas', 'rescued by a highlander, keira montclair', 'come high water, carolyn brown', 'conditions are favorable, tara staley', 'garnet, carolyn brown', 'die wanderhure, iny lorentz', 'unlocked, courtney milan', 'a song for summer, eva ibbotson', 'the immigrants, howard fast', 'the scrapbook of frankie pratt, caroline preston', 'una navidad inolvidable, lisa kleypas', 'the luxe, anna godbersen', ""miss merry's christmas, callie hutton"", 'the road between us, nigel farndale', 'through a glass darkly, karleen koen', ""love's wild desire, jennifer blake"", 'provoked, joanna chambers', 'ransom my heart, meg cabot', 'home for the holidays, johanna lindsey', 'the darling strumpet, gillian bagwell', 'while you were mine, ann howard creel', 'the golden cup, belva plain', 'rumors, anna godbersen', 'the lady always wins, courtney milan', 'a countess below stairs, eva ibbotson', ""gabriel's woman, robin schone"", 'unnatural, joanna chambers', 'envy, anna godbersen', 'the remarkable journey of miss tranby quirke, elizabeth ridley', 'a second chance, shayne parkinson', 'to taste the wine, fern michaels', 'secreto bien guardado, viviana rivero', 'from thin air, carolyn brown']"
8,"['dopefiend, donald goines', 'parker pyne investigates, agatha christie', ""miss marple's final cases, agatha christie"", ""the mystery of hunter's lodge, agatha christie"", 'the witness for the prosecution and other stories, agatha christie', 'the hound of death and other stories, agatha christie', 'the labours of hercules, agatha christie', 'the golden ball and other stories, agatha christie', 'the tragedy at marsdon manor, agatha christie', 'the adventure of the cheap flat, agatha christie', 'four and twenty blackbirds, agatha christie', 'the shawshank redemption, stephen king', 'murder is easy, agatha christie', 'the mousetrap and other plays, agatha christie', 'the king of clubs, agatha christie', 'rita hayworth and shawshank redemption, stephen king', ""dead man's folly, agatha christie"", 'the adventure of the christmas pudding, agatha christie', 'the regatta mystery and other stories, agatha christie', 'the million dollar bond robbery, agatha christie', 'miss marple, agatha christie', 'the memoirs of sherlock holmes, arthur conan doyle', 'the witness for the prosecution, agatha christie', 'the harlequin tea set and other stories, agatha christie', 'agatha christie, agatha christie', 'the case of the caretaker, agatha christie', 'destination unknown, agatha christie', 'the lemesurier inheritance, agatha christie', ""hercule poirot's christmas, agatha christie"", 'the case of the missing will, agatha christie', 'the kidnapped prime minister, agatha christie', 'three blind mice, agatha christie', 'the adventure of the egyptian tomb, agatha christie', 'the secret of chimneys, agatha christie', 'tres ratones ciegos, agatha christie', 'the man who knew too much, g.k. chesterton', 'the jewel robbery at the grand metropolitan, agatha christie', 'hercule poirot and the greenshore folly, agatha christie', 'poirot investigates, agatha christie', 'three blind mice and other stories, agatha christie', 'the second gong, agatha christie', 'playback, raymond chandler']"
9,"['last hit, jessica clare', 'rock chick renegade, kristen ashley', 'torch, cambria hebert', 'nauti nights, lora leigh', 'nauti dreams, lora leigh', 'shattered, helen hardt', 'singe, aly martinez', ""mackenzie's mountain, linda howard"", 'the accidental assassin, nichole chase', 'dawn of forever, jewel e. ann', 'the outpost, devney perry', 'nauti deceptions, lora leigh', 'the salvation of vengeance, nancy haviland', 'dangerous passion, lisa marie rice', 'for a lifetime, rosemarie naramore', 'wyoming bold, diana palmer', 'rock chick redemption, kristen ashley', 'rules of protection, alison bliss', 'survival instinct, janie crouch']"
