,titles_authors
0,"['the devil you know, freida mcfadden', 'shades of pink, gina lamanna', 'keeper of the light, diane chamberlain', 'body movers, stephanie bond', 'after you left, carol mason', 'from the desk of zoe washington, janae marks', ""rachel's holiday, marian keyes"", 'the kissing booth, beth reekles', 'secrets of the lighthouse, santa montefiore', ""bobbie faye's very (very, very, very) bad day, toni mcgee causey"", 'the summer i dared, barbara delinsky', 'the last will of moira leahy, therese walsh', '92 pacific boulevard, debbie macomber', 'mr. and miss anonymous, fern michaels', 'calamity jayne, kathleen bacus', 'reflection, diane chamberlain', 'murder in thrall, anne cleeland', 'see me, nicholas sparks', 'love from paris, alexandra potter', 'the bay at midnight, diane chamberlain', 'thirty-one and a half regrets, denise grover swank', 'coming to rosemont, barbara hinske', 'the truth about melody browne, lisa jewell', 'the honey farm on the hill, jo thomas', 'the moment of truth, shari low', 'southern lights, danielle steel', 'little bird of heaven, joyce carol oates', 'summerland, elin hilderbrand', ""my lover's lover, maggie o'farrell"", 'the tea house on mulberry street, sharon owens', 'secret lives, diane chamberlain', 'saving grace, pamela fagan hutchins', 'voices in summer, rosamunde pilcher', 'the lighthouse keeper, cynthia ellingsen', 'the matchmaker, elin hilderbrand', 'matters of the heart, danielle steel', 'the making of us, lisa jewell', 'a fountain filled with blood, julia spencer-fleming', 'secrets she left behind, diane chamberlain', 'the summer girls, mary alice monroe', 'dangerous minds, janet evanovich', 'seduced by sunday, catherine bybee', 'beachcombers, nancy thayer', 'the blue bistro, elin hilderbrand', 'the lemon orchard, luanne rice', 'kiss river, diane chamberlain', 'beach town, mary kay andrews', 'swan song, elin hilderbrand', 'death, taxes, and a skinny no-whip latte, diane kelly', 'mambo in chinatown, jean kwok', 'happiness key, emilie richards', 'the castaways, elin hilderbrand', 'sweet expectations, mary ellen taylor', 'nantucket nights, elin hilderbrand', 'the ballroom class, lucy dillon', 'the rose petal beach, dorothy koomson', 'the guests on south battery, karen white', 'all i ever wanted, lucy dillon', 'the hope family calendar, mike gayle', 'olivia joules and the overactive imagination, helen fielding', 'trouble never sleeps, stephanie tromly', 'betrayal, danielle steel', 'the amber fury, natalie haynes', 'cypress point, diane chamberlain', ""summer's child, diane chamberlain"", 'isle of palms, dorothea benton frank', ""can't stand the heat, leighann dobbs"", 'the rumor, elin hilderbrand', 'gut gegen nordwind, daniel glattauer', 'the last anniversary, liane moriarty', 'the beach club, elin hilderbrand', 'the mystery of mercy close, marian keyes', 'the furies, natalie haynes', 'out of the deep i cry, julia spencer-fleming', 'what looks like crazy, charlotte hughes', 'doing it over, catherine bybee', 'love in a nutshell, janet evanovich', 'everything we left behind, kerry lonsdale', 'the spring girls, anna todd', 'twenty-nine and a half reasons, denise grover swank', 'heroes are my weakness, susan elizabeth phillips', 'lowcountry summer, dorothea benton frank', 'long time coming, sandra brown', 'the tailgate, elin hilderbrand', 'the fifth letter, nicola moriarty', 'oh my god, what a complete aisling, emer mclysaght', 'summer at little beach street bakery, jenny colgan', 'the right attitude to rain, alexander mccall smith', 'this charming man, marian keyes']"
1,"['forbidden fruit, erica spindler', 'trust me, brenda novak']"
2,"['fireside, susan wiggs', 'winter wonderland, belinda jones', 'that wintry feeling, debbie macomber', 'angels everywhere, debbie macomber', 'christmas eve at friday harbor, lisa kleypas', 'the snow bride, debbie macomber', 'tidings of great joy, sandra brown', 'where angels go, debbie macomber', 'in a holidaze, christina lauren', 'the snow globe, sheila roberts', 'christmas under a starlit sky, holly martin', 'only us, susan mallery', 'sleigh bells in the snow, sarah morgan', 'those christmas angels, debbie macomber', ""christmas at tiffany's, karen swan"", 'a corisi christmas, ruth cardello', 'christmas on primrose hill, karen swan', 'candlelight christmas, susan wiggs', '1225 christmas tree lane, debbie macomber', 'christmas wishes and mistletoe kisses, jenny hale', 'mistletoe at moonglow, deborah garner', 'christmas at copper mountain, jane porter', 'the perfect christmas, debbie macomber', ""gabriel's angel, nora roberts"", ""a fool's gold christmas, susan mallery"", 'jingle bell harbor, tracy brogan', 'that holiday feeling, debbie macomber', 'holly, jude deveraux', 'a christmas to remember, jenny hale', 'home for christmas, melissa mcclone', 'the perfect gift, serenity woods', 'a yorkshire christmas, kate hewitt', 'when christmas comes, debbie macomber', 'first impressions, nora roberts', 'mrs. miracle, debbie macomber', 'christmas on candy cane lane, sheila roberts', 'christmas wishes, debbie macomber', 'merry ex-mas, sheila roberts', 'call me mrs. miracle, debbie macomber', 'christmas at lilac cottage, holly martin', 'a cedar cove christmas, debbie macomber', 'a cliché christmas, nicole deese', 'lakeshore christmas, susan wiggs']"
3,"['sacrificial magic, stacia kane', 'pale demon, kim harrison', 'blood trade, faith hunter', 'dead witch walking, kim harrison', 'moon tortured, mckenzie hunter', 'the good, the bad, and the undead, kim harrison', 'death at peony house, krista walsh', 'black arts, faith hunter', 'thirteen, kelley armstrong', 'the witch with no name, kim harrison', 'every which way but dead, kim harrison', 'deadly hearts, s.m. reine', 'the undead pool, kim harrison', 'boundary crossed, melissa f. olson', 'dark heir, faith hunter', 'dead spots, melissa f. olson', 'ever after, kim harrison', 'a perfect blood, kim harrison', 'death rejoices, a.j. aalto', 'fate bound, madeline freeman', 'blood work, kim harrison', 'dying bites, d.d. barant', 'signatures of the dead, faith hunter', 'curse on the land, faith hunter', 'for a few demons more, kim harrison', 'fused in fire, k.f. breene', 'violet tendencies, jaye wells', 'immune, shannon mayer', 'raven cursed, faith hunter', 'darkness unchained, mckenzie hunter', 'shadow rites, faith hunter', 'white witch, black curse, kim harrison', 'golden delicious, faith hunter', 'unholy magic, stacia kane', 'unholy ghosts, stacia kane', 'flame in the dark, faith hunter', 'hexbound, chloe neill', ""the queen's witch, karen chance"", 'chasing magic, stacia kane', 'cat tats, faith hunter', 'kits, faith hunter', 'skinwalker, faith hunter', 'shadowland, karen chance', 'web of deceit, jennifer estep', 'tracking magic, shannon mayer', 'libriomancer, jim c. hines', 'blood of the earth, faith hunter', 'born in fire, k.f. breene', 'haints, faith hunter']"
4,"['article 5, kristen simmons', 'eve, anna carey', ""birthmarked, caragh m. o'brien"", 'sunrise, mike mullin', 'fuse, julianna baggott', 'not a drop to drink, mindy mcginnis', 'end of days, susan ee', 'pure, julianna baggott', 'homecoming, kass morgan', 'breaking point, kristen simmons', 'once, anna carey', 'day 21, kass morgan', 'the 100, kass morgan', 'masque of the red death, bethany griffin', 'sever, lauren destefano', 'through the ever night, veronica rossi', 'starters, lissa price', 'raging star, moira young', 'the testing, joelle charbonneau', 'burn, julianna baggott', 'el mundo del mañana, susan ee', 'partials, dan wells', 'the revolution of ivy, amy engel', 'world after, susan ee', 'into the still blue, veronica rossi']"
5,"['every last kiss, courtney cole', 'sweet venom, tera lynn childs', 'darkness becomes her, kelly keaton', 'the scarlet thread, d.s. murphy', 'goddess of the night, lynne ewing', 'chain of gold, cassandra clare', 'escape, lynne ewing', 'outcast, lynne ewing', 'the queen of zombie hearts, gena showalter', 'angelfall, susan ee', 'through the door, jodi mcisaac', 'the immortal crown, richelle mead', 'the lost book of the white, cassandra clare', 'gilded, christina farley', 'the goddess legacy, aimee carter', 'midnight frost, jennifer estep', 'shifting, bethany wiggins', 'hemlock, kathleen peacock', 'clockwork princess, cassandra clare', 'half-blood, jennifer l. armentrout', 'mortal gods, kendare blake', 'demigods and monsters, raye wagner', 'spectacle, rachel vincent', 'goddess, josephine angelini', 'the curse keepers, denise grover swank', 'lucian, isabel abedi', 'dreamless, josephine angelini', 'príncipe mecánico, cassandra clare', 'amber smoke, kristin cast', 'gameboard of the gods, richelle mead', 'a beautiful evil, kelly keaton', 'szeptucha, katarzyna berenika miszczuk', 'göttlich verloren, josephine angelini', 'göttlich verdammt, josephine angelini', 'furious, jill wolfson', 'menagerie, rachel vincent', ""tiger's voyage, colleen houck"", 'sentinel, jennifer l. armentrout', 'mondsilbertraum, marah woolf', 'another pan, daniel nayeri', 'die dunkle prophezeiung des pan, sandra regnier', 'la principessa, cassandra clare', 'apollyon, jennifer l. armentrout']"
6,"['the demon, hubert selby jr.', 'the keep, jennifer egan', 'outer dark, cormac mccarthy', ""wise blood, flannery o'connor"", ""the violent bear it away, flannery o'connor"", 'and the ass saw the angel, nick cave', 'the fifth child, doris lessing', 'fallen land, patrick flanery', 'joe, larry brown', 'child of god, cormac mccarthy']"
7,"['the truth machine, james l. halperin', 'the time hoppers, robert silverberg', 'they shall have stars, james blish', 'the sky so big and black, john barnes', 'iron man, peter david', 'spacer and rat, margaret bechard', 'millennium, john varley', 'once burned, peter david', 'when true night falls, c.s. friedman', 'cradle, arthur c. clarke', 'monstrosity, edward lee', 'worlds enough and time, joe haldeman', 'star trek, rick sternbach', 'farmer in the sky, robert a. heinlein', 'the final evolution, jeff somers', 'forever peace, joe haldeman', 'company town, madeline ashby', 'on such a full sea, chang-rae lee', 'stand on zanzibar, john brunner', ""the dark knight, dennis o'neil"", 'a maze of death, philip k. dick', 'vulcan!, kathleen sky', 'the forever war, joe haldeman', 'wonder, robert j. sawyer', 'space, stephen baxter', 'the mindwarpers, eric frank russell', 'lightborn, tricia sullivan', 'the armies of memory, john barnes', 'the forge of god, greg bear', 'footfall, larry niven', 'killing time, della van hise', 'orcs, stan nicholls', 'first among sequels, jasper fforde', 'robots and empire, isaac asimov', 'the ashes of eden, william shatner', ""hammer's slammers, david drake"", 'marsbound, joe haldeman', 'doctor who, mike tucker', 'federation, judith reeves-stevens', ""mind's eye, douglas e. richards"", 'ravenor, dan abnett', 'house of cards, peter david', ""logan's world, william f. nolan"", 'the lifecycle of software objects, ted chiang', 'blaze of glory, simon hawke', 'earth, david brin', ""jacinto's remnant, karen traviss"", 'edge of tomorrow, hiroshi sakurazaka', 'the rider, scott sigler', 'storie naturali, primo levi', 'jack of eagles, james blish', 'ahriman, john french', 'dreadnought and shuttle, l.j. cohen', 'the merchants of souls, john barnes', 'hunter/victim, robert sheckley']"
8,"[""lost at sea, bryan lee o'malley"", 'shortcomings, adrian tomine', 'skim, mariko tamaki', 'giant days, vol. 4, john allison', 'this one summer, mariko tamaki', 'swallow me whole, nate powell', ""snotgirl, vol. 1, bryan lee o'malley"", 'in real life, cory doctorow', 'the end of the fucking world, charles forsman', 'lucky penny, ananth hirsh', 'giant days, vol. 3, john allison']"
9,"['between shades of gray, andrew donkin', 'boxers, gene luen yang', 'mercury, hope larson', 'delilah dirk and the turkish lieutenant, tony cliff', 'the prince and the dressmaker, jen wang', 'black widow, richard k. morgan', 'anne of green gables, mariah marsden', 'berlin, vol. 1, jason lutes', 'berlin, vol. 2, jason lutes', ""father gaetano's puppet catechism, mike mignola"", 'a contract with god and other tenement stories, will eisner', 'cruddy, lynda barry', 'pride & prejudice, stacy king', 'emma, vol. 06, kaoru mori', 'free comic book day 2014, fred van lente', 'the punisher, vol. 3, garth ennis', ""walt disney's uncle scrooge, carl barks"", 'marvel 1602, neil gaiman', 'berlin, jason lutes', 'rust vol. 1, royden lepp', 'idéal standard, aude picault', 'magni, matt burns', 'my favorite thing is monsters, vol. 1, emil ferris', 'doctor who, nick abadzis', '1602, neil gaiman', 'requiem of the rose king, vol. 1, aya kanno', 'the good earth, pearl s. buck', '47 ronin, mike richardson', 'the crystal shard, r.a. salvatore', 'lackadaisy, tracy j. butler', 'emma, vol. 07, kaoru mori', 'buddha, vol. 1, osamu tezuka', 'pride of baghdad, brian k. vaughan', 'black butler, vol. 2, yana toboso', 'judge dredd, garth ennis']"
10,"['the light of the world, elizabeth alexander', 'i remember nothing and other reflections, nora ephron', 'a long way home, saroo brierley', 'paris to the moon, adam gopnik', 'you could make this place beautiful, maggie smith', 'aftershocks, nadia owusu', 'dreaming in hindi, katherine russell rich', 'hourglass, dani shapiro', 'sunlight on my shadow, judy liautaud', 'the blind side, michael lewis', 'the diary of frida kahlo, frida kahlo', 'under and alone, william queen', ""i'll see you again, jackie hance"", 'fire shut up in my bones, charles m. blow', 'my reading life, pat conroy', ""you can't catch death, ianthe brautigan"", '#girlboss, sophia amoruso', 'drunk mom, jowita bydlowska', ""it's what i do, lynsey addario"", 'at home in the world, tsh oxenreider', 'bella tuscany, frances mayes', 'chosen by a horse, susan richards', 'lion, saroo brierley', 'a well-trained wife, tia levings', 'the sound of gravel, ruth wariner', 'the unwinding of the miracle, julie yip-williams', 'dying, cory taylor', 'dear mr. you, mary-louise parker', 'real american, julie lythcott-haims', 'becoming free indeed, jinger duggar vuolo', 'bunny mellon, meryl gordon', 'waiting to be heard, amanda knox', 'elsewhere, richard russo', 'counting the cost, jill duggar', ""somebody's daughter, ashley c. ford"", 'last night at the viper room, gavin edwards', ""i'll show myself out, jessi klein"", 'who thought this was a good idea?, alyssa mastromonaco', 'love, loss, and what we ate, padma lakshmi', 'blue nights, joan didion', 'the only girl in the world, maude julien', 'burn the place, iliana regan', 'grace, grace coddington', 'sex object, jessica valenti', 'crash override, zoe quinn', 'all you can ever know, nicole chung', 'hillbilly elegy, j.d. vance', 'the end of your life book club, will schwalbe', 'hammer head, nina maclaughlin', 'notes from a young black chef, kwame onwuachi', 'transition, chaz bono', 'i remember nothing, nora ephron', 'hungry heart, jennifer weiner', 'being jazz, jazz jennings', 'lust & wonder, augusten burroughs', ""you don't have to say you love me, sherman alexie"", 'wandering in strange lands, morgan jerkins', 'love warrior, glennon doyle melton', 'it chooses you, miranda july', 'silent tears, kay bratt', 'the rules do not apply, ariel levy', 'give a girl a knife, amy thielen', 'notes on grief, chimamanda ngozi adichie', 'happiness, heather harpham', 'everything beautiful in its time, jenna bush hager', 'ordinary light, tracy k. smith', 'shadows of the workhouse, jennifer worth', 'south and west, joan didion', 'taste, stanley tucci', 'more than enough, elaine welteroth', 'crying in h mart, michelle zauner', 'call the midwife, jennifer worth', 'finding me, michelle knight', 'al franken, giant of the senate, al franken', 'really professional internet person, jenn mcallister', 'unbound, tarana burke', 'solo, hope solo', 'remembering whitney, cissy houston', 'the man who could move clouds, ingrid rojas contreras', 'ghost in the wires, kevin d. mitnick', 'not buying it, judith levine', 'hunger, roxane gay', ""i'm looking through you, jennifer finney boylan"", 'knife, salman rushdie', 'house of sticks, ly tran', 'amy, my daughter, mitch winehouse', ""it's not okay, andi dorfman"", 'heads in beds, jacob tomsky', 'over the top, jonathan van ness', 'weekends with daisy, sharron kahn luttrell', 'the beauty in breaking, michele harper', 'four seasons in rome, anthony doerr', ""how y'all doing?, leslie jordan"", 'the misadventures of awkward black girl, issa rae', 'loud, drew afualo', 'home game, michael lewis', 'uncultured, daniella mestyanek young', 'onward, howard schultz', 'permanent midnight, jerry stahl', 'the clancys of queens, tara clancy', ""vous n'aurez pas ma haine, antoine leiris"", 'positive, paige rawl', 'educating alice, alice steinbach', 'broken horses, brandi carlile', 'beautiful country, qian julie wang', ""i'm feeling lucky, douglas edwards"", 'save me the plums, ruth reichl', 'carrie and me, carol burnett', 'we all fall down, nic sheff', 'dearie, bob spitz', 'glitter and glue, kelly corrigan', 'strangeland, tracey emin', 'where the past begins, amy tan', 'they called us exceptional, prachi gupta', 'with or without you, domenica ruta', 'all creatures great and small, james herriot', 'little labors, rivka galchen', 'where the light gets in, kimberly williams-paisley', 'the andy cohen diaries, andy cohen', 'the odd woman and the city, vivian gornick', 'heavy, kiese laymon', 'shy boy, monty roberts', 'adventures in the screen trade, william goldman', 'ma’am darling, craig brown', ""the manicurist's daughter, susan lieu"", 'wave, sonali deraniyagala', 'hunger makes me a modern girl, carrie brownstein', 'stay true, hua hsu', 'beautiful boy, david sheff', 'baby catcher, peggy vincent', 'ruining it for everybody, jim knipfel']"
11,"['rough ride, paul kimmage', 'through my eyes, tim tebow', 'not without hope, nick schuyler', 'the crazy game, clint malarchuk', 'living out loud, craig sager', 'i never had it made, jackie robinson', 'shoe dog, phil knight', 'i beat the odds, michael oher', 'the last season, phil jackson', 'the test of my life, yuvraj singh', 'my time, bradley wiggins', 'bravey, alexi pappas', 'alex ferguson, alex ferguson', 'the secret race, tyler hamilton', 'rahul dravid, espn cricinfo', 'you cannot be serious, john mcenroe', 'eleven rings, phil jackson', 'the yankee years, joe torre', ""it's not about the bike, lance armstrong""]"
