,titles_authors
10,"['the confusion, neal stephenson', 'a natural history of dragons, marie brennan', 'the tropic of serpents, marie brennan', 'the adventures of amina al-sirafi, shannon chakraborty', 'civil war on sunday, mary pope osborne', 'genghis, conn iggulden', 'flash for freedom, george macdonald fraser', 'aztec, gary jennings', 'oath breaker, michelle paver', 'the burning land, bernard cornwell', ""flashman's lady, george macdonald fraser"", 'pirates past noon, mary pope osborne', 'on stranger tides, tim powers', 'the mammoth hunters, jean m. auel', 'mother earth father sky, sue harrison', 'the bedlam stacks, natasha pulley', 'heretic, bernard cornwell', 'the plains of passage, jean m. auel', 'under the eagle, simon scarrow', 'sir nigel, arthur conan doyle', 'viking ships at sunrise, mary pope osborne', 'vagabond, bernard cornwell', 'tower of thunder, chris heimerdinger', 'night of the ninjas, mary pope osborne', 'the stolen girl, zia wesley', 'war of the wolf, bernard cornwell', 'scarlet, stephen r. lawhead', 'hood, stephen r. lawhead', 'the half-drowned king, linnea hartsuyker', 'the terror, dan simmons', 'city of masks, mary hoffman', 'space, james a. michener', 'the camelot shadow, sean gibson', 'knights of the kitchen table, jon scieszka', 'royal flash, george macdonald fraser', 'the last kingdom, bernard cornwell', 'outcast, michelle paver', 'el clan del oso cavernario, jean m. auel', 'river god, wilbur smith', 'the shelters of stone, jean m. auel', ""jamrach's menagerie, carol birch"", ""the archer's tale, bernard cornwell"", 'pirate latitudes, michael crichton', 'gentlemen of the road, michael chabon', 'the white company, arthur conan doyle', 'she, h. rider haggard', 'kingdoms and conquerors, chris heimerdinger', 'the last legion, valerio massimo manfredi', 'flashman and the dragon, george macdonald fraser', 'warriors of cumorah, chris heimerdinger', 'the silver hand, stephen r. lawhead', 'flashman and the tiger, george macdonald fraser', 'the game of kings, dorothy dunnett', 'my sister the moon, sue harrison', 'the pirates! in an adventure with scientists, gideon defoe', 'sword song, bernard cornwell', 'flashman and the mountain of light, george macdonald fraser', 'warlock, wilbur smith', 'death of kings, bernard cornwell', 'eaters of the dead, michael crichton', 'the eight, katherine neville', 'the land of painted caves, jean m. auel', 'harlequin, bernard cornwell', 'the princess of the chalet school, elinor m. brent-dyer', 'the quest, wilbur smith', 'the golden crown, chris heimerdinger']"
11,"['the prague cemetery, umberto eco', 'the ship in the hill, william l. sullivan', 'primary colors, anonymous', 'the mambo kings play songs of love, oscar hijuelos', 'night train to lisbon, pascal mercier', 'the white castle, orhan pamuk', 'the passenger, cormac mccarthy', 'oh, play that thing, roddy doyle', 'dogeaters, jessica hagedorn', 'kentucky ham, william s. burroughs jr.', 'samarkand, amin maalouf', 'imagining argentina, lawrence thornton', 'gump and co., winston groom', 'the story of a brief marriage, anuk arudpragasam', 'the invisible circus, jennifer egan', 'manhattan transfer, john dos passos', 'the plot against america, philip roth', 'washington, d.c., gore vidal', 'flight to canada, ishmael reed', 'shame, salman rushdie', 'the short-timers, gustav hasford', 'the damned utd, david peace', 'the legend of bagger vance, steven pressfield', 'historia de dos ciudades, charles dickens', 'pfitz, andrew crumey', 'the island of the day before, umberto eco', 'reservation blues, sherman alexie', 'the book of saladin, tariq ali', 'of mice and men, john steinbeck', 'the spinoza problem, irvin d. yalom', 'omega minor, paul verhaeghen', 'my name is red, orhan pamuk', 'soldados de salamina, javier cercas', 'snow, orhan pamuk', 'alexander, valerio massimo manfredi', ""the moor's last sigh, salman rushdie"", 'pafko at the wall, don delillo']"
12,"['line war, neal asher', 'triplanetary, e.e. ""doc"" smith', 'the line of polity, neal asher', 'prador moon, neal asher', 'life on mars, tracy k. smith', 'fulgrim, graham mcneill', 'inherit the stars, james p. hogan', 'a fire upon the deep, vernor vinge', 'time, stephen baxter', 'record of a spaceborn few, becky chambers', 'hunting party, elizabeth moon', 'conflict of honors, sharon lee', 'raven stratagem, yoon ha lee', 'star trek, rick sternbach', 'star wars, troy denning', 'star wars, karen miller', 'the silver ships, s.h. jucha', 'no prisoners, karen traviss', 'to sleep in a sea of stars, christopher paolini', 'matter, iain m. banks', 'descent of angels, mitchel scanlon', 'barrayar, lois mcmaster bujold', 'mechanicum, graham mcneill', 'the siege, peter david', 'the vital abyss, james s.a. corey', 'battle for the abyss, ben counter', 'starfall, melissa landers', 'nemesis games, james s.a. corey', 'the truth of valor, tanya huff', 'shards of earth, adrian tchaikovsky', 'judas unchained, peter f. hamilton', ""necessity's child, sharon lee"", 'heart of the comet, david brin', 'children of memory, adrian tchaikovsky', 'galactic north, alastair reynolds', 'gods of risk, james s.a. corey', 'galaxy in flames, ben counter', 'carpe diem, sharon lee', 'the krytos trap, michael a. stackpole', 'the consuming fire, john scalzi', 'the mercy of gods, james s.a. corey', ""isard's revenge, michael a. stackpole"", 'mass effect, drew karpyshyn', 'the lost starship, vaughn heppner', 'iron sunrise, charles stross', 'sassinak, anne mccaffrey', 'manifold, stephen baxter', 'diamond dogs, turquoise days, alastair reynolds', 'navigators of dune, brian herbert', 'consider phlebas, iain m. banks', 'a fall of moondust, arthur c. clarke', 'star wars, barbara hambly', ""tiamat's wrath, james s.a. corey"", 'wild space, karen miller', 'the battle of corrin, brian herbert', 'executor rising, rhett c. bruno', 'pushing ice, alastair reynolds', 'space opera, catherynne m. valente', 'falling free, lois mcmaster bujold', 'drive, james s.a. corey', 'the last watch, j.s. dewes', 'the last emperox, john scalzi', 'caliban’s war, james s.a. corey', 'shipstar, gregory benford', 'crystal soldier, sharon lee', 'house of suns, alastair reynolds', 'brain ships, anne mccaffrey', 'project hail mary, andy weir', 'fallen angels, mike lee', 'we are legion (we are bob), dennis e. taylor', 'saltation, sharon lee', 'ancillary justice, ann leckie', 'gray lensman, e.e. ""doc"" smith', 'children of time, adrian tchaikovsky', 'ghost ship, sharon lee', 'horus rising, dan abnett', 'the abyss beyond dreams, peter f. hamilton', 'mercenary, piers anthony', 'children of ruin, adrian tchaikovsky', 'halo, joseph staten', 'starfighters of adumar, aaron allston', 'false gods, graham mcneill', 'leviathan falls, james s.a. corey', 'the flight of the eisenstein, james swallow', 'xenos, dan abnett', 'fear to tread, james swallow', 'the butcher of anderson station, james s.a. corey', 'start the game, vasily mahanenko', 'the temporal void, peter f. hamilton', 'the dreaming void, peter f. hamilton', ""pandora's star, peter f. hamilton"", 'troika, alastair reynolds', 'the lost destroyer, vaughn heppner', 'deathworld 1, harry harrison', 'revenger, alastair reynolds', 'malleus, dan abnett', 'zenith, sasha alsberg', 'pandore abusée, peter f. hamilton', ""noa's ark, c. gockel"", 'judas démasqué, peter f. hamilton', 'judas déchaîné, peter f. hamilton']"
13,"[""better when he's bad, jay crownover"", 'tattoo thief, heidi joy tretheway', 'tempting the bodyguard, j. lynn', 'my kind of forever, heidi mclaughlin', 'the one real thing, samantha young', 'zane, jo raven', 'worth the fall, claudia connor', 'hallowed ground, rebecca yarros', 'hitched, kendall ryan', 'the offer, karina halle', 'all your perfects, colleen hoover', 'the brightest sunset, aly martinez', ""better when he's brave, jay crownover"", ""better when he's bold, jay crownover"", 'commander in chief, katy evans', 'thrive, krista ritchie', 'easy melody, kristen proby', 'the debt, karina halle', ""when you're ready, j.l. berg"", 'idle bloom, jewel e. ann', 'swink, adriana locke', 'switch, adriana locke', 'every little thing, samantha young', 'tyler & stella, heidi joy tretheway', 'everything she never wanted, tasha l. harrison', 'finding it, cora carmack', 'sweet filthy morning after, christina lauren', 'beloved, corinne michaels', 'a beautiful funeral, jamie mcguire', 'stud finder, lauren blakely', 'built, jay crownover', 'play me, katie mccoy', 'salvaged, jay crownover', 'need me, tessa bailey', 'filthy english, ilsa madden-mills', 'beholden, corinne michaels', 'burying water, k.a. tucker', 'move the stars, jessica hawkins', 'withering hope, layla hagen', 'falling stars, sadie grubor', 'cinder & ella, kelly oram', 'roomies, christina lauren', 'listen to me, kristen proby', 'home for christmas, melissa mcclone', 'players, bumps and cocktail sausages, natasha preston', 'my unexpected forever, heidi mclaughlin', 'it ends with us, colleen hoover', 'the fortunate ones, r.s. grey', 'slip of the tongue, jessica hawkins', 'everyone loves a hero, marie force', 'easy magic, kristen proby', 'hothouse flower, krista ritchie', ""when you're back, abbi glines"", 'nowhere but here, renee carlino', 'beautiful mistake, vi keeland', 'the song of david, amy harmon', 'sex symbol, laurelin paige', 'rome, jay crownover', 'in the cards, jamie beck', 'the billionaire takes all, j.s. scott', 'november, audrey carlan', 'ugly love, colleen hoover', 'blush for me, kristen proby', 'isto acaba aqui, colleen hoover', 'beautiful, christina lauren', ""when i'm gone, abbi glines"", 'echoes of scotland street, samantha young', 'the kiss, c.a. newsome', 'bittersweet, sarina bowen', 'only for us, cristin harber', 'after the kiss, lauren layne', 'royally screwed, emma chase', 'his unlikely lover, natasha anders', 'off the record, k.a. linde', 'misconduct, penelope douglas', 'nash, jay crownover', 'mister wrong, nicole williams', 'the beauty of us, kristen proby', 'searching for perfect, jennifer probst', 'the marriage contract, katee robert', 'beneath this mask, meghan march', 'stay with me, alexandria house', 'artistic license, elle pierson', 'four seconds to lose, k.a. tucker', 'cyanide, ella fields', 'fall, cora brent', 'zurück ins leben geliebt, colleen hoover']"
14,"['the game changer, j. sterling', 'all broke down, cora carmack', 'consumed, skyla madi', 'cutters vs. jocks, elizabeth marx', 'devious minds, k.f. germaine', 'love surfaced, michelle lynn', 'unfixable, tessa bailey', 'wilder, rebecca yarros', 'all lined up, cora carmack', '#selfie, cambria hebert', 'spinning out, lexi ryan', 'cinderella steals home, carly syms', 'scoring wilder, r.s. grey', 'mine, katy evans', 'worth the fight, vi keeland', 'one week girlfriend, monica murphy', 'one, jewel e. ann', 'driven, k. bromberg', 'on a tuesday, whitney g.', 'sweet home, tillie cole', 'off sides, sawyer bennett', 'coming in from the cold, sarina bowen', 'crashed, k. bromberg', 'sweet rome, tillie cole', 'all played out, cora carmack', '#bae, cambria hebert', 'the failing hours, sara ney', 'the deal, elle kennedy', 'king of campus, jennifer sucevic', 'the friend zone, kristen callihan', 'hate to love you, tijan*', 'fake fiancée, ilsa madden-mills', 'the understatement of the year, sarina bowen', 'kissing madeline, lex martin', 'crossing the ice, jennifer comeaux', 'keep me still, caisey quinn', 'holding onto forever, heidi mclaughlin', 'execution, lucia franco', 'stroked hard, meghan quinn', 'breaking a legend, sarah robinson', 'finding me, stephanie rose', 'ryker, sawyer bennett', 'zack, sawyer bennett', 'the unofficial zack warren fan club, j.c. isabella', 'pucked over, helena hunting', 'sacked, jen frederick', '#hater, cambria hebert', 'real, katy evans', '#player, cambria hebert', 'pucked up, helena hunting', 'four years later, monica murphy', 'revved, samantha towle', 'moonshot, alessandra torre', 'fallen crest home, tijan*', 'finding dandelion, lex martin', 'this is falling, ginger scott', 'the hot shot, kristen callihan', '#poser, cambria hebert', ""waking olivia, elizabeth o'roark"", '#nerd, cambria hebert', 'tyed, l.j. shen', 'breakaway, catherine gayle', 'the play, karina halle', 'stroked, meghan quinn', 'the year we fell down, sarina bowen', 'sweet fall, tillie cole', 'the cad and the co-ed, l.h. cosway', 'heartless, winter renshaw', 'getting lucky number seven, cindi madsen', 'remy, katy evans', 'the studying hours, sara ney', 'pucked, helena hunting', 'misadventures of a college girl, lauren rowe', 'life on the edge, jennifer comeaux', 'fallen crest forever, tijan*', '#blur, cambria hebert', 'stealing home, nicole williams', 'the hook up, kristen callihan', 'the game plan, kristen callihan', 'fraternize, rachel van dyken', 'full measures, rebecca yarros', 'from lukov with love, mariana zapata', 'nova, rebecca yarros', 'ride, harper dallas', 'fighting for flight, j.b. salsbury', 'prohibido enamorarse, elle kennedy', 'good boy, sarina bowen', 'rebel, rebecca yarros', 'offside, alison hendricks', 'settling the score, r.s. grey', 'the hooker and the hermit, l.h. cosway', 'legend, katy evans', 'amour amour, krista ritchie', 'the baller, vi keeland']"
15,"['just one look, harlan coben', 'run away, harlan coben', 'the wicked girls, alex marwood', 'the chemistry of death, simon beckett', 'last man standing, david baldacci', 'stay dead, anne frasier', 'a cold dark place, gregg olsen', 'heartbroken, lisa unger', ""the maid's diary, loreth anne white"", 'dirty blonde, lisa scottoline', 'creep, jennifer hillier', 'closer than blood, gregg olsen', 'heat lightning, john sandford', 'crash & burn, lisa gardner', 'darkness, my old friend, lisa unger', 'the weight of lies, emily carpenter', 'breakdown, jonathan kellerman', ""daddy's gone a hunting, mary higgins clark"", 'the accident, linwood barclay', 'liar liar, m.j. arlidge', 'crazy love you, lisa unger', 'eyes on you, kate white', ""don't tell a soul, d.k. hood""]"
16,"['fire and ice, julie garwood', 'fearless, diana palmer', 'guarding suzannah, norah wilson', 'turning point, tiffany snow', 'northern lights, nora roberts', 'hidden star, nora roberts', 'river road, jayne ann krentz', 'the ideal man, julie garwood']"
17,"['how to be married, jo piazza', 'reasons to stay alive, matt haig', 'big friendship, aminatou sow', 'year of yes, shonda rhimes', 'start something that matters, blake mycoskie', 'the truth, neil strauss', '#girlboss, sophia amoruso', 'recovery, russell brand', 'girl, wash your face, rachel hollis', 'living with a seal, jesse itzler', 'how not to hate your husband after kids, jancee dunn', '438 days, jonathan franklin', 'girl walks out of a bar, lisa f. smith', 'real american, julie lythcott-haims', 'committed, elizabeth gilbert', 'river of time, naomi judd', 'still writing, dani shapiro', 'the moth presents all these wonders, catherine burns', ""there's more to life than this, theresa caputo"", 'the last lecture, randy pausch', ""stay sexy & don't get murdered, karen kilgariff"", 'girl alone, cathy glass', 'carry on, warrior, glennon doyle', 'nothing is impossible, christopher reeve', 'find the good, heather lende', 'the art of asking; or, how i learned to stop worrying and let people help, amanda palmer', 'dying to be me, anita moorjani', 'body positive power, megan jayne crabbe', 'dream more, dolly parton', 'the choice, edith eger', 'the gentle art of swedish death cleaning, margareta magnusson', 'more than enough, elaine welteroth', 'the beggar king and the secret of happiness, joel ben izzy', 'really professional internet person, jenn mcallister', 'zaczyn. o zofii i oskarze hansenach, filip springer', 'data, a love story, amy webb', 'carry on, warrior, glennon doyle melton', 'what my bones know, stephanie foo', ""where there's hope, elizabeth smart"", 'own the moment, carl lentz', 'loud, drew afualo', 'onward, howard schultz', 'full circle, michael palin', 'present over perfect, shauna niequist', ""i'm feeling lucky, douglas edwards"", 'a curious mind, brian grazer', 'the diva rules, michelle visage', 'everything i know about love, dolly alderton', 'what i know for sure, oprah winfrey']"
18,"['an irish country girl, patrick taylor', ""fingal o'reilly, irish doctor, patrick taylor"", 'the princes of ireland, edward rutherfurd', 'an irish country wedding, patrick taylor', 'an irish country courtship, patrick taylor', 'an irish country doctor, patrick taylor', 'the rebels of ireland, edward rutherfurd', 'an irish country village, patrick taylor', 'a dublin student doctor, patrick taylor', 'the true and splendid history of the harristown sisters, michelle lovric']"
19,"[""credo's hope, alison naomi holt*"", 'bruno, chief of police, martin walker', 'little elvises, timothy hallinan', ""bootlegger's daughter, margaret maron"", ""the singer's gun, emily st. john mandel"", 'the murder stone, louise penny', 'disco for the departed, colin cotterill', 'anarchy and old dogs, colin cotterill', 'the monogram murders, sophie hannah', 'the third rule of ten, gay hendricks', 'the beautiful mystery, louise penny', 'pago pago tango, john enright', 'maigret and monsieur charles, georges simenon', 'closed casket, sophie hannah', 'love songs from a shallow grave, colin cotterill', 'the brutal telling, louise penny', ""the dead mountaineer's inn, arkady strugatsky"", 'a rule against murder, louise penny', 'i shot the buddha, colin cotterill', ""the weed that strings the hangman's bag, alan bradley"", 'the messenger of athens, anne zouroudi', 'a fatal grace, louise penny', ""black lotus, k'wan*"", 'sweet and deadly, charlaine harris', 'a better man, louise penny', 'the jewels of paradise, donna leon', 'diary of a street diva, ashley antoinette', 'what lies between us, nayomi munaweera', 'thirty-three teeth, colin cotterill', 'seeds of deception, linda castillo', 'the sherlockian, graham moore', 'the buried book, d.m. pulley', 'death at the chateau bremont, m.l. longworth', 'death turns a trick, julie smith', ""the rat catchers' olympics, colin cotterill"", 'the apostle, brad thor', 'dead cold, louise penny', 'curse of the pogo stick, colin cotterill', 'six and a half deadly sins, colin cotterill', 'przejęcie, wojciech chmielarz', 'dirty money, ashley antoinette', 'carter diamond part 2, ashley antoinette']"
