,titles_authors
22,"['the warm hands of ghosts, katherine arden', 'the mercy of gods, james s.a. corey', 'the moment of lift, melinda french gates', 'trick mirror, jia tolentino', 'super pumped, mike isaac', 'the princess and the fangirl, ashley poston', 'guts, raina telgemeier', 'to night owl from dogfish, holly goldberg sloan', 'a fire in the flesh, jennifer l. armentrout', 'slaying the vampire conqueror, carissa broadbent', 'chain of thorns, cassandra clare', 'chain-gang all-stars, nana kwame adjei-brenyah', 'eve, cat bohannon', 'the girl who fell beneath the sea, axie oh', 'the maidens, alex michaelides', 'a little devil in america, hanif abdurraqib', 'tokyo ever after, emiko jean', 'such a fun age, kiley reid', ""a black women's history of the united states, daina ramey berry"", 'the times i knew i was gay, eleanor crewes', 'there there, tommy orange', 'from lukov with love, mariana zapata', 'hello stranger, lisa kleypas', 'the cabin at the end of the world, paul tremblay', 'fear, bob woodward', 'accessory to war, neil degrasse tyson', 'the belles, dhonielle clayton', 'front desk, kelly yang', 'origin, dan brown', 'without merit, colleen hoover', 'egomaniac, vi keeland', 'the collapsing empire, john scalzi', 'dear ijeawele, or a feminist manifesto in fifteen suggestions, chimamanda ngozi adichie', 'my favorite thing is monsters, vol. 1, emil ferris', 'the sun and her flowers, rupi kaur', 'the upside of unrequited, becky albertalli', 'the legend of rock paper scissors, drew daywalt', 'the widow, fiona barton', 'the moon in the palace, weina dai randel', 'orange, ichigo takano', 'after you, jojo moyes', 'in the unlikely event, judy blume', ""the architect's apprentice, elif shafak"", 'girl waits with gun, amy stewart', 'aurora, kim stanley robinson', 'crashed, k. bromberg', 'silence for the dead, simone st. james', 'in the kingdom of ice, hampton sides', 'think like a freak, steven d. levitt', 'love letters to the dead, ava dellaira', 'heir of fire, sarah j. maas', 'tales from a not-so-glam tv star, rachel renée russell', 'orphan train, christina baker kline', 'threat vector, tom clancy', ""mrs. lincoln's dressmaker, jennifer chiaverini"", 'the house girl, tara conklin', 'prisoner b-3087, alan gratz', 'the sandcastle girls, chris bohjalian', 'on dublin street, samantha young', 'seduced in the dark, c.j. roberts', 'alive in a dead world, mark tufo', 'quiet, susan cain', 'tiny beautiful things, cheryl strayed', 'the son of neptune, rick riordan', 'maine, j. courtney sullivan', 'leviathan wakes, james s.a. corey', 'eat slay love, jesse petersen', 'incognito, david eagleman', 'wanderlust, elisabeth eaves', 'vespers rising, rick riordan', 'habibi, craig thompson']"
23,"['behind every good man, sara goodman confino', 'the things we didn’t know, elba iris pérez', 'heartstopper, alice oseman', 'searching for sylvie lee, jean kwok', 'one word kill, mark lawrence', 'do you mind if i cancel?, gary janetti', 'the testaments, margaret atwood', 'butts, heather radke', 'cobalt red, siddharth kara', 'paris, paris hilton', 'jackal, erin e. adams', 'in love, amy bloom', 'the first to die at the end, adam silvera', 'local woman missing, mary kubica', 'west with giraffes, lynda rutledge', 'firebreak, nicole kornher-stace', 'the last house on needless street, catriona ward', 'honey girl, morgan rogers', 'black buck, mateo askaripour', 'the last emperox, john scalzi', 'fangirl, vol. 1, sam maggs', 'the adventure zone vol. 3, clint mcelroy', 'home body, rupi kaur', 'a burning, megha majumdar', 'the kingdom of back, marie lu', 'before the ever after, jacqueline woodson', 'an american marriage, tayari jones', 'everything here is beautiful, mira t. lee', 'where the crawdads sing, delia owens', 'bloody rose, nicholas eames', 'gone girl, gillian flynn', 'red rising, pierce brown', 'the simple wild, k.a. tucker', 'only human, sylvain neuvel', 'always look on the bright side of life, eric idle', 'she felt like feeling nothing (volume 1), r.h. sin', 'the marriage lie, kimberly belle', 'a column of fire, ken follett', 'city of miracles, robert jackson bennett', 'electric arches, eve l. ewing', 'the inexplicable logic of my life, benjamin alire sáenz', 'our dark duet, victoria schwab', 'ms. marvel, vol. 5, g. willow wilson', 'patience, daniel clowes', ""an author's odyssey, chris colfer"", 'death weavers, brandon mull', 'the deal, elle kennedy', 'has anyone seen my pants?, sarah colonna', 'big magic, elizabeth gilbert', 'the wicked + the divine, vol. 2, kieron gillen', 'simon vs. the homo sapiens agenda, becky albertalli', 'serafina and the black cloak, robert beatty', 'night broken, patricia briggs', 'romancing the duke, tessa dare', 'the last runaway, tracy chevalier', 'earth afire, orson scott card', 'guilty wives, james patterson', 'the reckoning, alma katsu', 'redshirts, john scalzi', 'a night like this, julia quinn', ""killing kennedy, bill o'reilly"", 'joy the baker cookbook, joy wilson', 'the infernal devices, cassandra clare', 'a wrinkle in time, hope larson', 'october mourning, lesléa newman', 'crash, nicole williams', 'one for the murphys, lynda mullaly hunt', 'bloodlines, richelle mead', 'the omen machine, terry goodkind', 'magic slays, ilona andrews', 'the ledge, jim davidson']"
24,"['how to solve your own murder, kristen perrin', 'blood of hercules, jasmine mas', 'the night ends with fire, k.x. song', 'the book of witching, c.j. cooke', 'how to be an antiracist, ibram x. kendi', 'toil & trouble, augusten burroughs', 'good bad girl, alice feeney', 'meet me at the lake, carley fortune', 'going infinite, michael lewis', 'elektra, jennifer saint', 'the bodyguard, katherine center', 'she who became the sun, shelley parker-chan', 'american melancholy, joyce carol oates', 'the sweetness of water, nathan harris', 'the girl with the louding voice, abi daré', ""axiom's end, lindsay ellis"", 'squeeze me, carl hiaasen', 'the meaning of mariah carey, mariah carey', 'you never forget your first, alexis coe', 'return of the thief, megan whalen turner', 'the almost sisters, joshilyn jackson', 'the gravity of us, brittainy c. cherry', 'lost boy, christina henry', 'grocery, michael ruhlman', 'wires and nerve, marissa meyer', 'the couple next door, shari lapena', 'skinnytaste fast and slow, gina homolka', 'a god in ruins, kate atkinson', 'the mime order, samantha shannon', 'a work in progress, connor franta', 'the mason list, s.d. hendrickson', 'the darkest part of the forest, holly black', 'the witch with no name, kim harrison', 'maybe someday, colleen hoover', 'dead ever after, charlaine harris', 'cyberstorm, matthew mather', 'the world until yesterday, jared diamond', 'slammed, colleen hoover', ""seriously... i'm kidding, ellen degeneres"", ""it's all relative, wade rouse"", 'unearthly, cynthia hand', 'you will be my friend!, peter brown']"
25,"['the spellshop, sarah beth durst', 'the last romantics, tara conklin', 'the lost man, jane harper', 'the dutch house, ann patchett', 'inside out, demi moore', 'plant-based on a budget, toni okamoto', 'yellowface, r.f. kuang', 'monsters, claire dederer', 'leslie f*cking jones, leslie jones', 'happy-go-lucky, david sedaris', 'the violin conspiracy, brendan slocumb', 'we begin at the end, chris whitaker', 'broken, jenny lawson', 'zoey punches the future in the dick, david wong', 'the house of kennedy, james patterson', 'efrén divided, ernesto cisneros', 'the woman in the window, a.j. finn', 'marriage of inconvenience, penny reid', 'everything is awful, matt bellassai', 'hit makers, derek thompson', 'the hate u give, angie thomas', 'what we lose, zinzi clemmons', 'tower of dawn, sarah j. maas', 'after the fall, dan santat', 'the summer that melted everything, tiffany mcdaniel', ""fool's quest, robin hobb"", 'lafayette in the somewhat united states, sarah vowell', ""the brain's way of healing, norman doidge"", 'nimona, n.d. stevenson', 'memories, lang leav', 'all the bright places, jennifer niven', 'the king, j.r. ward', 'attack on titan, hajime isayama', ""i'll give you the sun, jandy nelson"", 'nightmares!, jason segel', 'fifth grave past the light, darynda jones', 'contagious, jonah berger', 'grain brain, david perlmutter', 'love & misadventure, lang leav', ""where'd you go, bernadette, maria semple""]"
26,"['lanny, max porter']"
27,"['find me, andré aciman', 'yellow wife, sadeqa johnson', 'fruit of the drunken tree, ingrid rojas contreras', 'ottolenghi simple, yotam ottolenghi', ""the city baker's guide to country living, louise miller"", 'the misadventures of awkward black girl, issa rae', 'dust, hugh howey', 'the lives of tao, wesley chu']"
28,"['phantasma, kaylie smith', 'the future of another timeline, annalee newitz', 'the collected schizophrenias, esmé weijun wang', 'we are the weather, jonathan safran foer', ""on earth we're briefly gorgeous, ocean vuong"", 'the fountains of silence, ruta sepetys', ""don't let her stay, nicola sanders"", 'the book that wouldn’t burn, mark lawrence', 'how to sell a haunted house, grady hendrix', 'the september house, carissa orlando', 'elon musk, walter isaacson', 'unmasked, paul holes', ""the lesbiana's guide to catholic school, sonora reyes"", 'how the south won the civil war, heather cox richardson', 'the hookup, kristen ashley', 'the poet x, elizabeth acevedo', 'the ghostwriter, a.r. torre', 'salt houses, hala alyan', 'what is not yours is not yours, helen oyeyemi', 'it ends with us, colleen hoover', 'the hating game, sally thorne', 'as chimney sweepers come to dust, alan bradley', 'trigger warning, neil gaiman', 'golden son, pierce brown', 'a head full of ghosts, paul tremblay', 'rolling in the deep, mira grant', 'the sculptor, scott mccloud', 'every last word, tamara ireland stone', 'an ember in the ashes, sabaa tahir', 'a spy among friends, ben macintyre', 'pride & prejudice, stacy king', 'the son, philipp meyer', 'the traitor queen, trudi canavan', 'red country, joe abercrombie', 'biting cold, chloe neill', 'lots of candles, plenty of cake, anna quindlen', 'fifty shades freed, e.l. james', 'duckling gets a cookie!?, the-pigeon series, mo willems', 'the paris wife, paula mclain']"
29,"['listen for the lie, amy tintera', 'the wedding party, jasmine guillory', ""the book woman's daughter, kim michele richardson"", 'my mechanical romance, alexene farol follmuth', 'instructions for dancing, nicola yoon', 'all rise for the honorable perry t. cook, leslie connor', 'the book of unknown americans, cristina henríquez', 'the empathy exams, leslie jamison', 'beautiful disaster, jamie mcguire']"
30,"['lies and weddings, kevin kwan', 'gold, raven kennedy', 'daughters of shandong, eve j. chung', 'the anxious generation, jonathan haidt', 'the whisper man, alex north', 'the family upstairs, lisa jewell', 'wanderers, chuck wendig', 'three women, lisa taddeo', 'in the dream house, carmen maria machado', 'wild game, adrienne brodeur', 'notes from a young black chef, kwame onwuachi', 'heartstopper, alice oseman', 'good talk, mira jacob', 'on the come up, angie thomas', 'aurora rising, amie kaufman', 'the remarkable journey of coyote sunrise, dan gemeinhart', 'we are (not) friends, anna kang', 'pineapple street, jenny jackson', 'the vaster wilds, lauren groff', 'bookshops & bonedust, travis baldree', 'lone women, victor lavalle', 'a study in drowning, ava reid', 'looking for jane, heather marshall', 'trail of the lost, andrea lankford', 'ultra-processed people, chris van tulleken', 'while you were out, meg kissinger', 'go tell the bees that i am gone, diana gabaldon', 'thistlefoot, gennarose nethercott', 'the measure, nikki erlick', 'rogues, patrick radden keefe', 'nightcrawling, leila mottley', 'one two three, laurie frankel', 'under the whispering door, t.j. klune', 'the \u200bcrown of gilded bones, jennifer l. armentrout', ""the road trip, beth o'leary"", 'remote control, nnedi okorafor', 'vanderbilt, anderson cooper', 'clarity & connection, yung pueblo', 'the spanish love deception, elena armas', 'these hollow vows, lexi ryan', 'ground zero, alan gratz', 'the night swim, megan goldin', 'emerald blaze, ilona andrews', 'the space between worlds, micaiah johnson', 'the hidden girl and other stories, ken liu', 'the loop, jeremy robert johnson', 'secret santa, andrew shaffer', 'clanlands, sam heughan', 'buy yourself the f*cking lilies, tara schuster', 'here for it; or, how to save your soul in america, r. eric thomas', 'untamed, glennon doyle', 'the splendid and the vile, erik larson', 'agent sonya, ben macintyre', 'the story of more, hope jahren', 'the girl and the goddess, nikita gill', 'valentine, elizabeth wetmore', 'majesty, katharine mcgee', 'punching the air, ibi zoboi', 'from the desk of zoe washington, janae marks', 'the world needs more purple people, kristen bell', 'still me, jojo moyes', 'the 7 1/2 deaths of evelyn hardcastle, stuart turton', 'the summer wives, beatriz williams', 'love and ruin, paula mclain', 'a court of wings and ruin, sarah j. maas', 'alphas like us, krista ritchie', 'severance, ling ma', 'dracul, dacre stoker', 'craven manor, darcy coates', 'the anomaly, michael rutger', '12 rules for life, jordan b. peterson', 'in pieces, sally field', 'all you can ever know, nicole chung', ""she has her mother's laugh, carl zimmer"", 'how to change your mind, michael pollan', 'an absolutely remarkable thing, hank green', 'the terminal list, jack carr', ""puddin', julie murphy"", 'you go first, erin entrada kelly', 'the night diary, veera hiranandani', 'secrets in death, j.d. robb', 'moonglow, michael chabon', 'dirty filthy rich men, laurelin paige', 'home, nnedi okorafor', ""one day we'll all be dead and none of this will matter, scaachi koul"", 'the stranger in the woods, michael finkel', 'we were eight years in power, ta-nehisi coates', 'priestdaddy, patricia lockwood', 'astrophysics for people in a hurry, neil degrasse tyson', 'we have no idea, jorge cham', 'give a girl a knife, amy thielen', 'real friends, shannon hale', 'the black monday murders, vol. 1, jonathan hickman', 'all our wrong todays, elan mastai', ""amina's voice, hena khan"", 'the goldfish boy, lisa thompson', 'end of watch, stephen king', 'brotherhood in death, j.d. robb', 'the trespasser, tana french', ""america's first daughter, stephanie dray"", 'star nomad, lindsay buroker', ""my best friend's exorcism, grady hendrix"", 'love warrior, glennon doyle melton', 'lumberjanes, vol. 3, n.d. stevenson', 'the wicked + the divine, vol. 3, kieron gillen', 'the star-touched queen, roshani chokshi', 'tell me three things, julie buxbaum', 'a court of mist and fury, sarah j. maas', ""the winner's kiss, marie rutkoski"", 'pax, sara pennypacker', 'wolf hollow, lauren wolk', 'the wild robot, peter brown', 'the invasion of the tearling, erika johansen', 'apex, ramez naam', 'saint odd, dean koontz', 'binge, tyler oakley', 'for the love, jen hatmaker', 'dead wake, erik larson', 'serafina and the black cloak, robert beatty', 'beyond the kingdoms, chris colfer', 'the isle of the lost, melissa de la cruz', 'the copper gauntlet, holly black', 'the gods of guilt, michael connelly', 'in the blood, lisa unger', 'the target, david baldacci', 'up from the grave, jeaniene frost', 'sand, hugh howey', ""william shakespeare's the empire striketh back, ian doescher"", 'this changes everything, naomi klein', 'something other than god, jennifer fulwiler', 'leaves on the wind, joss whedon', 'saga, volume 3, brian k. vaughan', 'isla and the happily ever after, stephanie perkins', 'better off friends, elizabeth eulberg', 'falling into place, amy zhang', 'the one, kiera cass', ""the winner's curse, marie rutkoski"", 'the interestings, meg wolitzer', 'the woman upstairs, claire messud', 'joyland, stephen king', 'touch & go, lisa gardner', 'frost burned, patricia briggs', 'abaddon’s gate, james s.a. corey', 'red hill, jamie mcguire', 'fractured, d.j. molles', 'coming clean, kimberly rae miller', 'eighty days, matthew goodman', 'lost girls, robert kolker', 'vb6, mark bittman', 'dog songs, mary oliver', 'if you find me, emily murdoch', 'perfect scoundrels, ally carter', 'the 5th wave, rick yancey', 'chasing the prophecy, brandon mull', 'flight behavior, barbara kingsolver', 'the secret keeper, kate morton', 'the chaperone, laura moriarty', '2312, kim stanley robinson', 'seduction and snacks, tara sivec', 'waging heavy peace, neil young', 'tilt, ellen hopkins', 'bitterblue, kristin cashore', 'the diviners, libba bray', 'one cool friend, toni buzzeo', 'city of fallen angels, cassandra clare', 'a trick of the light, louise penny', 'iron house, john hart', 'pirate king, laurie r. king', 'the paris wife, paula mclain', 'dead reckoning, charlaine harris', 'the devil all the time, donald ray pollock', 'the king of plagues, jonathan maberry', 'cinderella ate my daughter, peggy orenstein', 'moonwalking with einstein, joshua foer', 'townie, andre dubus iii', 'here comes trouble, michael moore', 'wheat belly, william davis', 'wither, lauren destefano', 'blood work, kim harrison', 'the unwritten, vol. 3, mike carey', 'city of fallen angels, cassandra clare', 'bloodlines, richelle mead']"
31,"['the night we lost him, laura dave', 'where sleeping girls lie, faridah àbíké-íyímídé', 'the undefeated, kwame alexander', ""pandora's lab, paul a. offit"", 'the dark prophecy, rick riordan', 'the war i finally won, kimberly brubaker bradley']"
32,"['mickey7, edward ashton', 'the night she disappeared, lisa jewell', 'a spindle splintered, alix e. harrow', 'these broken stars, amie kaufman']"
33,"['maybe you should talk to someone, lori gottlieb', 'lord of the butterflies, andrea gibson', 'pucking around, emily rath', 'the hurricane wars, thea guanzon', 'the stolen heir, holly black', 'did you hear about kitty karr?, crystal smith paul', 'demon in the wood, leigh bardugo', 'black buck, mateo askaripour', 'the dictionary of lost words, pip williams', 'the chosen and the beautiful, nghi vo', 'girl one, sara flannery murphy', 'aftershocks, nadia owusu', 'realm breaker, victoria aveyard', 'writers & lovers, lily king', 'the devil and the dark water, stuart turton', 'long bright river, liz moore', ""hamnet, maggie o'farrell"", 'to sleep in a sea of stars, christopher paolini', 'lakewood, megan giddings', 'a promised land, barack obama', 'greenlights, matthew mcconaughey', 'the low, low woods, carmen maria machado', 'the kiss quotient, helen hoang', 'the astonishing color of after, emily x.r. pan', 'lifel1k3, jay kristoff', 'stillhouse lake, rachel caine', 'this is just my face, gabourey sidibe', 'tools of titans, timothy ferriss', 'the vision, vol. 2, tom king', 'in other lands, sarah rees brennan', 'salt to the sea, ruta sepetys', 'what do you do with a problem?, kobi yamada', 'a kim jong-il production, paul fischer', 'all the light we cannot see, anthony doerr', 'sweet filthy boy, christina lauren', 'brown girl dreaming, jacqueline woodson', 'unseen, karin slaughter', 'life after life, kate atkinson', 'the reason i jump, naoki higashida', 'home front, kristin hannah', 'by a thread, jennifer estep', 'lover reborn, j.r. ward', 'not taco bell material, adam carolla', 'supergods, grant morrison', 'where she went, gayle forman']"
34,"['killing commendatore, haruki murakami', 'the stars are fire, anita shreve', 'the awkward thoughts of w. kamau bell, w. kamau bell']"
35,"['immortal dark, tigest girma', 'all her little secrets, wanda m. morris', 'how to american, jimmy o. yang', 'the one and only ivan, katherine applegate']"
36,"[""archer's voice, mia sheridan""]"
37,"['the ten thousand doors of january, alix e. harrow', 'in the likely event, rebecca yarros', 'the book of charlie, david von drehle', 'family of liars, e. lockhart', 'big time, jen spyra', 'the gilded ones, namina forna', 'utopia avenue, david mitchell', 'agency, william gibson', 'the extraordinary life of sam hell, robert dugoni', 'the shape of water, guillermo del toro', 'ocean meets sky, terry fan', 'what it means when a man falls from the sky, lesley nneka arimah', 'pachinko, min jin lee', 'where am i now?, mara wilson', 'white sand, volume 1, brandon sanderson', 'beneath the surface, john hargrove', 'a fighting chance, elizabeth warren', 'pete the cat and his four groovy buttons, eric litwin', 'a discovery of witches, deborah harkness']"
38,"['we are the brennans, tracey lange']"
39,"['from here to the great unknown, lisa marie presley', ""on earth we're briefly gorgeous, ocean vuong"", 'this is how you lose the time war, amal el-mohtar', 'the unwinding of the miracle, julie yip-williams', 'nothing fancy, alison roman', 'red, white & royal blue, casey mcquiston', 'anatomy, dana schwartz', ""the dragon's promise, elizabeth lim"", 'people we meet on vacation, emily henry', 'between two kingdoms, suleika jaouad', 'the lost apothecary, sarah penner', 'dear edward, ann napolitano', 'is this anything?, jerry seinfeld', 'memorial drive, natasha trethewey', 'the hand on the wall, maureen johnson', 'the tattooist of auschwitz, heather morris', 'the monk of mokha, dave eggers', ""i can't make this up, kevin hart"", 'daring to hope, katie davis majors', 'grant, ron chernow', ""king's cage, victoria aveyard"", 'the sun is also a star, nicola yoon', 'a little life, hanya yanagihara', 'blackout, sarah hepola', 'spinster, kate bolick', 'the food lab, j. kenji lópez-alt', 'felicity, mary oliver', 'girl at war, sara nović', 'i was here, gayle forman', 'lila, marilynne robinson', ""traitor's blade, sebastien de castell"", 'cruel beauty, rosamund hodge', 'death of kings, bernard cornwell', 'deadlocked, charlaine harris', 'invincible, jack campbell', 'double cross, ben macintyre', '22 britannia road, amanda hodgkinson', 'dragon bound, thea harrison', 'if you were here, jen lancaster']"
40,"['twas the nightshift before christmas, adam kay', 'lessons in chemistry, bonnie garmus', 'the rose code, kate quinn', 'a desolation called peace, arkady martine', 'the comfort book, matt haig', 'the puma years, laura coleman', 'run, john lewis', 'squad, maggie tokuda-hall', 'the mirror & the light, hilary mantel', 'spinning silver, naomi novik', 'high voltage, karen marie moning', 'when, daniel h. pink', 'the underground railroad, colson whitehead', 'preppy, t.m. frazier', 'why not me?, mindy kaling', 'influx, daniel suarez', 'emperor of thorns, mark lawrence', 'tangled, emma chase', 'cross my heart, katie klein']"
41,"['of women and salt, gabriela garcia']"
42,"['the crown tower, michael j. sullivan']"
43,"['iron widow, xiran jay zhao', 'take a hint, dani brown, talia hibbert', 'a dance with dragons, george r.r. martin', 'zombie spaceship wasteland, patton oswalt']"
44,"['in ascension, martin macinnes', 'the chalk man, c.j. tudor', 'stuck-up suit, vi keeland', 'the autumn republic, brian mcclellan', 'down the rabbit hole, holly madison', 'my name is resolute, nancy e. turner', 'the guns at last light, rick atkinson', 'twilight, young kim']"
45,"['tribe, sebastian junger']"
46,"['the midnight feast, lucy foley', 'gwen & art are not in love, lex croucher', 'talking to strangers, malcolm gladwell', 'rosie the dragon and charlie make waves, lauren h. kerstein', 'none of this is true, lisa jewell', 'countdown 1945, chris wallace', 'the shadows between us, tricia levenseller', ""in the hurricane's eye, nathaniel philbrick"", ""louisiana's way home, kate dicamillo"", 'the bear and the nightingale, katherine arden', 'hamilton, lin-manuel miranda', 'furiously happy, jenny lawson', 'the evertree, marie lu', 'winnie, sally m. walker', 'still life with bread crumbs, anna quindlen', 'the tale of the dueling neurosurgeons, sam kean', ""killing patton, bill o'reilly"", 'delancey, molly wizenberg', 'the firebird, susanna kearsley', 'black list, brad thor', 'sacrificial magic, stacia kane', 'escape from camp 14, blaine harden', 'the son of neptune, rick riordan']"
47,"['i hope this finds you well, natalie sue', 'sandwich, catherine newman', 'tell me everything, elizabeth strout', 'greta & valdin, rebecca k. reilly', 'the mystery guest, nita prose', 'daydream, hannah grace', 'apprentice to the villain, hannah nicole maehrer', 'the family experiment, john marrs', 'we used to live here, marcus kliewer', 'incidents around the house, josh malerman', 'the ministry of time, kaliane bradley', 'the anxious generation, jonathan haidt', 'bits and pieces, whoopi goldberg', 'oath and honor, liz cheney', 'the night tiger, yangsze choo', 'the summer country, lauren willig', 'things you save in a fire, katherine center', 'everything is f*cked, mark manson', 'blowout, rachel maddow', 'teen titans, kami garcia', 'a woman is no man, etaf rum', 'again, but better, christine riccio', 'a tale of magic..., chris colfer', 'maame, jessica george', 'love, theoretically, ali hazelwood', 'the seven year slip, ashley poston', 'throne of the fallen, kerri maniscalco', 'bewitched, laura thalassa', 'the reformatory, tananarive due', 'becoming the boogeyman, richard chizmar', 'foul heart huntsman, chloe gong', 'reign, katharine mcgee', 'nine liars, maureen johnson', 'the art thief, michael finkel', 'outlive, peter attia', 'the woman in me, britney spears', 'hijab butch blues, lamya h.', 'other birds, sarah addison allen', 'the paris apartment, lucy foley', ""delilah green doesn't care, ashley herring blake"", 'juniper & thorn, ava reid', 'just like mother, anne heltzel', 'sundial, catriona ward', 'wash day diaries, jamila rowser', 'jackal, erin e. adams', 'ophelia after all, racquel marie', 'this is (not) enough, anna kang', 'oh william!, elizabeth strout', 'rock paper scissors, alice feeney', 'the paris library, janet skeslien charles', 'ariadne, jennifer saint', 'the spanish love deception, elena armas', 'taste, stanley tucci', 'between shades of gray, andrew donkin', 'black girl, call home, jasmine mans', 'the midnight library, matt haig', 'the glass hotel, emily st. john mandel', 'the jane austen society, natalie jenner', 'black sun, rebecca roanhorse', 'the girl and the stars, mark lawrence', 'the bone shard daughter, andrea stewart', 'me and white supremacy, layla f. saad', 'hollywood park, mikel jollett', ""the adventurer's son, roman dial"", 'tweet cute, emma lord', 'children of virtue and vengeance, tomi adeyemi', 'cemetery boys, aiden thomas', 'one true king, soman chainani', 'ghost squad, claribel a. ortega', 'roomies, christina lauren', ""i'll be gone in the dark, michelle mcnamara"", 'atomic habits, james clear', 'tell me more, kelly corrigan', 'the good neighbor, maxwell king', 'rise and kill first, ronen bergman', 'brief answers to the big questions, stephen hawking', 'the astonishing color of after, emily x.r. pan', 'beartown, fredrik backman', 'the night bird, brian freeman', 'before we were yours, lisa wingate', 'the seven husbands of evelyn hugo, taylor jenkins reid', 'all our wrong todays, elan mastai', 'provenance, ann leckie', 'the undoing project, michael lewis', 'leonardo da vinci, walter isaacson', 'the pioneer woman cooks, ree drummond', 'bravetart, stella parks', ""everyone's a aliebn when ur a aliebn too, jomny sun"", 'the legend of korra, michael dante dimartino', 'beyond the bright sea, lauren wolk', 'the wonder, emma donoghue', 'feverborn, karen marie moning', 'the last one, alexandra oliva', ""i'm judging you, luvvie ajayi"", ""i'm just a person, tig notaro"", 'the vision, vol. 1, tom king', 'the reader, traci chee', 'the serpent king, jeff zentner', 'we are the ants, shaun david hutchinson', 'secrets of a charmed life, susan meissner', 'the marriage of opposites, alice hoffman', 'letters to the lost, iona grey', 'armada, ernest cline', 'slade house, david mitchell', 'extinction horizon, nicholas sansbury smith', 'silver screen fiend, patton oswalt', 'humans of new york, brandon stanton', 'hope, amanda berry', 'romantic outlaws, charlotte gordon', 'the billion dollar spy, david e. hoffman', 'becoming steve jobs, brent schlender', 'bold, peter h. diamandis', 'fish in a tree, lynda mullaly hunt', 'what pet should i get?, dr. seuss', 'the storied life of a.j. fikry, gabrielle zevin', 'the pearl that broke its shell, nadia hashimi', 'lost lake, sarah addison allen', 'the children act, ian mcewan', 'the silkworm, robert galbraith', 'natchez burning, greg iles', 'before jamaica lane, samantha young', 'the last town, blake crouch', 'my drunk kitchen, hannah hart', 'glitter and glue, kelly corrigan', 'thug kitchen, thug kitchen', 'blue horses, mary oliver', 'everything i never told you, celeste ng', 'the pearl that broke its shell, nadia hashimi', 'elizabeth is missing, emma healey', 'half bad, sally green', 'the queen of the tearling, erika johansen', 'ruin and rising, leigh bardugo', 'gaston, kelly dipucchio', 'a tale for the time being, ruth ozeki', 'americanah, chimamanda ngozi adichie', 'inferno, dan brown', 'suspect, robert crais', 'ordinary grace, william kent krueger', 'the signature of all things, elizabeth gilbert', 'the golem and the jinni, helene wecker', 'written in red, anne bishop', 'losing hope, colleen hoover', 'a house in the sky, amanda lindhout', 'going clear, lawrence wright', 'eating on the wild side, jo robinson', 'the last word, lisa lutz', 'where the stars still shine, trish doller', 'flora and the flamingo, molly idle', 'mr. wuffles!, david wiesner', 'the long earth, terry pratchett', 'kill decision, daniel suarez', ""captain vorpatril's alliance, lois mcmaster bujold"", 'once burned, jeaniene frost', 'odd apocalypse, dean koontz', 'i, zombie, hugh howey', 'twilight of the elites, christopher l. hayes', 'the smitten kitchen cookbook, deb perelman', 'i am a pole, stephen colbert', 'friends with boys, faith erin hicks', 'under the never sky, veronica rossi', 'throne of glass, sarah j. maas', ""the serpent's shadow, rick riordan"", 'the fantastic flying books of mr. morris lessmore, william joyce', ""the wise man's fear, patrick rothfuss"", 'the leftovers, tom perrotta', 'only time will tell, jeffrey archer', 'prince of thorns, mark lawrence', 'the kingdom of gods, n.k. jemisin', 'ghost ship, sharon lee', 'call me irresistible, susan elizabeth phillips', 'the social animal, david brooks', 'in the plex, steven levy', 'my lucky life in and out of show business, dick van dyke', 'liesl & po, lauren oliver', 'breadcrumbs, anne ursu']"
