,titles_authors
10,"['the paradise problem, christina lauren', 'voyage of the damned, frances white', 'dark age, pierce brown', 'the six, loren grush', 'the housemaid, freida mcfadden', 'bloodmarked, tracy deonn', 'hotel magnifique, emily j. taylor', 'ravenfall, kalyn josephson', 'house of sticks, ly tran', 'in an instant, suzanne redfearn', 'the trouble with peace, joe abercrombie', ""the southern book club's guide to slaying vampires, grady hendrix"", 'starry eyes, jenn bennett', 'the refugees, viet thanh nguyen', 'this is how it always is, laurie frankel', 'my absolute darling, gabriel tallent', 'a hope more powerful than the sea, melissa fleming', 'american war, omar el akkad', 'ink and bone, lisa unger', 'navel gazing, michael ian black', 'luckiest girl alive, jessica knoll', 'a darker shade of magic, victoria schwab', 'step aside, pops, kate beaton', 'luckiest girl alive, jessica knoll', 'mosquitoland, david arnold', 'i wish you more, amy krouse rosenthal', 'men explain things to me, rebecca solnit', 'popular, maya van wagenen', 'whistling past the graveyard, susan crandall', 'where we belong, emily giffin', 'the unlikely pilgrimage of harold fry, rachel joyce', 'wicked business, janet evanovich', 'iced, karen marie moning', 'chomp, carl hiaasen', 'the dead of night, peter lerangis', 'letters from home, kristina mcmorris', 'sign of the moon, erin hunter', 'buffy the vampire slayer, joss whedon']"
11,"['the woman they could not silence, kate moore']"
12,"['the border, robert mccammon']"
13,"['orbital, samantha harvey', 'absolution, jeff vandermeer', 'the hacienda, isabel cañas', 'our wives under the sea, julia armfield', ""somebody's daughter, ashley c. ford"", 'the extraordinaries, t.j. klune', 'sometimes i lie, alice feeney', 'transcription, kate atkinson', 'indianapolis, lynn vincent', 'the poppy war, r.f. kuang', 'the wall of winnipeg and me, mariana zapata', 'better than before, gretchen rubin', 'life from scratch, sasha martin', 'the peach keeper, sarah addison allen']"
14,"['how to end a love story, yulin kuang', ""i hope this doesn't find you, ann liang"", 'meditations for mortals, oliver burkeman', 'the small and the mighty, sharon mcmahon', 'dutch girl, robert matzen', 'a crystal of time, soman chainani', 'the wind knows my name, isabel allende', 'a dawn of onyx, kate golden', 'the children on the hill, jennifer mcmahon', 'the plot, jean hanff korelitz', 'the lost apothecary, sarah penner', 'crossroads, jonathan franzen', 'the echo wife, sarah gailey', 'last night at the telegraph club, malinda lo', 'basketful of heads, joe hill', 'darius the great deserves better, adib khorram', 'clean getaway, nic stone', 'julián at the wedding, jessica love', 'circe, madeline miller', 'robin, dave itzkoff', 'girls burn brighter, shobha rao', 'the case for jamie, brittany cavallaro', 'anything is possible, elizabeth strout', 'a conjuring of light, victoria schwab', 'oathbringer, brandon sanderson', 'tears we cannot stop, michael eric dyson', 'coming to my senses, alice waters', 'ready or not!, michelle tam', 'crooked kingdom, leigh bardugo', 'thrive, arianna huffington', 'we were liars, e. lockhart', 'the third kingdom, terry goodkind', 'empty mansions, bill dedman', 'just one day, gayle forman', 'the dressmaker, kate alcott', 'the wind through the keyhole, stephen king', 'year zero, rob reid', 'the witness, nora roberts', 'edenbrooke, julianne donaldson', 'the marriage bargain, jennifer probst', 'batman, volume 1, scott snyder', ""gabriel's rapture, sylvain reynard"", 'before i go to sleep, s.j. watson', 'those across the river, christopher buehlman', 'beauty queens, libba bray']"
15,"['what happened, hillary rodham clinton', ""mr. lemoncello's library olympics, chris grabenstein"", 'the hard thing about hard things, ben horowitz']"
16,"['greta & valdin, rebecca k. reilly', ""tiamat's wrath, james s.a. corey"", 'the five, hallie rubenhold', 'the long game, elena armas', 'the hotel nantucket, elin hilderbrand', 'later, stephen king', 'boyfriend material, alexis hall', 'strange planet, nathan w. pyle', 'raybearer, jordan ifueko', 'the narrow road to the deep north, richard flanagan', 'savage harvest, carl hoffman', 'the ocean at the end of the lane, neil gaiman', 'two boys kissing, david levithan', 'memoirs of an imaginary friend, matthew dicks', 'hot head, damon suede', 'the filter bubble, eli pariser', 'the pioneer woman, ree drummond']"
17,"['the frozen river, ariel lawhon', 'quicksilver, callie hart', 'the black bird oracle, deborah harkness', 'a thousand broken pieces, tillie cole', 'be ready when the luck happens, ina garten', 'the kiss thief, l.j. shen', 'the unteachables, gordon korman', 'in the lives of puppets, t.j. klune', 'the lost metal, brandon sanderson', 'start without me, gary janetti', 'the charm offensive, alison cochrun', 'the hill we climb, amanda gorman', 'we free the stars, hafsah faizal', 'beach read, emily henry', 'becoming duchess goldblatt, duchess goldblatt', 'you should see me in a crown, leah johnson', 'the hate u give, angie thomas', 'barracoon, zora neale hurston', 'sightwitch, susan dennard', 'hello lighthouse, sophie blackall', 'lincoln in the bardo, george saunders', 'the case against sugar, gary taubes', 'the nature fix, florence williams', 'beauty and the beast, jennifer donnelly', 'another brooklyn, jacqueline woodson', 'green island, shawna yang ryan', 'the nightmare stacks, charles stross', 'shoe dog, phil knight', 'thunder boy jr., sherman alexie', 'finders keepers, stephen king', 'boundary crossed, melissa f. olson', 'the scarlet gospels, clive barker', 'queen of shadows, sarah j. maas', 'landline, rainbow rowell', 'stone mattress, margaret atwood', 'the martian, andy weir', 'apolonia, jamie mcguire', 'perdition, ann aguirre', 'something like normal, trish doller', 'chloe and the lion, mac barnett', 'the running dream, wendelin van draanen', 'scorpia rising, anthony horowitz']"
18,"['the orchardist, amanda coplin']"
19,"['where the forest meets the stars, glendy vanderah', 'girl, stop apologizing, rachel hollis', 'the gilded wolves, roshani chokshi', 'holly, stephen king', 'the bomber mafia, malcolm gladwell', 'battle ground, jim butcher', 'the new one, mike birbiglia', 'here i am, jonathan safran foer', 'the paper menagerie and other stories, ken liu', 'the sisters brothers, patrick dewitt']"
20,"['by any other name, jodi picoult', ""that's not my name, megan lally"", 'death at morning house, maureen johnson', 'indian-ish, priya krishna', 'bloom, kevin panetta', 'with the fire on high, elizabeth acevedo', 'let us descend, jesmyn ward', 'beyond that, the sea, laura spence-ash', 'the kiss curse, erin sterling', 'bittersweet, susan cain', 'yearbook, seth rogen', 'what happened to you?, bruce d. perry', 'the three mothers, anna malaika tubbs', 'on juneteenth, annette gordon-reed', 'home before dark, riley sager', 'something to talk about, meryl wilsner', 'coronavirus, elizabeth jenner', 'the book of m, peng shepherd', 'queen of shadows, sarah j. maas', 'fruit of the drunken tree, ingrid rojas contreras', 'silent child, sarah a. denzil', 'wait for it, mariana zapata', 'the most beautiful, mayte garcia', 'the blood of emmett till, timothy b. tyson', 'stirring up fun with food, sarah michelle gellar', 'the cooking gene, michael w. twitty', ""the gentleman's guide to vice and virtue, mackenzi lee"", 'dragonwatch, brandon mull', 'thing explainer, randall munroe', 'whiskey words & a shovel ii, r.h. sin', 'the english spy, daniel silva', 'm train, patti smith', 'the thing about jellyfish, ali benjamin', 'china dolls, lisa see', 'stepbrother dearest, penelope ward', 'touch of the demon, diana rowland', 'the wolves of midwinter, anne rice', 'lean in, sheryl sandberg', 'cooked, michael pollan', 'love and lists, tara sivec', 'saga, volume 2, brian k. vaughan', 'if you find me, emily murdoch', 'the enchantress returns, chris colfer', 'running the rift, naomi benaron', 'city of dragons, robin hobb', 'divergent, veronica roth', 'hunt the moon, karen chance', 'wonder, robert j. sawyer', 'across the universe, beth revis']"
21,"['james, percival everett', 'ruthless vows, rebecca ross', 'the chain, adrian mckinty', ""i'll never tell, catherine mckenzie"", 'riding the elephant, craig ferguson', 'furious hours, casey cep', 'hacking darwin, jamie metzl', 'the silent patient, alex michaelides', 'tom lake, ann patchett', 'atalanta, jennifer saint', 'hidden potential, adam m. grant', 'the in-between, hadley vlahos', 'i’m glad my mom died, jennette mccurdy', 'this woven kingdom, tahereh mafi', 'the girl in white, lindsay currie', 'mediocre, ijeoma oluo', 'how the word is passed, clint smith', 'madhouse at the end of the earth, julian sancton', 'anxious people, fredrik backman', 'a very punchable face, colin jost', 'conditional citizens, laila lalami', 'legendborn, tracy deonn', 'my year of rest and relaxation, ottessa moshfegh', 'wrath of empire, brian mcclellan', 'the wedding date, jasmine guillory', 'we sold our souls, grady hendrix', 'look alive out there, sloane crosley', ""i am, i am, i am, maggie o'farrell"", 'milk! a 10,000-year food fracas, mark kurlansky', 'small spaces, katherine arden', 'huế 1968, mark bowden', 'lilac girls, martha hall kelly', 'the obelisk gate, n.k. jemisin', ""stiletto, daniel o'malley"", 'this is where it ends, marieke nijkamp', 'the crossroads of should and must, elle luna', 'bad feminist, roxane gay', 'the sixth extinction, elizabeth kolbert', 'opposition, jennifer l. armentrout', 'the shining girls, lauren beukes', 'deeply odd, dean koontz', 'parasite, mira grant', 'the astronaut wives club, lily koppel', 'the moon and more, sarah dessen', 'the dark, lemony snicket', 'casket of souls, lynn flewelling', 'thomas jefferson, jon meacham', 'the signal and the noise, nate silver', 'this is how, augusten burroughs', 'american vampire, vol. 3, scott snyder', 'shadow of night, deborah harkness', 'cinder, marissa meyer', 'shadowfever, karen marie moning', 'sex on the moon, ben mezrich', 'malcolm x, manning marable', 'between shades of gray, ruta sepetys', 'the unwanteds, lisa mcmann', 'daytripper, fábio moon']"
