,titles_authors
0,"['tequila mockingbird, tim federle', 'aphrodite, isabel allende', 'grocery, michael ruhlman', 'flavor, bob holmes', 'tender at the bone, ruth reichl', 'the gastronomical me, m.f.k. fisher', 'goat song, brad kessler', 'a square meal, jane ziegelman', 'the tastemakers, david sax', 'second nature, michael pollan', 'imbibe!, david wondrich', 'roar, stacy t. sims', 'in defense of food, michael pollan', 'animal, vegetable, miracle, barbara kingsolver', 'french kids eat everything, karen le billon', 'being dead is no excuse, gayden metcalfe', 'plenty, alisa smith', 'two towns in provence, m.f.k. fisher', 'mastering the art of french eating, ann mah', 'spiced, dalia jurgensen', 'an economist gets lunch, tyler cowen', 'consider the fork, bee wilson', 'the third plate, dan barber', 'cooked, michael pollan', '12 steps to raw foods, victoria boutenko', 'provence, 1970, luke barr', 'serve it forth, m.f.k. fisher', 'the man who ate everything, jeffrey steingarten', 'a homemade life, molly wizenberg', 'i like you, amy sedaris', 'mycophilia, eugenia bone', 'eat stop eat, brad pilon', 'delancey, molly wizenberg', 'racing weight, matt fitzgerald', 'the sweet life in paris, david lebovitz', ""it's not about me, max lucado"", 'to the bighorns, b.n. rundell', 'if only they could talk, james herriot', 'toy story, walt disney company', 'the intern, volume 2, brooke cumberland', 'the recruiter, roger weston', 'the biggest mouse in the world, charles house', 'nightblade, garrett robinson', 'a tropical frontier, tim robinson', 'the kitchen counter cooking school, kathleen flinn', 'the 4-hour chef, timothy ferriss', 'the 17 day diet, mike moreno', 'julie and julia, julie powell', 'the sharper your knife, the less you cry, kathleen flinn', 'the engine 2 diet, rip esselstyn', 'the mushroom hunters, langdon cook', 'the south beach diet supercharged, arthur agatston', 'joy of cooking, irma s. rombauer', 'secrets of a side bitch - the simone campbell story, jessica n. watkins', 'batman, doug moench', 'martin luther, martin luther', 'terry pratchett, terry pratchett', 'the holy bible, anonymous', 'where are you going, where have you been?, joyce carol oates', 'sin city, frank miller', 'el extraño caso del doctor jekyll y mr. hyde y otros relatos de terror, robert louis stevenson', 'flow my tears, the policeman said, philip k. dick', 'transformed, suzanne falter', 'not a book, not a book', 'thor, jason aaron', 'sueños de cristal, araceli samudio', 'inferno, expert book reviews', 'moby dick, herman melville', 'chicken soup for the soul, jack canfield', 'semina il vento, alessandro perissinotto', 'to the cache la poudre, b.n. rundell', 'not another thug story 3, desiree m. granger']"
1,"['night whispers, judith mcnaught', 'let the dead sleep, heather graham', ""don't mess with texas, christie craig"", 'to die for, linda howard', 'breath of scandal, sandra brown', 'against the tide, kat martin', 'the dead room, heather graham', 'fatal affair, marie force', 'fire and ice, julie garwood', 'running hot, jayne ann krentz', 'against the wild, kat martin', 'waking the dead, heather graham', 'ice, linda howard', 'repressed, elisabeth naughton', 'die in plain sight, elizabeth lowell', 'ghost moon, karen robards', 'behind closed doors, shannon mckenna', 'the wreck, marie force', 'picture me dead, heather graham', 'open season, linda howard', 'now you die, roxanne st. claire', 'hard evidence, pamela clare', 'always time to die, elizabeth lowell', 'dirty little secrets, liliana hart', 'after the night, linda howard', 'the missing, shiloh walker', 'raven on the wing, kay hooper', 'till death, jennifer l. armentrout', 'whiskey island, emilie richards', 'smoke in mirrors, jayne ann krentz', 'unspeakable, laura griffin', 'fat tuesday, sandra brown', ""bobbie faye's very (very, very, very) bad day, toni mcgee causey"", 'guarding suzannah, norah wilson', 'make her pay, roxanne st. claire', 'no turning back, tiffany snow', 'if i break, portia moore*', 'wait for me, elisabeth naughton', 'turning point, tiffany snow', 'killing time, linda howard', 'wildfire at midnight, mary stewart', 'charade, sandra brown', 'conspiracy of silence, martha powers', 'french silk, sandra brown', 'secret star, nora roberts', 'secret sisters, jayne ann krentz', 'fatal justice, marie force', 'mine to take, cynthia eden', 'hot pursuit, suzanne brockmann', 'northern lights, nora roberts', 'strange fits of passion, anita shreve', 'high noon, nora roberts', 'risky business, nora roberts', 'black rose, nora roberts', 'play dirty, sandra brown', 'killjoy, julie garwood', ""river's end, nora roberts"", 'dead silence, brenda novak', 'amnesia, cambria hebert', ""mackenzie's magic, linda howard"", 'shades of twilight, linda howard', 'hidden star, nora roberts', 'dark waters, toni anderson', 'burn, helen hardt', 'troublemaker, linda howard', ""blane's turn, tiffany snow"", 'so close, sylvia day', 'sweet revenge, nora roberts', 'fire and ice, anne stuart', 'if you see her, shiloh walker', 'fade to black, leslie parrish', 'the pirate, jayne ann krentz', 'deadly games, jaycee clark', ""ladies' man, suzanne brockmann"", 'thirty-one and a half regrets, denise grover swank', 'her perfect gift, theodora taylor', 'garden of secrets, barbara freethy', 'unlawful contact, pamela clare', 'deadly silence, rebecca zanetti', 'obsession, karen robards', 'promise not to tell, jayne ann krentz', 'her sanctuary, toni anderson', 'a harmless little game, meli raine', 'melt, helen hardt', 'crossing the line, lucy score', 'captive star, nora roberts', 'for you, kristen ashley', 'untraceable, laura griffin', 'darkness before dawn, claire contreras', 'not what she seems, victorine e. lieske', 'sacred sins, nora roberts', 'kiss me while i sleep, linda howard', ""kade's turn, tiffany snow"", 'shadow woman, linda howard', 'deadly promises, sherrilyn kenyon', 'dawn in eclipse bay, jayne ann krentz', 'the obsession, nora roberts', 'the alibi, sandra brown', 'tribute, nora roberts', ""my lover's lover, maggie o'farrell"", 'forever entangled, kathleen brooks', 'divine evil, nora roberts', 'to trust a stranger, karen robards', 'hold your breath, katie ruggle', 'all is calm / all is bright, colleen coble', 'slow burn, julie garwood', 'at peace, kristen ashley', 'critical instinct, janie crouch', 'secrets of the lost summer, carla neggers', 'montana sky, nora roberts', 'hello, darkness, sandra brown', 'the lucky ones, tiffany reisz', 'saving grace, pamela fagan hutchins', 'kill me twice, roxanne st. claire', 'carnal innocence, nora roberts', 'sex, lies, and online dating, rachel gibson', 'shadow dance, julie garwood', 'thirty-two and a half complications, denise grover swank', 'storm warning, nora roberts', 'scarlet nights, jude deveraux', 'cry no more, linda howard', 'secrets and lies, selena montgomery', 'fool me once, catherine bybee', 'dying to please, linda howard', 'river road, jayne ann krentz', 'black hills, nora roberts', 'lost in kakadu, kendall talbot', 'after caroline, kay hooper', 'the collector, nora roberts', 'seduced by sunday, catherine bybee', 'trailer trash, denise grover swank', 'veil of night, linda howard', 'burn, linda howard', 'concrete evidence, rachel grant', 'body of evidence, rachel grant', 'mirror image, sandra brown', 'the winter people, phyllis a. whitney', 'crazy hot, tara janzen', 'nora roberts land, ava miles', 'death angel, linda howard', 'brody, mandy harbin', 'no safe secret, fern michaels', 'the spy who left me, gina robinson', 'the switch, sandra brown', 'public secrets, nora roberts', 'holly, jude deveraux', 'devour, jocelynn drake', 'dream man, linda howard', 'kidnapped, suzanne ferrell', 'heartbreaker, julie garwood', 'diamonds are truly forever, gina robinson', 'edge of midnight, shannon mckenna', 'the welcoming, nora roberts', 'getting rowdy, lori foster', 'midnight bayou, nora roberts', 'carolina moon, nora roberts', 'drop dead gorgeous, linda howard', 'thrill me to death, roxanne st. claire', 'hunted, karen robards', 'the ideal man, julie garwood', 'scream for me, cynthia eden', 'wired, julie garwood', ""lucky's lady, tami hoag"", 'come sundown, nora roberts', 'southern comfort, fern michaels', 'unforgivable, laura griffin', 'prey, linda howard', 'the gamble, kristen ashley', 'fatal destiny, marie force', 'reckless, selena montgomery', 'bodyguard, suzanne brockmann', 'extreme exposure, pamela clare', 'seeking the sheriff, calle j. brookes', 'kill and tell, linda howard', 'the right path, nora roberts', 'cold in the shadows, toni anderson', 'sanctuary, nora roberts', 'finding infinity, susan kiernan-lewis', 'if you hear her, shiloh walker', 'the liar, nora roberts', 'eclipse bay, jayne ann krentz', 'heart of fire, linda howard', 'cold secrets, toni anderson', 'hot ice, nora roberts', 'two alone, sandra brown', 'standoff, sandra brown', 'the art of deception, nora roberts', 'no ordinary billionaire, j.s. scott', 'unspeakable, sandra brown', 'hotshot, julie garwood', 'birthright, nora roberts', 'heartthrob, suzanne brockmann', 'this rough magic, mary stewart', 'someone to love, jude deveraux', 'sizzle, julie garwood', 'the reef, nora roberts', 'a little too hot, lisa desrochers', 'el hombre perfecto, linda howard', 'the witness, nora roberts', 'turn to me, tiffany snow', 'the search, nora roberts', 'promises to keep, kathryn shay', 'change of heart, jude deveraux', 'twilight whispers, barbara delinsky', 'under the boardwalk, carly phillips', 'absolutely, positively, jayne ann krentz', 'no one lives twice, julie moffett', 'darkling i listen, katherine sutcliffe', 'fear for me, cynthia eden', 'chasing fire, nora roberts', 'cold pursuit, carla neggers', 'the mistaken, nancy s. thompson', 'touch not the cat, mary stewart', 'the villa, nora roberts', 'cover of night, linda howard', 'first you run, roxanne st. claire', 'best kept secrets, sandra brown', 'give yourself away, barbara elsborg', 'heaven to betsy, pamela fagan hutchins', 'amanda, kay hooper', 'cold pursuit, toni anderson', 'a treasure worth seeking, sandra brown', 'fast track, julie garwood', 'murder list, julie garwood', 'midnight rainbow, linda howard', 'take me tonight, roxanne st. claire', 'shattered, karen robards', 'a will and a way, nora roberts', 'out of control, shannon mckenna', 'haunted destiny, heather graham', 'hannah, chris keniston', 'carry me home, rosalind james', ""all the queen's men, linda howard"", 'angels fall, nora roberts', 'silent run, barbara freethy', 'torn canvas, donna k. weaver']"
2,"['uprising, margaret peterson haddix', 'al capone does my shirts, gennifer choldenko', 'out of the dust, karen hesse', 'christmas after all, kathryn lasky', ""a coal miner's bride, susan campbell bartoletti"", 'seeds of hope, kristiana gregory', 'to stand on my own, barbara haworth-attard', 'samantha saves the day, valerie tripp', 'a gathering of days, joan w. blos', 'meet samantha, susan s. adler', 'isabel, carolyn meyer', 'now, morris gleitzman', 'my face to the wind, jim murphy', 'brothers far from home, jean little', 'caddie woodlawn, carol ryrie brink', 'bud, not buddy, christopher paul curtis', 'little house by boston bay, melissa wiley', 'hang a thousand trees with ribbons, ann rinaldi', 'kazunomiya, kathryn lasky', ""lady of ch'iao kuo, laurence yep"", 'little house in the big woods, laura ingalls wilder', 'shadow, michael morpurgo', 'when will this cruel war be over?, barry denenberg', 'elisabeth, barry denenberg', 'heidi, johanna spyri', 'the amazing story of adolphus tips, michael morpurgo', 'number the stars, lois lowry', 'a desperate road to freedom, karleen bradford', 'the secret of nightingale wood, lucy strange', 'where the river takes me, julie lawson', 'the trumpeter of krakow, eric p. kelly', 'code of honor, alan gratz', 'molly learns a lesson, valerie tripp', 'samantha learns a lesson, susan s. adler', 'betsy and tacy go downtown, maud hart lovelace', 'a stone in my hand, cathryn clinton', 'blood upon our land, maxine trottier', 'hattie big sky, kirby larson', 'war horse, michael morpurgo', 'boston jane, jennifer l. holm', 'home of the brave, katherine applegate', 'blood on the river, elisa carbone', 'letters from a slave girl, mary e. lyons', 'i thought my soul would rise and fly, joyce hansen', 'eleanor, kristiana gregory', ""addy's surprise, connie rose porter"", 'the courage of sarah noble, alice dalgliesh', ""a rebel's daughter, janet lunn"", 'a ribbon of shining steel, julie lawson', 'a long way from chicago, richard peck', 'winter of peril, jan andrews', 'meet addy, connie rose porter', 'the slave dancer, paula fox', 'standing in the light, mary pope osborne', 'the watsons go to birmingham—1963, christopher paul curtis', 'i, coriander, sally gardner', 'look to the hills, patricia c. mckissack', 'the winter of red snow, kristiana gregory', 'the long winter, laura ingalls wilder', 'the evolution of calpurnia tate, jacqueline kelly', 'banished from our home, sharon stewart', 'kirsten saves the day, janet beeler shaw', 'farmer boy, laura ingalls wilder', 'behind the bedroom wall, laura e. williams', 'little house in brookfield, maria d. wilkes', 'doomed queen anne, carolyn meyer', 'chains, laurie halse anderson', 'my heart is on the ground, ann rinaldi', 'a line in the sand, sherry garland', 'refugee, alan gratz', 'when my name was keoko, linda sue park', 'cleopatra vii, kristiana gregory', 'oath breaker, michelle paver', 'exiles from the war, jean little', 'milkweed, jerry spinelli', 'forge, laurie halse anderson', 'i am david, anne holm', 'countdown, deborah wiles', 'if i die before i wake, jean little', 'like vanessa, tami charles', 'revolution, deborah wiles', 'al capone shines my shoes, gennifer choldenko', 'the war that saved my life, kimberly brubaker bradley', ""sophia's war, avi"", 'dreams in the golden country, kathryn lasky', 'catherine, kristiana gregory', 'wise child, monica furlong', 'turtle in paradise, jennifer l. holm', 'beware, princess elizabeth, carolyn meyer', 'by the shores of silver lake, laura ingalls wilder', 'not a nickel to spare, perry nodelman', 'navigating early, clare vanderpool', ""felicity's surprise, valerie tripp"", 'one came home, amy timberlake', 'by the great horn spoon!, sid fleischman', 'color me dark, patricia c. mckissack', 'the breadwinner, deborah ellis', 'the seventh most important thing, shelley pearsall', 'prisoners in the promised land, marsha forchuk skrypuch', 'the mighty miss malone, christopher paul curtis', 'turned away, carol matas', 'so far from home, barry denenberg', 'a light in the storm, karen hesse', 'unbound, ann e. burg', 'before we were free, julia alvarez', 'beyond the bright sea, lauren wolk', 'footsteps in the snow, carol matas', 'shadow of a bull, maia wojciechowska', 'moon over manifest, clare vanderpool', 'the true confessions of charlotte doyle, avi', 'words in the dust, trent reedy', ""dovey coe, frances o'roark dowell"", 'lizzie bright and the buckminster boy, gary d. schmidt', ""parvana's journey, deborah ellis"", 'the lacemaker and the princess, kimberly brubaker bradley', ""shakespeare's secret, elise broach"", 'rush revere and the brave pilgrims, rush limbaugh', 'changes for samantha, valerie tripp', 'a prairie as wide as the sea, sarah ellis', 'victoria, anna kirwan', 'betsy-tacy and tib, maud hart lovelace', 'towers falling, jewell parker rhodes', 'orphan at my door, jean little', 'a picture of freedom, patricia c. mckissack', 'eleven, tom rogers', ""the warden's daughter, jerry spinelli"", 'the birchbark house, louise erdrich', 'a year down yonder, richard peck', ""kensuke's kingdom, michael morpurgo"", 'the case of the missing marquess, nancy springer', 'okay for now, gary d. schmidt', 'whispers of war, kit pearson', 'the watsons go to birmingham - 1963, christopher paul curtis', 'breathing room, marsha hayles', 'mary, queen of scots, kathryn lasky', 'zebra forest, adina rishe gewirtz', 'addy learns a lesson, connie rose porter', 'running out of time, margaret peterson haddix', 'the death of my country, maxine trottier', 'elijah of buxton, christopher paul curtis', 'west to a land of plenty, jim murphy', 'the four-story mistake, elizabeth enright', 'eight cousins, louisa may alcott', 'ninth ward, jewell parker rhodes', 'midnight without a moon, linda williams jackson', 'an ocean apart, gillian chan', 'mary, bloody mary, carolyn meyer', 'i walk in dread, lisa rowe fraustino', 'full cicada moon, marilyn hilton', 'weetamoo, patricia clark smith', 'the little house collection, laura ingalls wilder', 'the romeo and juliet code, phoebe stone', 'meet kirsten, janet beeler shaw', 'first class murder, robin stevens', 'the dark frigate, charles boardman hawes', 'the dark lady, irene adler', ""the midwife's apprentice, karen cushman"", 'the seven wonders of sassafras springs, betty g. birney', 'elizabeth i, kathryn lasky', 'some kind of courage, dan gemeinhart', 'a trail of broken dreams, barbara haworth-attard', 'lucky broken girl, ruth behar', 'with a name like love, tess hilmo', 'feathers, jacqueline woodson', 'prisoner b-3087, alan gratz', 'alone in an untamed land, maxine trottier', 'we dream of space, erin entrada kelly', 'land of the buffalo bones, marion dane bauer', 'jahanara, kathryn lasky', 'witness, karen hesse', 'more all-of-a-kind family, sydney taylor', 'wolf hollow, lauren wolk', 'catherine, called birdy, karen cushman', 'outcast, michelle paver', 'meet felicity, valerie tripp', 'journey to the river sea, eva ibbotson', 'when zachary beaver came to town, kimberly willis holt', 'kristina, carolyn meyer', 'johnny tremain, esther forbes', 'the night diary, veera hiranandani', 'on the banks of plum creek, laura ingalls wilder', 'the door in the wall, marguerite de angeli', 'skylark, patricia maclachlan', 'voyage on the great titanic, ellen emerson white', 'felicity learns a lesson, valerie tripp', 'kaiulani, ellen emerson white', 'the war i finally won, kimberly brubaker bradley', 'little house on rocky ridge, roger lea macbride', 'a single shard, linda sue park', 'the lions of little rock, kristin levine', 'little town on the prairie, laura ingalls wilder', 'zora and me, victoria bond', 'then, morris gleitzman', 'under the persimmon tree, suzanne fisher staples', 'a journey to the new world, kathryn lasky', 'changes for addy, connie rose porter', 'the twelfth day of july, joan lingard', 'one eye laughing, the other weeping, barry denenberg', ""molly's surprise, valerie tripp"", 'addy saves the day, connie rose porter', 'a sea of sorrows, norah mcclintock', 'kira-kira, cynthia kadohata', 'here lies the librarian, richard peck', 'across the rolling river, celia wilkins', 'ashes, laurie halse anderson', 'the cross of lead, avi', 'with nothing but our courage, karleen bradford', 'ascolta il mio cuore, bianca pitzorno', 'once, morris gleitzman', 'sarah, plain and tall, patricia maclachlan', ""samantha's surprise, maxine rose schur"", 'hear my sorrow, deborah hopkinson', 'the adventures of laura & jack, laura ingalls wilder', 'may b., caroline starr rose', 'all-of-a-kind family, sydney taylor', 'matilda bone, karen cushman', 'the first four years, laura ingalls wilder', 'little house on the prairie boxed set, laura ingalls wilder', 'gay-neck, dhan gopal mukerji', 'behind the masks, susan patron', 'a little princess, frances hodgson burnett', 'a time for courage, kathryn lasky', 'upside down in the middle of nowhere, julie t. lamana', 'little house on the prairie, laura ingalls wilder', 'the last cherry blossom, kathleen burkinshaw', 'homeless bird, gloria whelan', 'm.c. higgins, the great, virginia hamilton', 'marie antoinette, kathryn lasky', 'the staircase, ann rinaldi', 'the red pencil, andrea davis pinkney', 'the bronze bow, elizabeth george speare', 'hetty feather, jacqueline wilson', 'the boxcar children beginning, patricia maclachlan', 'across the wide and lonesome prairie, kristiana gregory', 'nest, esther ehrlich', 'the princess of the chalet school, elinor m. brent-dyer', 'the explorer, katherine rundell', 'fever 1793, laurie halse anderson', ""breaking stalin's nose, eugene yelchin""]"
3,"['the last house on needless street, catriona ward', 'the roanoke girls, amy engel', 'good bad girl, alice feeney', 'fierce kingdom, gin phillips', ""more than you'll ever know, katie gutierrez"", 'a circle of wives, alice laplante', 'my lovely wife, samantha downing', 'the grave tender, eliza maxwell', 'the final girl support group, grady hendrix', 'sundial, catriona ward', 'good as gone, amy gentry', 'the wife upstairs, rachel hawkins', 'her every fear, peter swanson', 'the last word, lisa lutz', 'heads you lose, lisa lutz', 'the night swim, megan goldin', 'the longings of wayward girls, karen brown', 'the last day of emily lindsey, nic joseph', 'the spellman files, lisa lutz', 'trail of the spellmans, lisa lutz', 'the echo wife, sarah gailey', 'as time goes by, mary higgins clark', 'you are not alone, greer hendricks', 'you will know me, megan abbott', 'the sixes, kate white', 'fractured, catherine mckenzie', 'the french girl, lexie elliott', 'the death of mrs. westaway, ruth ware', 'so pretty it hurts, kate white', 'the good sister, wendy corsi staub', 'where they found her, kimberly mccreight', 'little broken things, nicole baart', 'fugitive telemetry, martha wells', 'river road, carol goodman', 'the last time i lied, riley sager', 'emma in the night, wendy walker', 'one breath away, heather gudenkauf', 'pretty is, maggie mitchell', 'confessions on the 7, lisa unger', 'mister magic, kiersten white', 'the chemist, stephenie meyer', 'zero world, jason m. hough', 'the party, robyn harding', 'home before dark, riley sager', 'you, caroline kepnes', 'blame, jeff abbott', 'the family game, catherine steadman', 'the cabin at the end of the world, paul tremblay']"
4,"['the art of the english murder, lucy worsley', 'a voyage long and strange, tony horwitz', 'the blue tattoo, margot mifflin', 'dodge city, tom clavin', 'master slave husband wife, ilyon woo', 'ghostland, colin dickey', 'origin story, david christian', 'the five, hallie rubenhold', 'the man from the train, bill james', 'the radium girls, kate moore', 'the small and the mighty, sharon mcmahon', 'alexander the great, jacob abbott', 'the woman they could not silence, kate moore', 'the black count, tom reiss', 'it ended badly, jennifer wright', 'empty mansions, bill dedman', 'kohinoor, william dalrymple', 'the storm before the storm, mike duncan', 'under the black flag, david cordingly', 'destiny disrupted, tamim ansary', 'the witches, stacy schiff', 'carthage must be destroyed, richard miles', 'history decoded, brad meltzer', 'genghis khan and the making of the modern world, jack weatherford', 'undaunted courage, stephen e. ambrose', 'the finest hours, michael j. tougias', 'a history of the world in 6 glasses, tom standage', ""killing jesus, bill o'reilly"", ""bill o'reilly's legends and lies, david fisher"", 'a night to remember, walter lord', 'bad gays, huw lemmey', 'brave companions, david mccullough', 'the lessons of history, will durant', 'the six wives of henry viii, alison weir', 'if walls could talk, lucy worsley', 'sudden sea, r.a. scotti', 'we two, gillian gill', 'the woman who smashed codes, jason fagone', 'alan turing, david boyle', 'alexander hamilton, ron chernow', 'elizabeth of york, alison weir', 'the astronaut wives club, lily koppel', '12 years a slave and other slave narratives, solomon northup', 'unruly, david mitchell', 'at home, bill bryson', 'a little history of the world, e.h. gombrich', 'alexander the great, philip freeman', '1491, charles c. mann', 'before and after, judy christie', 'the boys in the boat, daniel james brown', 'pirate hunters, robert kurson', 'the wordy shipmates, sarah vowell', 'catherine the great, robert k. massie', 'the plantagenets, dan jones', 'the perfect mile, neal bascomb', 'nothing like it in the world, stephen e. ambrose', 'the midwife, jennifer worth', 'kennedy wives, amber hunt', 'the murder of king tut, james patterson', 'in the garden of beasts, erik larson', 'the fires of vesuvius, mary beard', 'vincent and theo, deborah heiligman', 'conquistador, buddy levy', 'twelve years a slave, solomon northup', 'a little history of philosophy, nigel warburton', 'inglorious empire, shashi tharoor', 'empire of blue water, stephan talty', 'the worst hard time, timothy egan', 'ghost empire, richard fidler', 'shadows of the workhouse, jennifer worth', ""isaac's storm, erik larson"", 'the day the world came to town, jim defede', 'the black death, dorsey armstrong', 'tudors, peter ackroyd', 'madhouse at the end of the earth, julian sancton', 'the island at the center of the world, russell shorto', 'the boston stranglers, susan kelly', 'unfamiliar fishes, sarah vowell', 'the romanovs, simon sebag montefiore', 'dead famous, greg jenner', 'lost civilizations, michael rank', 'call the midwife, jennifer worth', ""killing reagan, bill o'reilly"", 'a history of britain in 21 women, jenni murray', 'astor, anderson cooper', 'the duel, judith st. george', 'first women, kate andersen brower', 'chernobyl 01, andrew leatherbarrow', 'the family romanov, candace fleming', 'pax romana, adrian goldsworthy', 'flappers, judith mackrell', 'prairie fires, caroline fraser', '1776, david mccullough', 'the ghost map, steven johnson', 'winter king, thomas penn', 'victoria the queen, julia baird', 'the bookshop, evan friss', 'elizabeth the queen, sally bedell smith', 'the romanov sisters, helen rappaport', 'the first conspiracy, brad meltzer', 'the rise and fall of ancient egypt, toby wilkinson', 'one summer, bill bryson', 'salt, mark kurlansky', ""the king's speech, mark logue"", 'hamilton, lin-manuel miranda', 'the path between the seas, david mccullough', 'captive of the labyrinth, mary jo ignoffo', ""killing the witches, bill o'reilly""]"
5,"['lie down with lions, ken follett', 'the cold war swap, ross thomas', 'mrs. pollifax and the hong kong buddha, dorothy gilman', 'live and let die, ian fleming', 'the bourne sanction, eric van lustbader', 'the man with the golden gun, ian fleming', 'the manchurian candidate, richard condon', 'the seventh scroll, wilbur smith', 'a devil is waiting, jack higgins', 'the recruit, robert muchamore', 'the abominable, dan simmons', 'the confidential agent, graham greene', 'from russia with love, ian fleming', 'pork pie hat, peter straub', 'no deals, mr. bond, john gardner', 'an expensive place to die, len deighton', 'the silent oligarch, christopher morgan jones', 'ark angel, anthony horowitz', 'the bourne supremacy, robert ludlum', 'the catacombs, jeremy bates', 'mrs. pollifax pursued, dorothy gilman', 'the bourne ultimatum, robert ludlum', 'thunderball, ian fleming', 'point blank, anthony horowitz', 'goldfinger, ian fleming', 'skeleton key, anthony horowitz', 'solo, william boyd', 'octopussy and the living daylights, ian fleming', 'eye of the storm, jack higgins', 'goldeneye, john gardner', 'the dogs of war, frederick forsyth', 'scorpia, anthony horowitz', 'the fourth protocol, frederick forsyth', 'diamonds are forever, ian fleming', 'overload, arthur hailey', 'dance with the enemy, rob sinclair', 'night of the fox, jack higgins', 'mrs. pollifax unveiled, dorothy gilman', 'the shadowers, donald hamilton', 'the matlock paper, robert ludlum', 'for your eyes only, ian fleming', 'snakehead, anthony horowitz', 'shades of grey, j.c. phelps', 'snow, mike bond', 'the will trent series 7-book bundle, karin slaughter', 'you only live twice, ian fleming', 'the bourne deception, eric van lustbader', 'the riddle of the sands, erskine childers', 'the 39 steps, john buchan', 'billion dollar brain, len deighton', 'devil may care, sebastian faulks', 'assumed identity, david morrell', 'the hunt for red october, tom clancy', 'the elusive mrs. pollifax, dorothy gilman', 'mrs. pollifax and the whirling dervish, dorothy gilman', 'moonraker, ian fleming', 'trigger mortis, anthony horowitz', 'scorpia rising, anthony horowitz', 'where is joe merchant?, jimmy buffett', 'a palm for mrs. pollifax, dorothy gilman', 'the night of wenceslas, lionel davidson', 'doctor no, ian fleming', 'blood fever, charlie higson', 'the bourne betrayal, eric van lustbader', 'twinkle, twinkle little spy, len deighton', 'the ambushers, donald hamilton', 'mrs. pollifax on the china station, dorothy gilman', 'net force, steve perry', ""on her majesty's secret service, ian fleming"", 'mrs. pollifax, innocent tourist, dorothy gilman', 'tsar, ted bell', 'keeping secrets, l.a. dobbs', 'zero history, william gibson', 'triple, ken follett', 'code orange, caroline b. cooney', 'spy camp, stuart gibbs', 'shibumi, trevanian', 'the afghan, frederick forsyth', 'liar game, volume 1, shinobu kaitani', 'the scarlatti inheritance, robert ludlum', ""roosevelt's beast, louis bayard"", 'eagle strike, anthony horowitz', 'the backup men, ross thomas', 'la oscuridad de los colores, martin blasco', ""dan brown's the lost symbol, nigel tomm""]"
6,"['the trouble with spells, lacey weatherford', 'switched, amanda hocking', 'canyons of night, jayne castle', 'every last kiss, courtney cole', 'the taking, kimberly derting', 'moon spell, samantha young', 'the rest of us just live here, patrick ness', 'deep blue secret, christie anderson', 'flyy girl, omar tyree', 'divine by choice, p.c. cast', 'mindspeak, heather sunseri', 'hidden deep, amy patrick', 'intertwined, gena showalter', 'cipher, aileen erin', 'unhallowed ground, heather graham', 'reckless magic, rachel higginson', 'valiant, holly black', 'collide, shelly crane', 'from gods, mary ting', 'before, cambria hebert', 'midnight star, karpov kinrade', ""girl's guide to witchcraft, mindy klasky"", 'wolves and roses, christina bauer', ""sword song, tricia o'malley"", 'the goddess inheritance, aimee carter', 'spellbound, cara lynn shultz', 'divine by mistake, p.c. cast', 'melancholia, elle casey', 'the hollow, nora roberts', 'red lily, nora roberts', 'silence, becca fitzpatrick', 'book of love, abra ebner', 'forever and always, jude deveraux', 'blood magick, nora roberts', 'fruits basket, vol. 10, natsuki takaya', 'runes, ednah walters', 'darkness, kindled, samantha young', 'finale, becca fitzpatrick', 'blue moon, alyson noel', 'eat slay love, jesse petersen', 'kamisama kiss, vol. 3, julietta suzuki', 'euphoria, elle casey', 'linger, maggie stiefvater', 'key of valor, nora roberts', 'my name is memory, ann brashares', ""elphame's choice, p.c. cast"", 'angel star, jennifer murgia', 'afterlife, claudia gray', 'evermore, amy miles', 'turbulent sea, christine feehan', 'grave insight, lily harper hart', 'copper beach, jayne ann krentz', 'haunted, christina c. jones', 'born of fury, sherrilyn kenyon', 'a caress of twilight, laurell k. hamilton', 'to wish or not to wish, mindy klasky', 'spellbound, nora roberts', 'kamisama kiss, vol. 7, julietta suzuki', 'shiver, maggie stiefvater', 'heart of evil, heather graham', ""wild irish heart, tricia o'malley"", 'blood brothers, nora roberts', 'shadows, jennifer l. armentrout', 'year one, nora roberts', 'the selkie, melanie jackson', 'unforgiven, lauren kate', 'the way home, seanan mcguire', 'the return, jennifer l. armentrout', 'sorcery and the single girl, mindy klasky', 'fired up, jayne ann krentz', 'haunted, lisa childs', 'key of light, nora roberts', 'beasts and bffs, shannon delany', 'elixir, hilary duff', 'hidden heart, amy patrick', 'the pagan stone, nora roberts', 'divine misdemeanors, laurell k. hamilton', 'crescendo, becca fitzpatrick', 'the archived sneak peek, victoria schwab', 'forever..., jude deveraux', ""wild irish eyes, tricia o'malley"", 'goddess of spring, p.c. cast', ""wild irish soul, tricia o'malley"", 'goddess of the sea, p.c. cast', 'the lifeguard, deborah blumenthal', 'misty falls, joss stirling', 'fallen, lauren kate', 'crystal cove, lisa kleypas', 'haunted, heather graham', 'the mind games, lori brighton', 'goddess of light, p.c. cast', ""wild irish roots, tricia o'malley"", 'dance upon the air, nora roberts']"
