Unnamed: 0,Title,Author,Cleaned Goodreads URL
121909,the childhood roots of adult happiness,edward m. hallowell,46996.The_Childhood_Roots_of_Adult_Happiness
27026,the children,ann leary,25944810-the-children
27220,the children act,ian mcewan,23482832-the-children-act
21799,the children of eternity,kenneth zeigler,13435420-the-children-of-eternity
130526,the children of first man,james alexander thom,286737.The_Children_of_First_Man
16145,the children of hamlin,carmen carter,8032243-the-children-of-hamlin
133461,the children of henry viii,alison weir,27231767-the-children-of-henry-viii
113390,the children of herakles,euripides,1291106.The_Children_of_Herakles
73098,the children of húrin,j.r.r. tolkien,29589269-the-children-of-h-rin---putra-putri-h-rin
122611,the children of jocasta,natalie haynes,33667103-the-children-of-jocasta
16248,the children of men,p.d. james,8713732-the-children-of-men
187646,the children of pandemonium,justin h. montgomery,18674220-the-children-of-pandemonium
198051,the children of the moon,laekan zea kemp,25305927-the-children-of-the-moon
48728,the children of the sky,vernor vinge,12970140-the-children-of-the-sky
225143,the children return,martin walker,23621601-the-children-return
50593,the children's book,a.s. byatt,6980490-the-children-s-book
27109,the children's crusade,ann packer,23665742-the-children-s-crusade
199288,the children's homer,padraic colum,26133.The_Children_s_Homer
148414,the children's hour,lillian hellman,858313.The_Children_s_Hour
267247,the children's machine,seymour papert,906120.The_Children_s_Machine
314000,the chili queen,sandra dallas,423709.The_Chili_Queen
74244,the chill,ross macdonald,2116327.The_Chill
378636,the chimera vector,nathan m. farrugia,18894816-the-chimera-vector
131157,the chimera's curse,julia golding,5955161-the-chimera-s-curse
352121,the chimes,charles dickens,6260699-the-chimes
2620,the chimney sweeper's boy,barbara vine,918931.The_Chimney_Sweeper_s_Boy
172411,the chimp paradox,steve peters,12228097-the-chimp-paradox
327427,the chimps of fauna sanctuary,andrew westoll,10961630-the-chimps-of-fauna-sanctuary
193771,the china garden,liz berry,1194241.The_China_Garden
161681,the china study,t. colin campbell,557741.The_China_Study
139669,the chinese in america,iris chang,2196940.The_Chinese_in_America
144309,the chocolate box - a hercule poirot short story,agatha christie,22045468-the-chocolate-box
229341,the chocolate bunny brouhaha,joanna carl,23301510-the-chocolate-clown-corpse
31648,the chocolate garden,ava miles,23153936-the-chocolate-garden
327702,the chocolate promise,josephine moon,25630998-the-chocolate-apothecary
138940,the chocolate run,dorothy koomson,68615.The_Chocolate_Run
385095,the chocolate temptation,laura florand,18216149-the-chocolate-kiss
327766,the chocolate tin,fiona mcintosh,31278003-the-chocolate-tin
16392,the chocolate war,robert cormier,17162.The_Chocolate_War
43524,the choice,suzanne woods fisher,7000455-the-choice
50575,the choice,edith eger,30753738-the-choice
190570,the choice,ahmed deedat,11692720-the-choice-2-vols-islam-and-christianity
43663,the choice,jason mott,18187629-the-choice
15080,the choice,nicholas sparks,9932341-the-choice
154805,the choice,andrea raynor,31700660-the-choice
192441,the choice,og mandino,549210.The_Choice
119157,the choices i've made,j.l. berg,36326351-the-choices-i-ve-made
85917,the choices trilogy #1-3,dee palmer,28696242-the-choices-trilogy
24644,the choir director,carl weber,19431274-the-choir-director-2
40839,the choke,sofie laguna,35106686-the-choke
91948,the choosing,rachelle dekker,26860425-the-choosing
13360,the chosen,chaim potok,1949152.The_Chosen
