,description
10,real american begin precipice new york city twenty two year old lily chen unpaid intern slick medium company meet matthew matthew everything lily easygoing effortlessly attractive native east coaster notably heir vast pharmaceutical empire lily different flat broke raised tampa child scientist fled mao cultural revolution despite lily matthew fall love fifteen year old nick chen never felt like belonged isolated washington island life single mother lily shake sense hiding something nick set find biological father journey threatens raise question answer immersive moving prose rachel khong weave profound tale class striving race visibility family inheritance story trust forgiveness finally coming home exuberant explosive real american social par excellence asks destined made get making genetic past overcome award winning goodbye vitamin far would shape destiny exhilarating american identity span three generation one family asks make inevitable future
11,beloved want impossible thing moving hilarious story family summer vacation full secret lunch learning let past two decade rocky looked forward family yearly escape cape cod humble beach town rental site sweet memory sunny day great meal mess kind emotional marital thanks cottage ancient plumbing septic year vacation rocky sandwiched half grown kid fully aging parent promise delightful summer past except perhaps rocky hormonal bout rage melancholy hello menopause body changing life chain event sends rocky past reliving tenderness sorrow handful long ago summer one precious week everything balance everything flux rocky come face face family history future forced accept longer hide secret people love
12,irreverently sexy tender hilarious surprising woman upending lifea semifamous artist announces plan drive cross country new york twenty minute leaving husband child home spontaneously exit freeway bed nondescript motel immerses temporary reinvention turn start entirely different journey miranda july second confirms brilliance unique approach fiction july wry voice perfect comic timing unabashed curiosity human intimacy palpable delight pushing boundary four tell story one woman quest new kind freedom part absurd entertainment part tender reinvention sexual romantic domestic life forty five year old female artist four transcends expectation excavating belief life lived woman july hijack familiar turn something new thrillingly profoundly alive
13,four life drawn together sweeping panoramic new richard power showcasing pulitzer prize winning overstory height skill twelve year old evie beaulieu sink bottom swimming pool montreal strapped one world first aqualung ina aroita grows naval base across pacific art home two polar opposite elite chicago high school bond three thousand year old board game rafi young get lost literature todd keane work lead startling breakthrough meet history scarred island makatea french polynesia whose deposit phosphorus helped feed world tiny atoll chosen humanity next adventure plan send floating autonomous city onto open sea first island resident must vote greenlight project turn seasteaders away set world largest ocean awe filled explores last wild place colonize still unfolding oceanic game interweaves beautiful rich characterization profound theme technology environment deep exploration shared humanity way richard power
14,julia ames youth marked upheaval emotional turbulence found placid plateau mid life julia never navigated world equanimity current privileged class nearly derailed several time making desperate bid kind connection always felt inaccessible finally feel age fifty seven firm handle thing unprepared though come next surprise announcement straight arrow son impending separation spikey teenaged daughter seductive resurgence past threaten draw back pattern previously kept razor edge ever traverse rocky terrain real life exploring new avenue maternal ambivalence intergenerational friendship happenstantial cause effect governs delving even deeper nature relationship grow change sometimes end lombardo prof true definitive cartographer human heart asserts among finest novelist generation
15,argus north dakota collection people revolve around fraught wedding gary geist terrified young man set inherit two farm desperate marry kismet poe impulsive lapsed goth future seems resolve hugo gentle red haired home schooled giant also love kismet determined steal eager home wrecker kismet mother crystal haul sugar beet gary family nightly run tune darkness late night radio see vision guardian angel worry future daughter human time deep time red river time half life herbicide pesticide elegance time represented fracking core sample unimaginable depth set speed climate change depletion natural resource sudden economic meltdown much dress cost used car package cinnamon roll see shape soul everchanging cloud personal salvation giant expanse sky question people red river valley north wrestle every day mighty red tender humor disturbance hallucinatory mourning job pain immeasurable satisfaction turbulent landscape eating native weed growing backyard ordinary people dream grow fall love struggle endure tragedy carry bitter secret men woman complicated contradictory flawed decent lonely hopeful starkly beautiful prairie community whose member must cope devastating consequence powerful force upend every great modern master mighty red tattered bond earth love absurdity splendor new louise erdrich major literary event gorgeous heartrending mighty red triumph
16,irresistible bighearted international follows brother sister navigate queerness multiracial identity drama big small entangled unconventional family flailing way love year since boyfriend dumped moved auckland buenos aire valdin fine good flat sister greta good career colleague occasionally remind sole māori person office good friend sleep sad work sends argentina thrown back former lover orbit valdin forced confront feeling trying ignore future want greta letting painfully unrequited crush possibly pointless master thesis pathetic academic salary get would love focus charming fellow grad student meet party friendship circle similarly floundering twenty somethings chaotic family life stop mother keeping secret nephew gay crisis brother suddenly flown south america without word sharp hilarious undeniable emotional momentum build exuberant conclusion greta valdin careen sibling misadventure messy drama sprawling eccentric maaori russian catalonian family acclaimed new zealand greta valdin fresh joyful alive possibility love many mystifying form
17,alternative cover found herea dark comedy second act creative appropriation racial identity industrial complex jane high hope life turn around year living precariously painter husband lenny two kid landed stint house sitter friend luxurious home hill los angeles gig coincides magically jane sabbatical finish nusu nusu century spanning epic lenny refers mulatto war peace tenure semblance stability success within grasp thing work quite hoped search plan like countless jane turn desperate gaze hollywood meet hot young producer create diverse content streaming network seems excited work real create envisions greatest biracial comedy ever hit small screen thing finally seem going right jane terribly wrong
18,celebrated nightingale four wind come kristin hannah woman intimate portrait coming age dangerous time epic tale nation divided woman hero twenty year old nursing student france frankie mcgrath hears word revelation raised sun drenched idyllic world southern california sheltered conservative parent always prided right thing world changing suddenly dare imagine different future brother ship serve vietnam join army nurse corp follows path green inexperienced men sent vietnam fight frankie whelmed chaos destruction war day gamble life death hope betrayal friendship run deep shattered instant war meet becomes one lucky brave broken lost war beginning frankie veteran friend real battle lie coming home changed divided america angry protester country want forget vietnam woman story one woman gone war shine light woman put harm way whose sacrifice commitment country often forgotten deep friendship bold patriotism woman richly drawn story memorable heroine whose idealism courage fire come define era
19,brilliant reimagining adventure huckleberry finn harrowing satirical told enslaved jim point viewwhen jim overhears sold man new orleans separated wife daughter forever run away formulate plan meanwhile huck faked death escape violent father american literature know thus begin dangerous transcendent journey raft mississippi river toward elusive unreliable promise free state beyond brimming nuanced humor lacerating observation made everett literary icon brilliant tender radically illuminates jim agency intelligence compassion never james destined major publishing event cornerstone twenty first century american literature alternate cover
20,gripping historical mystery inspired life diary martha ballard renowned century midwife defied legal system wrote american history maine kennebec river freeze entombing man ice martha ballard summoned examine body determine cause death midwife healer privy much go behind closed door hallowell diary record every birth death crime debacle unfolds close knit community month earlier martha documented detail alleged rape committed two town respected gentleman one found dead ice local physician undermines conclusion declaring death accident martha forced investigate shocking murder course one winter trial nears whisper prejudice mount martha doggedly pursues truth diary soon land center scandal implicating love compelling martha decide loyalty lie clever layered subversive ariel lawhon offering introduces unsung heroine refused accept anything less justice time woman considered best seen heard frozen river thrilling tense tender story remarkable woman left unparalleled legacy remains nearly forgotten day
21,evocative powerful portrait friendship feminism political activism people set three transformative decade tehran iran nationally marjan kamali tehran seven year old ellie life grand comfort untimely death father forcing ellie mother move tiny home downtown lonely bearing brunt mother endless grievance ellie dream friend alleviate isolation luckily first day school meet homa kind girl brave irrepressible spirit together two girl play game learn cook stone kitchen homa warm home wander colorful stall grand bazaar share ambition becoming lion woman happiness disrupted ellie mother afforded opportunity return previous bourgeois life popular student best girl high school iran ellie memory homa begin fade year later however sudden reappearance ellie privileged world alters course life together two young woman come age pursue goal meaningful future political turmoil iran build breaking point one earth shattering betrayal enormous consequence reminiscent kite runner brilliant friend lion woman tehran mesmerizing tale bookpage love courage sweeping exploration profoundly shaped meet young
22,new york time mad honey come inspiring elle two woman century apart one real shakespeare play forced hide behind another name young playwright melina green new work inspired life elizabethan ancestor emilia bassano seeing performed unlikely theater world playing field level woman melina wonder dare risk failure best friend take decision hand submits play festival male pseudonym young emilia bassano ward english aristocrat lesson language history endowed sharp wit gift storytelling like woman day allowed voice forced become mistress lord chamberlain oversees theatre production england emilia see firsthand word playwright move audience begin form plan secretly bring play stage paying actor named william shakespeare front work told intertwining timeline name sweeping tale ambition courage desire center two woman determined create something beautiful despite prejudice face whatever take see story live matter cost remarkable rooted primary historical source ensures name emilia bassano longer forgotten
