,description
77,"spellbooks, spellshop, spells, bakery, magic, cottage, magically, librarian, lush, kiela"
78,"freya, shield, maiden, goddess, norse, kingdom, warrior, fierce, destiny, oath"
79,"ophelia, phantasma, attraction, deadly, fears, contestants, overwhelm, challenges, maze, return"
80,"destiny, fate, kingdom, fae, legion, princesses, dawns, orphans, victorious, sword"
81,"sera, nyktos, prophecy, fates, obsession, gods, desires, realms, bloodline, soul"
82,"hades, persephone, underworld, goddess, burnpersephone, gods, chaos, world, queen, war"
83,"hercules, heros, spartan, immortal, blood, myths, achilles, narrators, academy, mentors"
84,"hades, percy, mortals, hunger, gods, mythic, romantasy, jackson, mortal, champion"
85,"dark, fae, slade, fleeing, threat, fantasy, book, realm, end, annwyn"
86,"rebellion, dacre, tyrant, ruthless, fierce, reign, despised, loyalty, threatens, desire"
87,"regner, kingdoms, lorian, king, afraid, unimaginable, god, enemies, fae, enslaving"
88,"fae, sparkle, heir, destiny, romance, lor, aurora, crown, ouranos, forever"
89,"sea, novels, island, arthur, orphan, fantasy, distant, sequel, zoe, house"
90,"luzia, nobility, pérez, fantasy, spain, mistress, inquisition, grishaverse, fortunes, amusement"
91,"faeries, faerie, wilde, emily, folklore, folk, realms, picturesque, secrets, bambleby"
92,"novel, book, doors, cassie, books, reading, darkness, haunted, mysterious, andrews"
93,"disappearances, rafe, novel, narnia, jeremy, chronicles, lost, wardrobes, homecoming, uncanny"
94,"nurse, nightingalejanuary, novel, freddie, wounded, laura, soldier, hauntingly, trenches, 1918"
95,"dymitr, crows, folklore, mythical, cursed, witch, monstrous, afflicted, ala, jaga"
96,"ganymedes, concordia, heir, piscero, emperor, voyage, agatha, crusade, goddess, survival"
97,"travel, expedition, exploration, time, commander, novel, expat, thriller, gore, bradley"
98,"virtual, vr, parenthood, families, virtually, couples, reality, tv, metaverse, novel"
99,"annie, intelligence, artificial, bot, doug, relationship, paradox, desires, behaves, cute"
100,"earth, life, planet, astronauts, humanity, oceans, space, world, typhoon, fears"
101,"wilderness, birch, lakes, novel, snow, hunters, apocalyptic, harvesters, land, evan"
102,"odile, novel, literary, future, speculative, edme, futuresixteen, mourning, wilderness, towns"
103,"novel, helene, adina, bertino, extraterrestrial, earthlings, beautyland, giorno, arrival, existence"
104,"reveals, secret, mysterious, forgotten, coast, shadowy, speculative, stakes, threat, priority"
105,"shades, color, eddie, dickens, emerald, segregated, marriages, chromatacia, darkly, embellished"
106,"box, thriller, anxiety, terror, author, transport, stranger, cash, modern, plunge"
107,"blueprint, novel, resilience, injustice, biography, autonomy, solace, bonet, bastien, henriette"
108,"ocean, exploration, exploring, novel, leigh, trench, undersea, journey, globe, microbiologist"
109,"haunting, ghostly, house, haunt, novel, macabre, visiting, charlie, strangers, eve"
110,"murders, haunted, hitchhiker, supernatural, novel, suspects, eddie, atticus, falls, coldlake"
111,"ji, crying, killer, victims, eyes, umma, unraveling, korean, sister, mart"
112,"haunting, haunted, mommy, bela, tale, novel, house, horror, incidents, unraveling"
113,"amber, tolly, notorious, genre, movie, lamesa, seventeen, stephen, dennison, texas"
114,"novels, helen, writers, writer, author, screenwriter, ending, book, shepard, grant"
115,"travel, expedition, exploration, time, commander, novel, expat, thriller, gore, bradley"
116,"haunting, ghostly, house, haunt, novel, macabre, visiting, charlie, strangers, eve"
117,"novel, book, doors, cassie, books, reading, darkness, haunted, mysterious, andrews"
118,"martyr, martyrs, cyrus, akbar, iranian, poet, persian, painter, kaveh, meaning"
119,"ganymedes, concordia, heir, piscero, emperor, voyage, agatha, crusade, goddess, survival"
120,"ji, crying, killer, victims, eyes, umma, unraveling, korean, sister, mart"
121,"greta, irresistible, bestseller, sister, friendships, buenos, dramas, queerness, valdin, lover"
122,"malaya, malayan, novel, japanese, daughter, cecily, wwii, eldest, fuijwara, jujube"
123,"daphne, novel, miles, emily, stranded, minutes, scruffy, adventures, hours, met"
124,"heroine, frankie, novel, portrait, intimate, vietnam, courage, veteran, nursing, meets"
125,"lucy, podcast, murdered, listen, savvy, rumors, audio, truth, night, thought"
126,"sea, novels, island, arthur, orphan, fantasy, distant, sequel, zoe, house"
127,"evie, reese, porter, picket, book, club, ryan, sumner, learns, pick"
128,"finn, huckleberry, huck, raft, jim, river, narrative, jackson, enslaved, mississippi"
129,"mcmahon, book, bestsellerfrom, wealthy, ordinary, enslaved, americans, aristocrats, poet, cast"
130,"detective, amy, steve, murder, adventure, hours, alive, wheeler, author, adrenaline"
131,"memoir, cookbooks, ina, barefoot, author, contessa, book, garten, adventures, instagram"
132,"lisa, presley, minutes, 42, marie, memoir, jackson, story, graceland, motherhood"
133,"generation, teens, psychologist, smartphones, childhoods, health, haidt, crisis, social, author"
134,"ivan, peter, life, chess, koubek, minutes, grieving, sylvia, relationships, rooney"
135,"passengers, flight, deaths, death, dies, bride, fate, certainty, appearance, profound"
136,"oath, cheney, breached, congressional, presidential, constitution, 2020, betrayed, liz, witnessed"
137,"future, zoë, june, minutes, befriend, romantic, comedy, wormhole, cell, mikey"
138,"malcolm, audiobook, storytelling, book, gladwell, histories, bestsellers, television, podcast, social"
139,"reunited, roman, iris, torn, heartbroken, lost, love, war, apart, correspondence"
140,"paedyn, trilogy, kai, battle, duty, desire, fantasy, characters, betrayal, anticipated"
141,"witches, moth, rune, villain, witch, hunter, treacherous, nights, crimson, kristen"
142,"heir, elfhame, prince, king, oak, jude, imprisoned, guile, looming, betrayal"
143,"galactic, cytonic, stars, spensa, galaxy, skyward, book, forever, series, victory"
144,"belladonna, adalyn, trilogy, blythe, hawthorne, grace, author, readers, romance, fairytale"
145,"alizeh, cyrus, tulan, novel, throne, heir, kingdom, shatter, jinn, heartbreaking"
146,"chrysantha, alessandra, duchess, inheritance, sister, stathos, ambition, wedding, mysterious, upstage"
147,"heartstopper, nick, love, novel, book, charlie, boys, lgbtq, life, meets"
148,"rachel, disappearance, thriller, reappears, uncover, documentary, unsolved, dead, crime, unbelievable"
149,"wes, liz, relationship, affection, heart, losing, plan, dealing, rom, really"
150,"fortune, riches, hawthornes, lifetime, games, avery, inheritance, bestselling, chapter, barnes"
151,"finn, autumn, sylvie, jack, love, fate, daughter, heal, truth, books"
152,"bailey, charlie, dating, flirting, gossiping, drama, fake, behaved, seventeen, acquaintance"
153,"secrets, sade, discovers, mystery, rumors, students, elizabeth, sleeping, persephone, unholy"
154,"lola, murdered, innocence, mary, drew, sheriff, frantic, bruised, teen, passing"
155,"grieving, poppy, cael, timeless, heal, seventeen, fractured, living, savannah, journey"
156,"riley, nathan, flirt, romance, acting, dating, play, nerdy, musical, convinces"
157,"sadie, emails, jean, classmate, valedictorian, wen, romantic, vain, lara, infuriating"
